t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187923.87702424,1f0d2pn8gz3u,Lucy,3,qyqa6f,42,18018,2,0,100,0,True,0
187925.172075749,1f0d2pn8gz3u,Lucy,3,v0zd4m,46,55633,1,0,228,0,True,0
187925.62557947,1f0d2pn8gz3u,Lucy,3,v0zd4m,46,55633,2,100,0,0,True,0
187926.513583227,1f0d2pn8gz3u,Lucy,3,qyqa6f,75,48622,2,0,100,0,True,0
187929.598766237,1f0d2pn8gz3u,Lucy,3,v0zd4m,37,43757,1,0,228,0,True,0
187930.001382224,1f0d2pn8gz3u,Lucy,3,v0zd4m,37,43757,2,100,0,0,True,0
188023.525796706,1f0d2pn8gz3u,Lucy,13,v0zd4m,11,16180,1,0,228,0,True,0
188023.914925246,1f0d2pn8gz3u,Lucy,13,v0zd4m,11,16180,2,100,0,0,True,0
188023.980565893,1f0d2pn8gz3u,Lucy,13,udjpmp,75,18966,1,0,228,0,True,0
188024.388024722,1f0d2pn8gz3u,Lucy,13,udjpmp,75,18966,2,100,0,0,True,0
188024.561534203,1f0d2pn8gz3u,Lucy,13,v0zd4m,49,41423,1,0,228,0,True,0
188024.949268904,1f0d2pn8gz3u,Lucy,13,v0zd4m,49,41423,2,100,0,0,True,0
188025.709189681,1f0d2pn8gz3u,Lucy,13,v0zd4m,65,55289,1,0,228,0,True,0
188026.119401761,1f0d2pn8gz3u,Lucy,13,v0zd4m,65,55289,2,100,0,0,True,1
188026.128067544,1f0d2pn8gz3u,Lucy,13,v0zd4m,9,2069,1,0,228,0,True,0
188026.531698659,1f0d2pn8gz3u,Lucy,13,v0zd4m,9,2069,2,100,0,0,True,0
188026.767827177,1f0d2pn8gz3u,Lucy,13,v0zd4m,14,12985,1,0,228,0,True,0
188027.14559113,1f0d2pn8gz3u,Lucy,13,v0zd4m,14,12985,2,100,0,0,True,0
188027.912391864,1f0d2pn8gz3u,Lucy,13,v0zd4m,72,9950,1,0,228,0,True,0
188028.296893666,1f0d2pn8gz3u,Lucy,13,v0zd4m,72,9950,2,100,0,0,True,1
188028.304575148,1f0d2pn8gz3u,Lucy,13,a6cerv,26,14396,2,0,100,0,True,0
188028.879425551,1f0d2pn8gz3u,Lucy,13,v0zd4m,65,26446,1,0,228,0,True,0
188029.281458516,1f0d2pn8gz3u,Lucy,13,v0zd4m,65,26446,2,100,0,0,True,0
188030.151365838,1f0d2pn8gz3u,Lucy,13,v0zd4m,9,62726,1,0,228,0,True,0
188030.559091537,1f0d2pn8gz3u,Lucy,13,v0zd4m,9,62726,2,100,0,0,True,0
188031.911813624,1f0d2pn8gz3u,Lucy,13,v0zd4m,9,54576,1,0,228,0,True,0
188032.302526708,1f0d2pn8gz3u,Lucy,13,v0zd4m,9,54576,2,100,0,0,True,0
188072.946669327,1f0d2pn8gz3u,Lucy,18,udjpmp,56,29184,1,0,228,0,True,0
188073.328866907,1f0d2pn8gz3u,Lucy,18,udjpmp,56,29184,2,100,0,0,True,0
188076.671127193,1f0d2pn8gz3u,Lucy,18,qyqa6f,48,46664,2,0,100,0,True,0
188076.738732497,1f0d2pn8gz3u,Lucy,18,qyqa6f,77,2627,2,0,100,0,True,0
188077.231592906,1f0d2pn8gz3u,Lucy,18,qyqa6f,39,47374,2,0,100,0,True,0
188078.647508609,1f0d2pn8gz3u,Lucy,18,qyqa6f,66,24476,2,0,100,0,True,0
188081.815014928,1f0d2pn8gz3u,Lucy,18,qyqa6f,4,7302,2,0,100,0,True,0
188090.574012897,1f0d2pn8gz3u,Lucy,19,qyqa6f,54,23000,2,0,100,0,True,0
188091.300146547,1f0d2pn8gz3u,Lucy,19,qyqa6f,72,45076,2,0,100,0,True,0
188091.566027894,1f0d2pn8gz3u,Lucy,19,qyqa6f,61,35735,2,0,100,0,True,0
188092.793210303,1f0d2pn8gz3u,Lucy,19,qyqa6f,54,6098,2,0,100,0,True,0
