t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187898.426250262,2hbqirtzwzte,Lizzette,0,gs4f61,21,7224,1,228,0,0,True,0
187899.230682296,2hbqirtzwzte,Lizzette,0,gs4f61,44,22684,1,228,0,0,True,0
187900.059014903,2hbqirtzwzte,Lizzette,0,gs4f61,71,14651,1,228,0,0,True,0
187900.942952909,2hbqirtzwzte,Lizzette,0,gs4f61,20,39447,1,228,0,0,True,1
187901.889264559,2hbqirtzwzte,Lizzette,1,9j2eq8,26,32137,1,0,0,228,True,1
187902.293391469,2hbqirtzwzte,Lizzette,1,9j2eq8,12,53556,2,0,0,100,True,0
187903.017055681,2hbqirtzwzte,Lizzette,1,gs4f61,16,52733,1,228,0,0,True,0
187903.792292128,2hbqirtzwzte,Lizzette,1,gs4f61,51,16975,1,228,0,0,True,1
187904.730687381,2hbqirtzwzte,Lizzette,1,9j2eq8,28,29655,1,0,0,228,True,0
187905.605592283,2hbqirtzwzte,Lizzette,1,gs4f61,1,20376,1,228,0,0,True,1
187905.989115569,2hbqirtzwzte,Lizzette,1,9j2eq8,28,29655,2,0,0,100,True,1
187906.727057839,2hbqirtzwzte,Lizzette,1,9j2eq8,24,50423,1,0,0,228,True,2
187906.743941054,2hbqirtzwzte,Lizzette,1,4elgam,45,6961,1,0,228,0,True,1
187907.197579853,2hbqirtzwzte,Lizzette,1,4elgam,45,6961,2,100,0,0,True,1
187907.95811475,2hbqirtzwzte,Lizzette,1,9j2eq8,32,23595,1,0,0,228,True,0
187908.803200078,2hbqirtzwzte,Lizzette,1,gs4f61,53,59176,1,228,0,0,True,0
187909.568309298,2hbqirtzwzte,Lizzette,1,gs4f61,27,55051,1,228,0,0,True,1
187909.575806034,2hbqirtzwzte,Lizzette,1,gs4f61,20,39447,2,0,100,0,True,0
187910.364549748,2hbqirtzwzte,Lizzette,1,gs4f61,69,30413,1,228,0,0,True,1
187911.2148629,2hbqirtzwzte,Lizzette,1,9j2eq8,7,24933,1,0,0,228,True,1
187911.221933022,2hbqirtzwzte,Lizzette,1,gs4f61,16,52733,2,0,100,0,True,0
187912.198091288,2hbqirtzwzte,Lizzette,2,gs4f61,24,27762,1,228,0,0,True,2
187922.76632476,2hbqirtzwzte,Lizzette,3,gs4f61,77,29549,1,228,0,0,True,3
187922.773571948,2hbqirtzwzte,Lizzette,3,gs4f61,51,16975,2,0,100,0,True,2
187923.158380451,2hbqirtzwzte,Lizzette,3,9j2eq8,7,24933,2,0,0,100,True,1
187923.549469474,2hbqirtzwzte,Lizzette,3,9j2eq8,30,3997,2,0,0,100,True,0
187924.234912099,2hbqirtzwzte,Lizzette,3,gs4f61,38,17068,1,228,0,0,True,1
187924.992531739,2hbqirtzwzte,Lizzette,3,9j2eq8,50,53193,1,0,0,228,True,1
187925.408592705,2hbqirtzwzte,Lizzette,3,9j2eq8,17,6421,2,0,0,100,True,0
187926.153125316,2hbqirtzwzte,Lizzette,3,gs4f61,9,61043,1,228,0,0,True,0
187926.870000094,2hbqirtzwzte,Lizzette,3,gs4f61,33,25290,1,228,0,0,True,0
187927.638122758,2hbqirtzwzte,Lizzette,3,gs4f61,54,19727,1,228,0,0,True,0
187928.391690476,2hbqirtzwzte,Lizzette,3,gs4f61,72,20265,1,228,0,0,True,2
187928.787052007,2hbqirtzwzte,Lizzette,3,9j2eq8,11,49936,2,0,0,100,True,1
187929.566232538,2hbqirtzwzte,Lizzette,3,9j2eq8,51,49867,1,0,0,228,True,1
187930.278219378,2hbqirtzwzte,Lizzette,3,9j2eq8,9,5266,1,0,0,228,True,0
187931.025061732,2hbqirtzwzte,Lizzette,3,gs4f61,75,18473,1,228,0,0,True,1
187931.495747205,2hbqirtzwzte,Lizzette,3,9j2eq8,51,49867,2,0,0,100,True,1
187932.409393544,2hbqirtzwzte,Lizzette,4,9j2eq8,35,60971,1,0,0,228,True,1
187933.132301009,2hbqirtzwzte,Lizzette,4,9j2eq8,47,41942,1,0,0,228,True,0
187933.87641043,2hbqirtzwzte,Lizzette,4,gs4f61,50,64137,1,228,0,0,True,0
187934.648193952,2hbqirtzwzte,Lizzette,4,gs4f61,41,10860,1,228,0,0,True,0
187935.40606231,2hbqirtzwzte,Lizzette,4,gs4f61,5,30507,1,228,0,0,True,1
187935.414104405,2hbqirtzwzte,Lizzette,4,4elgam,18,9490,1,0,228,0,True,0
187935.803145628,2hbqirtzwzte,Lizzette,4,4elgam,18,9490,2,100,0,0,True,0
187936.522531024,2hbqirtzwzte,Lizzette,4,gs4f61,18,9603,1,228,0,0,True,0
187937.263970978,2hbqirtzwzte,Lizzette,4,gs4f61,67,57292,1,228,0,0,True,0
187938.04091503,2hbqirtzwzte,Lizzette,4,gs4f61,30,51181,1,228,0,0,True,1
187938.783594996,2hbqirtzwzte,Lizzette,4,9j2eq8,29,50858,1,0,0,228,True,0
187939.520743449,2hbqirtzwzte,Lizzette,4,gs4f61,23,58797,1,228,0,0,True,0
187940.244898417,2hbqirtzwzte,Lizzette,4,gs4f61,64,6501,1,228,0,0,True,0
187940.964426425,2hbqirtzwzte,Lizzette,4,gs4f61,49,43642,1,228,0,0,True,2
187941.412905016,2hbqirtzwzte,Lizzette,4,9j2eq8,76,7760,2,0,0,100,True,1
187942.223159187,2hbqirtzwzte,Lizzette,5,9j2eq8,1,3760,1,0,0,228,True,1
187943.018888188,2hbqirtzwzte,Lizzette,5,9j2eq8,75,14934,1,0,0,228,True,0
187943.764115421,2hbqirtzwzte,Lizzette,5,gs4f61,22,46381,1,228,0,0,True,0
187944.534085707,2hbqirtzwzte,Lizzette,5,gs4f61,37,64538,1,228,0,0,True,0
187945.320757034,2hbqirtzwzte,Lizzette,5,gs4f61,52,59482,1,228,0,0,True,0
187946.121082516,2hbqirtzwzte,Lizzette,5,gs4f61,8,29293,1,228,0,0,True,0
187946.849165868,2hbqirtzwzte,Lizzette,5,gs4f61,43,52034,1,228,0,0,True,1
187946.85627662,2hbqirtzwzte,Lizzette,5,gs4f61,33,25290,2,0,100,0,True,0
187947.600737943,2hbqirtzwzte,Lizzette,5,gs4f61,11,25437,1,228,0,0,True,2
187948.018236285,2hbqirtzwzte,Lizzette,5,9j2eq8,14,34343,2,0,0,100,True,1
187948.032165214,2hbqirtzwzte,Lizzette,5,gs4f61,67,57292,2,0,100,0,True,0
187948.794752928,2hbqirtzwzte,Lizzette,5,gs4f61,60,29459,1,228,0,0,True,0
187949.564501235,2hbqirtzwzte,Lizzette,5,gs4f61,6,38084,1,228,0,0,True,0
187950.383270667,2hbqirtzwzte,Lizzette,5,gs4f61,31,9175,1,228,0,0,True,1
187950.390777158,2hbqirtzwzte,Lizzette,5,gs4f61,64,6501,2,0,100,0,True,0
187951.167334817,2hbqirtzwzte,Lizzette,5,gs4f61,32,47805,1,228,0,0,True,0
187952.110886178,2hbqirtzwzte,Lizzette,5,gs4f61,65,63913,1,228,0,0,True,0
187953.034865297,2hbqirtzwzte,Lizzette,6,gs4f61,39,60146,1,228,0,0,True,1
187963.14852456,2hbqirtzwzte,Lizzette,7,gs4f61,68,26079,1,228,0,0,True,2
187963.156337084,2hbqirtzwzte,Lizzette,7,gs4f61,41,10860,2,0,100,0,True,1
187963.163857692,2hbqirtzwzte,Lizzette,7,gs4f61,31,9175,2,0,100,0,True,0
187963.90085603,2hbqirtzwzte,Lizzette,7,gs4f61,70,48638,1,228,0,0,True,0
187964.61612723,2hbqirtzwzte,Lizzette,7,gs4f61,12,64790,1,228,0,0,True,1
187964.625090601,2hbqirtzwzte,Lizzette,7,4elgam,38,5248,1,0,228,0,True,0
187965.050266625,2hbqirtzwzte,Lizzette,7,4elgam,38,5248,2,100,0,0,True,0
187965.824705167,2hbqirtzwzte,Lizzette,7,gs4f61,26,58395,1,228,0,0,True,2
187965.83176187,2hbqirtzwzte,Lizzette,7,gs4f61,18,9603,2,0,100,0,True,1
187965.840803156,2hbqirtzwzte,Lizzette,7,gs4f61,23,58797,2,0,100,0,True,0
187966.634450518,2hbqirtzwzte,Lizzette,7,gs4f61,40,11587,1,228,0,0,True,0
187967.415969623,2hbqirtzwzte,Lizzette,7,gs4f61,55,37249,1,228,0,0,True,0
187968.160293174,2hbqirtzwzte,Lizzette,7,gs4f61,35,5069,1,228,0,0,True,0
187968.966875843,2hbqirtzwzte,Lizzette,7,gs4f61,58,14033,1,228,0,0,True,1
187969.363969625,2hbqirtzwzte,Lizzette,7,9j2eq8,55,27048,2,0,0,100,True,2
187969.783760003,2hbqirtzwzte,Lizzette,7,9j2eq8,56,1338,2,0,0,100,True,1
187970.50696122,2hbqirtzwzte,Lizzette,7,9j2eq8,38,19022,1,0,0,228,True,0
187971.275468436,2hbqirtzwzte,Lizzette,7,gs4f61,57,14036,1,228,0,0,True,0
187972.074628443,2hbqirtzwzte,Lizzette,7,gs4f61,46,11676,1,228,0,0,True,1
187972.862340625,2hbqirtzwzte,Lizzette,8,9j2eq8,8,35036,1,0,0,228,True,3
187972.870024283,2hbqirtzwzte,Lizzette,8,4elgam,22,19456,1,0,228,0,True,2
187973.297742415,2hbqirtzwzte,Lizzette,8,4elgam,22,19456,2,100,0,0,True,2
187973.691554147,2hbqirtzwzte,Lizzette,8,9j2eq8,41,46979,2,0,0,100,True,2
