t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187904.567273863,2lhs56sbzi35,Julianna,1,9j2eq8,12,53556,2,0,100,0,True,0
187905.339552177,2lhs56sbzi35,Julianna,1,a6cerv,6,29658,1,0,228,0,True,0
187905.820275382,2lhs56sbzi35,Julianna,1,a6cerv,6,29658,2,100,0,0,True,0
187907.770638094,2lhs56sbzi35,Julianna,1,9j2eq8,57,25004,2,0,100,0,True,0
187908.853151896,2lhs56sbzi35,Julianna,1,9j2eq8,28,29655,2,0,100,0,True,0
187911.730169396,2lhs56sbzi35,Julianna,2,a6cerv,64,18605,1,0,228,0,True,0
187912.327495013,2lhs56sbzi35,Julianna,2,a6cerv,64,18605,2,100,0,0,True,0
187920.736576606,2lhs56sbzi35,Julianna,2,9j2eq8,79,5819,2,0,100,0,True,0
187923.047176,2lhs56sbzi35,Julianna,3,9j2eq8,19,17147,2,0,100,0,True,0
187928.664208996,2lhs56sbzi35,Julianna,3,9j2eq8,65,37824,2,0,100,0,True,0
187930.895734997,2lhs56sbzi35,Julianna,3,9j2eq8,17,6421,2,0,100,0,True,0
187933.243850684,2lhs56sbzi35,Julianna,4,9j2eq8,40,58935,2,0,100,0,True,0
187940.04719089,2lhs56sbzi35,Julianna,4,9j2eq8,54,52689,2,0,100,0,True,0
187944.000406499,2lhs56sbzi35,Julianna,5,9j2eq8,29,50858,2,0,100,0,True,0
187944.437615448,2lhs56sbzi35,Julianna,5,9j2eq8,47,41942,2,0,100,0,True,0
187954.805709318,2lhs56sbzi35,Julianna,6,9j2eq8,46,18827,2,0,100,0,True,0
187956.188355046,2lhs56sbzi35,Julianna,6,a6cerv,27,61473,1,0,228,0,True,0
187956.564530977,2lhs56sbzi35,Julianna,6,a6cerv,27,61473,2,100,0,0,True,0
187962.110794847,2lhs56sbzi35,Julianna,7,9j2eq8,63,44634,2,0,100,0,True,0
187964.323120006,2lhs56sbzi35,Julianna,7,9j2eq8,15,1168,2,0,100,0,True,0
187971.579801839,2lhs56sbzi35,Julianna,7,a6cerv,47,47015,1,0,228,0,True,0
187972.057289088,2lhs56sbzi35,Julianna,8,a6cerv,47,47015,2,100,0,0,True,0
187977.529703391,2lhs56sbzi35,Julianna,8,9j2eq8,10,31453,2,0,100,0,True,0
187979.357002484,2lhs56sbzi35,Julianna,8,a6cerv,75,34668,1,0,228,0,True,0
187979.772780003,2lhs56sbzi35,Julianna,8,a6cerv,75,34668,2,100,0,0,True,0
187988.527034843,2lhs56sbzi35,Julianna,9,9j2eq8,48,19388,2,0,100,0,True,0
187993.721788701,2lhs56sbzi35,Julianna,10,9j2eq8,31,5451,2,0,100,0,True,0
187999.547061406,2lhs56sbzi35,Julianna,10,9j2eq8,59,35824,2,0,100,0,True,0
188017.296878792,2lhs56sbzi35,Julianna,12,9j2eq8,13,44006,2,0,100,0,True,0
188019.980490121,2lhs56sbzi35,Julianna,12,9j2eq8,44,7189,2,0,100,0,True,0
188033.303678446,2lhs56sbzi35,Julianna,14,9j2eq8,77,30890,2,0,100,0,True,0
188033.828787141,2lhs56sbzi35,Julianna,14,a6cerv,17,21417,1,0,228,0,True,0
188034.22006589,2lhs56sbzi35,Julianna,14,a6cerv,17,21417,2,100,0,0,True,0
188034.85997634,2lhs56sbzi35,Julianna,14,9j2eq8,34,31941,2,0,100,0,True,0
188038.454107289,2lhs56sbzi35,Julianna,14,a6cerv,32,32826,1,0,228,0,True,0
188038.844607237,2lhs56sbzi35,Julianna,14,a6cerv,32,32826,2,100,0,0,True,0
188039.003369178,2lhs56sbzi35,Julianna,14,9j2eq8,3,48193,2,0,100,0,True,0
188041.254108182,2lhs56sbzi35,Julianna,14,a6cerv,55,58569,1,0,228,0,True,0
188041.619652878,2lhs56sbzi35,Julianna,14,a6cerv,55,58569,2,100,0,0,True,0
