t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187903.989312465,5u4dr1j7k723,Herma,1,oh3937,78,36525,1,0,228,0,True,0
187904.676921358,5u4dr1j7k723,Herma,1,oh3937,78,36525,2,100,0,0,True,0
187907.096606949,5u4dr1j7k723,Herma,1,oh3937,27,52504,1,0,228,0,True,0
187907.608393363,5u4dr1j7k723,Herma,1,oh3937,27,52504,2,100,0,0,True,0
187921.540109089,5u4dr1j7k723,Herma,2,oh3937,67,42452,1,0,228,0,True,0
187922.234062134,5u4dr1j7k723,Herma,3,oh3937,67,42452,2,100,0,0,True,0
187925.206439924,5u4dr1j7k723,Herma,3,oh3937,25,42301,1,0,228,0,True,0
187925.673033462,5u4dr1j7k723,Herma,3,oh3937,25,42301,2,100,0,0,True,0
187933.199398108,5u4dr1j7k723,Herma,4,oh3937,2,5548,1,0,228,0,True,0
187933.577284916,5u4dr1j7k723,Herma,4,oh3937,2,5548,2,100,0,0,True,0
187939.112586509,5u4dr1j7k723,Herma,4,oh3937,62,16740,1,0,228,0,True,0
187939.570974723,5u4dr1j7k723,Herma,4,oh3937,62,16740,2,100,0,0,True,0
187944.865094964,5u4dr1j7k723,Herma,5,oh3937,17,64947,1,0,228,0,True,0
187945.288064317,5u4dr1j7k723,Herma,5,oh3937,17,64947,2,100,0,0,True,0
187947.157472709,5u4dr1j7k723,Herma,5,oh3937,20,35082,1,0,228,0,True,0
187947.547846485,5u4dr1j7k723,Herma,5,oh3937,20,35082,2,100,0,0,True,0
187950.810245305,5u4dr1j7k723,Herma,5,oh3937,74,52654,1,0,228,0,True,0
187951.246584008,5u4dr1j7k723,Herma,5,oh3937,74,52654,2,100,0,0,True,0
187956.090132339,5u4dr1j7k723,Herma,6,oh3937,44,36533,1,0,228,0,True,0
187956.492154545,5u4dr1j7k723,Herma,6,oh3937,44,36533,2,100,0,0,True,0
187957.552378924,5u4dr1j7k723,Herma,6,oh3937,43,38445,1,0,228,0,True,0
187957.958582181,5u4dr1j7k723,Herma,6,oh3937,43,38445,2,100,0,0,True,0
187966.766185067,5u4dr1j7k723,Herma,7,oh3937,52,63532,1,0,228,0,True,0
187967.18442848,5u4dr1j7k723,Herma,7,oh3937,52,63532,2,100,0,0,True,0
187969.487159636,5u4dr1j7k723,Herma,7,oh3937,34,43369,1,0,228,0,True,0
187969.881069194,5u4dr1j7k723,Herma,7,oh3937,34,43369,2,100,0,0,True,0
187993.963978461,5u4dr1j7k723,Herma,10,oh3937,68,53919,1,0,228,0,True,0
187994.394808945,5u4dr1j7k723,Herma,10,oh3937,68,53919,2,100,0,0,True,0
187996.52411325,5u4dr1j7k723,Herma,10,oh3937,13,29009,1,0,228,0,True,0
187996.977542585,5u4dr1j7k723,Herma,10,oh3937,13,29009,2,100,0,0,True,0
