t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187918.107425536,9hgk01p8gx7o,Elvera,2,9j2eq8,19,17147,1,0,228,0,True,0
187918.542409415,9hgk01p8gx7o,Elvera,2,9j2eq8,19,17147,2,100,0,0,True,0
187925.000447866,9hgk01p8gx7o,Elvera,3,9j2eq8,50,53193,1,0,228,0,True,0
187925.415705188,9hgk01p8gx7o,Elvera,3,9j2eq8,50,53193,2,100,0,0,True,0
187950.167246309,9hgk01p8gx7o,Elvera,5,9j2eq8,73,48835,1,0,228,0,True,0
187950.595758082,9hgk01p8gx7o,Elvera,5,9j2eq8,73,48835,2,100,0,0,True,0
187956.196439274,9hgk01p8gx7o,Elvera,6,9j2eq8,3,1373,1,0,228,0,True,0
187956.585861007,9hgk01p8gx7o,Elvera,6,9j2eq8,3,1373,2,100,0,0,True,0
187985.217670969,9hgk01p8gx7o,Elvera,9,9j2eq8,55,59291,1,0,228,0,True,0
187985.609721472,9hgk01p8gx7o,Elvera,9,9j2eq8,55,59291,2,100,0,0,True,1
187985.617196621,9hgk01p8gx7o,Elvera,9,9j2eq8,0,15732,1,0,228,0,True,0
187986.059334599,9hgk01p8gx7o,Elvera,9,9j2eq8,0,15732,2,100,0,0,True,0
187988.897309509,9hgk01p8gx7o,Elvera,9,9j2eq8,13,691,1,0,228,0,True,0
187989.315899144,9hgk01p8gx7o,Elvera,9,9j2eq8,13,691,2,100,0,0,True,0
188002.287020308,9hgk01p8gx7o,Elvera,11,9j2eq8,31,7003,1,0,228,0,True,0
188002.764089673,9hgk01p8gx7o,Elvera,11,9j2eq8,31,7003,2,100,0,0,True,0
188010.332946793,9hgk01p8gx7o,Elvera,11,9j2eq8,34,37780,1,0,228,0,True,0
188010.741133462,9hgk01p8gx7o,Elvera,11,9j2eq8,34,37780,2,100,0,0,True,0
188013.657550644,9hgk01p8gx7o,Elvera,12,9j2eq8,13,48423,1,0,228,0,True,0
188014.05387346,9hgk01p8gx7o,Elvera,12,9j2eq8,13,48423,2,100,0,0,True,0
188016.629678122,9hgk01p8gx7o,Elvera,12,9j2eq8,3,48193,1,0,228,0,True,0
188017.048752179,9hgk01p8gx7o,Elvera,12,9j2eq8,3,48193,2,100,0,0,True,0
188044.732153477,9hgk01p8gx7o,Elvera,15,9j2eq8,13,59921,1,0,228,0,True,0
188045.12464137,9hgk01p8gx7o,Elvera,15,9j2eq8,13,59921,2,100,0,0,True,0
