t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187900.013785569,cz38mqa6tpib,Livia,0,a6cerv,24,58435,1,0,0,228,True,0
187900.918138096,cz38mqa6tpib,Livia,0,a6cerv,5,57798,1,0,0,228,True,0
187903.593862753,cz38mqa6tpib,Livia,1,v0zd4m,70,25051,1,0,0,228,True,3
187904.356860026,cz38mqa6tpib,Livia,1,a6cerv,6,29658,1,0,0,228,True,4
187905.027049588,cz38mqa6tpib,Livia,1,v0zd4m,16,58834,2,0,0,100,True,5
187905.748456685,cz38mqa6tpib,Livia,1,v0zd4m,20,28068,1,0,0,228,True,4
187906.167116482,cz38mqa6tpib,Livia,1,oh3937,42,43292,2,0,0,100,True,5
187906.612013061,cz38mqa6tpib,Livia,1,v0zd4m,51,23177,2,0,0,100,True,5
187907.404626809,cz38mqa6tpib,Livia,1,v0zd4m,26,7469,1,0,0,228,True,6
187907.951242673,cz38mqa6tpib,Livia,1,v0zd4m,23,41391,2,0,0,100,True,6
187908.795774906,cz38mqa6tpib,Livia,1,v0zd4m,50,58953,1,0,0,228,True,6
187909.198757365,cz38mqa6tpib,Livia,1,v0zd4m,70,25051,2,0,0,100,True,5
187909.612320128,cz38mqa6tpib,Livia,1,a6cerv,6,29658,2,0,0,100,True,6
187910.424190378,cz38mqa6tpib,Livia,1,v0zd4m,7,22380,1,0,0,228,True,10
187911.243330934,cz38mqa6tpib,Livia,1,oh3937,32,59118,1,0,0,228,True,12
187912.138195368,cz38mqa6tpib,Livia,2,oh3937,3,61553,1,0,0,228,True,12
187912.525340259,cz38mqa6tpib,Livia,2,oh3937,27,52504,2,0,0,100,True,11
187912.953815986,cz38mqa6tpib,Livia,2,v0zd4m,38,37715,2,0,0,100,True,12
187913.739859313,cz38mqa6tpib,Livia,2,v0zd4m,76,30290,1,0,0,228,True,13
187914.149728501,cz38mqa6tpib,Livia,2,v0zd4m,20,28068,2,0,0,100,True,12
187914.880059095,cz38mqa6tpib,Livia,2,v0zd4m,35,57118,1,0,0,228,True,12
187915.590737716,cz38mqa6tpib,Livia,2,oh3937,15,60534,1,0,0,228,True,13
187916.325260004,cz38mqa6tpib,Livia,2,oh3937,10,27454,1,0,0,228,True,12
187917.144109427,cz38mqa6tpib,Livia,2,v0zd4m,60,21846,1,0,0,228,True,11
187917.654649303,cz38mqa6tpib,Livia,2,v0zd4m,12,3373,2,0,0,100,True,10
187918.07703712,cz38mqa6tpib,Livia,2,v0zd4m,26,7469,2,0,0,100,True,9
187918.510933356,cz38mqa6tpib,Livia,2,oh3937,38,33593,2,0,0,100,True,9
187919.275912883,cz38mqa6tpib,Livia,2,v0zd4m,10,37275,1,0,0,228,True,10
187919.647415974,cz38mqa6tpib,Livia,2,v0zd4m,50,58953,2,0,0,100,True,9
187920.421894392,cz38mqa6tpib,Livia,2,v0zd4m,61,32417,1,0,0,228,True,9
187920.832900231,cz38mqa6tpib,Livia,2,oh3937,50,31183,2,0,0,100,True,8
187921.665035374,cz38mqa6tpib,Livia,2,a6cerv,33,6605,1,0,0,228,True,9
187922.566957932,cz38mqa6tpib,Livia,3,v0zd4m,8,9972,1,0,0,228,True,9
187923.271735639,cz38mqa6tpib,Livia,3,v0zd4m,4,18516,1,0,0,228,True,8
187924.019651426,cz38mqa6tpib,Livia,3,v0zd4m,46,55633,1,0,0,228,True,11
187924.430041412,cz38mqa6tpib,Livia,3,a6cerv,1,15545,2,0,0,100,True,10
187924.873593742,cz38mqa6tpib,Livia,3,oh3937,10,27454,2,0,0,100,True,11
187925.316435741,cz38mqa6tpib,Livia,3,v0zd4m,35,57118,2,0,0,100,True,10
