t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187898.460093287,d6tvg919qn32,Annabel,0,mjrogs,1,50262,1,228,0,0,True,0
187899.260382091,d6tvg919qn32,Annabel,0,mjrogs,63,50070,1,228,0,0,True,0
187900.086967436,d6tvg919qn32,Annabel,0,mjrogs,30,9316,1,228,0,0,True,0
187900.957866835,d6tvg919qn32,Annabel,0,mjrogs,61,63703,1,228,0,0,True,0
187901.967928401,d6tvg919qn32,Annabel,1,mjrogs,75,53255,1,228,0,0,True,0
187902.803625453,d6tvg919qn32,Annabel,1,mjrogs,16,60415,1,228,0,0,True,1
187902.812028695,d6tvg919qn32,Annabel,1,mjrogs,30,9316,2,0,100,0,True,0
187903.620162941,d6tvg919qn32,Annabel,1,mjrogs,38,45176,1,228,0,0,True,0
187904.495634991,d6tvg919qn32,Annabel,1,mjrogs,42,43458,1,228,0,0,True,0
187905.485817011,d6tvg919qn32,Annabel,1,mjrogs,72,50315,1,228,0,0,True,0
187906.282451592,d6tvg919qn32,Annabel,1,mjrogs,10,25376,1,228,0,0,True,1
187906.699340199,d6tvg919qn32,Annabel,1,udjpmp,65,25653,2,0,0,100,True,0
187907.57607178,d6tvg919qn32,Annabel,1,mjrogs,33,26764,1,228,0,0,True,0
187908.368113434,d6tvg919qn32,Annabel,1,mjrogs,73,33360,1,228,0,0,True,0
187909.091537716,d6tvg919qn32,Annabel,1,mjrogs,4,18157,1,228,0,0,True,0
187909.837928978,d6tvg919qn32,Annabel,1,mjrogs,51,2139,1,228,0,0,True,0
187910.559086928,d6tvg919qn32,Annabel,1,mjrogs,64,22725,1,228,0,0,True,0
187911.47536479,d6tvg919qn32,Annabel,1,mjrogs,20,60052,1,228,0,0,True,0
187912.319790395,d6tvg919qn32,Annabel,2,mjrogs,7,57483,1,228,0,0,True,0
187913.024515414,d6tvg919qn32,Annabel,2,mjrogs,17,14959,1,228,0,0,True,0
187913.798406223,d6tvg919qn32,Annabel,2,mjrogs,34,50184,1,228,0,0,True,0
187914.591793997,d6tvg919qn32,Annabel,2,mjrogs,22,32740,1,228,0,0,True,0
187915.394825823,d6tvg919qn32,Annabel,2,mjrogs,18,8288,1,228,0,0,True,1
187915.403057316,d6tvg919qn32,Annabel,2,mjrogs,64,22725,2,0,100,0,True,0
187916.19723034,d6tvg919qn32,Annabel,2,mjrogs,9,40174,1,228,0,0,True,0
187916.980295895,d6tvg919qn32,Annabel,2,mjrogs,21,2272,1,228,0,0,True,0
187917.810840877,d6tvg919qn32,Annabel,2,mjrogs,65,7541,1,228,0,0,True,0
187918.65515074,d6tvg919qn32,Annabel,2,mjrogs,70,12751,1,228,0,0,True,0
187919.40998286,d6tvg919qn32,Annabel,2,mjrogs,35,53232,1,228,0,0,True,0
187920.144376075,d6tvg919qn32,Annabel,2,mjrogs,12,28283,1,228,0,0,True,0
187920.876372546,d6tvg919qn32,Annabel,2,mjrogs,57,14360,1,228,0,0,True,0
187921.679235197,d6tvg919qn32,Annabel,2,mjrogs,3,48606,1,228,0,0,True,0
187922.588732308,d6tvg919qn32,Annabel,3,mjrogs,69,6744,1,228,0,0,True,0
187923.317817129,d6tvg919qn32,Annabel,3,mjrogs,5,15849,1,228,0,0,True,0
187924.088820149,d6tvg919qn32,Annabel,3,mjrogs,62,31299,1,228,0,0,True,0
187924.803761781,d6tvg919qn32,Annabel,3,mjrogs,40,7,1,228,0,0,True,1
187924.816523314,d6tvg919qn32,Annabel,3,mjrogs,35,53232,2,0,100,0,True,0
187925.563073453,d6tvg919qn32,Annabel,3,mjrogs,79,31394,1,228,0,0,True,0
187926.283468806,d6tvg919qn32,Annabel,3,mjrogs,48,34593,1,228,0,0,True,0
187927.016888858,d6tvg919qn32,Annabel,3,mjrogs,66,53209,1,228,0,0,True,0
