t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187899.190086136,dy12yhv6tlit,Elvera,0,usgb5p,55,34994,1,0,0,228,True,0
187900.121891582,dy12yhv6tlit,Elvera,0,mjrogs,1,50262,2,0,0,100,True,0
187901.920911905,dy12yhv6tlit,Elvera,1,usgb5p,58,12407,1,0,0,228,True,1
187902.323249545,dy12yhv6tlit,Elvera,1,mjrogs,63,50070,2,0,0,100,True,0
187905.499915299,dy12yhv6tlit,Elvera,1,v0zd4m,16,58834,2,0,0,100,True,0
187906.33368872,dy12yhv6tlit,Elvera,1,usgb5p,60,29998,1,0,0,228,True,2
187906.773587852,dy12yhv6tlit,Elvera,1,mjrogs,38,45176,2,0,0,100,True,1
187907.226591474,dy12yhv6tlit,Elvera,1,usgb5p,40,38372,2,0,0,100,True,0
187908.356870498,dy12yhv6tlit,Elvera,1,mjrogs,33,26764,1,0,0,228,True,2
187909.056495896,dy12yhv6tlit,Elvera,1,usgb5p,23,14821,1,0,0,228,True,1
187909.77584723,dy12yhv6tlit,Elvera,1,v0zd4m,35,57118,1,0,0,228,True,2
187910.543187388,dy12yhv6tlit,Elvera,1,mjrogs,4,18157,1,0,0,228,True,1
187910.981256159,dy12yhv6tlit,Elvera,1,v0zd4m,70,25051,2,0,0,100,True,0
187912.101478244,dy12yhv6tlit,Elvera,2,v0zd4m,10,37275,1,0,0,228,True,0
187915.348549853,dy12yhv6tlit,Elvera,2,usgb5p,15,55343,1,0,0,228,True,0
187916.144946334,dy12yhv6tlit,Elvera,2,mjrogs,7,57483,2,0,0,100,True,0
187916.66291588,dy12yhv6tlit,Elvera,2,v0zd4m,76,30290,2,0,0,100,True,1
187917.35502141,dy12yhv6tlit,Elvera,2,v0zd4m,56,19946,1,0,0,228,True,1
187917.739557401,dy12yhv6tlit,Elvera,2,mjrogs,18,8288,2,0,0,100,True,0
187918.613439559,dy12yhv6tlit,Elvera,2,mjrogs,65,7541,1,0,0,228,True,0
