t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187899.163221488,gt8fxykvg4pb,Lila,0,a6cerv,24,58435,1,0,0,228,True,0
187900.025883179,gt8fxykvg4pb,Lila,0,a6cerv,5,57798,1,0,0,228,True,1
187900.771607925,gt8fxykvg4pb,Lila,0,4elgam,55,6395,1,0,0,228,True,0
187901.928697819,gt8fxykvg4pb,Lila,1,4elgam,50,10126,1,0,0,228,True,0
187907.647155195,gt8fxykvg4pb,Lila,1,udjpmp,54,43188,2,0,0,100,True,0
187913.488720349,gt8fxykvg4pb,Lila,2,a6cerv,33,6605,1,0,0,228,True,0
187914.779397877,gt8fxykvg4pb,Lila,2,a6cerv,64,18605,2,0,0,100,True,2
187915.518641558,gt8fxykvg4pb,Lila,2,a6cerv,1,15545,1,0,0,228,True,1
187915.931775958,gt8fxykvg4pb,Lila,2,a6cerv,5,57798,2,0,0,100,True,0
187916.630194611,gt8fxykvg4pb,Lila,2,4elgam,26,63927,2,0,100,0,True,0
187919.175472378,gt8fxykvg4pb,Lila,2,a6cerv,21,33281,1,0,0,228,True,0
187920.71294447,gt8fxykvg4pb,Lila,2,a6cerv,50,34700,1,0,0,228,True,0
187922.488520133,gt8fxykvg4pb,Lila,3,4elgam,50,10126,2,0,100,0,True,0
187923.895752127,gt8fxykvg4pb,Lila,3,udjpmp,77,8923,2,0,0,100,True,0
187924.559298511,gt8fxykvg4pb,Lila,3,udjpmp,39,29177,2,0,0,100,True,1
187924.951085213,gt8fxykvg4pb,Lila,3,a6cerv,1,15545,2,0,0,100,True,0
187933.175447375,gt8fxykvg4pb,Lila,4,udjpmp,38,7546,1,0,0,228,True,0
187934.631722353,gt8fxykvg4pb,Lila,4,udjpmp,46,10392,1,0,0,228,True,0
187938.033351605,gt8fxykvg4pb,Lila,4,udjpmp,13,47579,1,0,0,228,True,1
187938.776116988,gt8fxykvg4pb,Lila,4,4elgam,6,16172,1,0,0,228,True,1
187939.480822949,gt8fxykvg4pb,Lila,4,a6cerv,4,29247,1,0,0,228,True,0
187940.284152059,gt8fxykvg4pb,Lila,4,udjpmp,66,42922,1,0,0,228,True,0
187942.019696079,gt8fxykvg4pb,Lila,5,a6cerv,36,42635,1,0,0,228,True,2
187951.894672759,gt8fxykvg4pb,Lila,6,udjpmp,4,60878,2,0,0,100,True,1
187952.514406127,gt8fxykvg4pb,Lila,6,udjpmp,46,10392,2,0,0,100,True,0
187955.932862065,gt8fxykvg4pb,Lila,6,udjpmp,17,28497,1,0,0,228,True,0
187960.684139698,gt8fxykvg4pb,Lila,6,a6cerv,36,42635,2,0,0,100,True,1
187961.110627133,gt8fxykvg4pb,Lila,6,udjpmp,76,9274,2,0,0,100,True,0
187982.31696186,gt8fxykvg4pb,Lila,9,4elgam,63,62364,1,0,0,228,True,0
187982.829859458,gt8fxykvg4pb,Lila,9,4elgam,63,62364,2,0,100,0,True,0
187983.626216077,gt8fxykvg4pb,Lila,9,udjpmp,10,17097,1,0,0,228,True,0
187988.067595267,gt8fxykvg4pb,Lila,9,udjpmp,57,14212,2,0,0,100,True,0
187988.464275242,gt8fxykvg4pb,Lila,9,4elgam,76,29651,2,0,100,0,True,0
187991.254744181,gt8fxykvg4pb,Lila,9,a6cerv,54,59407,2,0,0,100,True,0
187992.111567503,gt8fxykvg4pb,Lila,10,4elgam,31,29545,2,0,100,0,True,0
187993.331621951,gt8fxykvg4pb,Lila,10,4elgam,8,9804,2,0,100,0,True,0
187994.348822547,gt8fxykvg4pb,Lila,10,4elgam,65,5677,1,0,0,228,True,0
187999.046561077,gt8fxykvg4pb,Lila,10,udjpmp,71,16493,2,0,0,100,True,0
188002.255439061,gt8fxykvg4pb,Lila,11,udjpmp,67,47444,1,0,0,228,True,0
188004.56643145,gt8fxykvg4pb,Lila,11,udjpmp,41,1332,1,0,0,228,True,1
188004.573854765,gt8fxykvg4pb,Lila,11,4elgam,36,44621,2,0,100,0,True,0
188008.020489642,gt8fxykvg4pb,Lila,11,udjpmp,58,24644,1,0,0,228,True,0
188009.461549153,gt8fxykvg4pb,Lila,11,udjpmp,2,18035,1,0,0,228,True,1
188009.870231674,gt8fxykvg4pb,Lila,11,udjpmp,40,7666,2,0,0,100,True,1
188010.583162443,gt8fxykvg4pb,Lila,11,4elgam,33,57789,1,0,0,228,True,0
