t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187940.491556434,kb1nzww56gk8,Lizzette,4,gs4f61,38,17068,2,0,100,0,True,0
187952.70204642,kb1nzww56gk8,Lizzette,6,gs4f61,50,64137,2,0,100,0,True,0
187953.119367664,kb1nzww56gk8,Lizzette,6,gs4f61,52,59482,2,0,100,0,True,0
187954.602146821,kb1nzww56gk8,Lizzette,6,gs4f61,9,61043,2,0,100,0,True,0
187955.018672075,kb1nzww56gk8,Lizzette,6,gs4f61,5,30507,2,0,100,0,True,0
187955.443906338,kb1nzww56gk8,Lizzette,6,gs4f61,37,64538,2,0,100,0,True,0
187956.947915846,kb1nzww56gk8,Lizzette,6,gs4f61,8,29293,2,0,100,0,True,0
187961.627077702,kb1nzww56gk8,Lizzette,6,gs4f61,43,52034,2,0,100,0,True,0
187961.994671219,kb1nzww56gk8,Lizzette,6,gs4f61,65,63913,2,0,100,0,True,0
187962.102687721,kb1nzww56gk8,Lizzette,6,gs4f61,22,46381,2,0,100,0,True,0
187965.919049256,kb1nzww56gk8,Lizzette,7,4elgam,64,24249,1,0,228,0,True,0
187966.304992221,kb1nzww56gk8,Lizzette,7,4elgam,64,24249,2,100,0,0,True,0
187967.819367625,kb1nzww56gk8,Lizzette,7,4elgam,46,51551,1,0,228,0,True,0
187968.248453736,kb1nzww56gk8,Lizzette,7,4elgam,46,51551,2,100,0,0,True,0
187968.872075927,kb1nzww56gk8,Lizzette,7,4elgam,61,53809,1,0,228,0,True,0
187969.270217407,kb1nzww56gk8,Lizzette,7,4elgam,61,53809,2,100,0,0,True,0
187971.13814204,kb1nzww56gk8,Lizzette,7,gs4f61,70,48638,2,0,100,0,True,0
187985.286667287,kb1nzww56gk8,Lizzette,9,4elgam,76,29651,1,0,228,0,True,0
187985.699614869,kb1nzww56gk8,Lizzette,9,4elgam,76,29651,2,100,0,0,True,0
187990.234906679,kb1nzww56gk8,Lizzette,9,4elgam,8,9804,1,0,228,0,True,0
187990.655215225,kb1nzww56gk8,Lizzette,9,4elgam,8,9804,2,100,0,0,True,0
187990.73184975,kb1nzww56gk8,Lizzette,9,gs4f61,35,5069,2,0,100,0,True,0
187991.487854656,kb1nzww56gk8,Lizzette,9,4elgam,31,29545,1,0,228,0,True,0
187991.935229276,kb1nzww56gk8,Lizzette,9,4elgam,31,29545,2,100,0,0,True,0
187994.358723271,kb1nzww56gk8,Lizzette,10,4elgam,65,5677,1,0,228,0,True,0
187994.776317624,kb1nzww56gk8,Lizzette,10,4elgam,65,5677,2,100,0,0,True,0
187999.474415134,kb1nzww56gk8,Lizzette,10,gs4f61,58,14033,2,0,100,0,True,0
188005.174701436,kb1nzww56gk8,Lizzette,11,gs4f61,55,37249,2,0,100,0,True,0
188007.828364248,kb1nzww56gk8,Lizzette,11,4elgam,3,20892,1,0,228,0,True,0
188008.227284978,kb1nzww56gk8,Lizzette,11,4elgam,3,20892,2,100,0,0,True,0
188010.218880546,kb1nzww56gk8,Lizzette,11,4elgam,56,2831,1,0,228,0,True,0
188010.637748866,kb1nzww56gk8,Lizzette,11,4elgam,56,2831,2,100,0,0,True,0
188014.156143941,kb1nzww56gk8,Lizzette,12,gs4f61,66,12214,2,0,100,0,True,0
188015.424489444,kb1nzww56gk8,Lizzette,12,gs4f61,13,31461,2,0,100,0,True,0
188019.304547099,kb1nzww56gk8,Lizzette,12,gs4f61,78,40479,2,0,100,0,True,1
188019.313085806,kb1nzww56gk8,Lizzette,12,gs4f61,57,14036,2,0,100,0,True,0
188020.181174876,kb1nzww56gk8,Lizzette,12,gs4f61,56,39481,2,0,100,0,True,0
188022.487196128,kb1nzww56gk8,Lizzette,12,gs4f61,61,14861,2,0,100,0,True,0
188024.191486724,kb1nzww56gk8,Lizzette,13,4elgam,15,37853,1,0,228,0,True,0
188024.591518943,kb1nzww56gk8,Lizzette,13,4elgam,15,37853,2,100,0,0,True,0
188033.99403255,kb1nzww56gk8,Lizzette,14,4elgam,7,40895,1,0,228,0,True,0
188034.367528453,kb1nzww56gk8,Lizzette,14,4elgam,7,40895,2,100,0,0,True,0
188035.595495434,kb1nzww56gk8,Lizzette,14,gs4f61,59,21728,2,0,100,0,True,0
188036.717711944,kb1nzww56gk8,Lizzette,14,gs4f61,34,34668,2,0,100,0,True,0
188037.818605536,kb1nzww56gk8,Lizzette,14,gs4f61,14,64540,2,0,100,0,True,0
188038.621964806,kb1nzww56gk8,Lizzette,14,gs4f61,0,24895,2,0,100,0,True,0
188040.168085702,kb1nzww56gk8,Lizzette,14,gs4f61,25,48984,2,0,100,0,True,0
188042.423524896,kb1nzww56gk8,Lizzette,14,gs4f61,62,65349,2,0,100,0,True,0
188045.685480856,kb1nzww56gk8,Lizzette,15,4elgam,9,23452,1,0,228,0,True,0
188046.094759676,kb1nzww56gk8,Lizzette,15,4elgam,9,23452,2,100,0,0,True,0
188046.563518553,kb1nzww56gk8,Lizzette,15,gs4f61,4,34382,2,0,100,0,True,0
188048.13142067,kb1nzww56gk8,Lizzette,15,gs4f61,7,45783,2,0,100,0,True,0
188049.585203188,kb1nzww56gk8,Lizzette,15,gs4f61,7,38212,2,0,100,0,True,0
188051.147592845,kb1nzww56gk8,Lizzette,15,gs4f61,76,8637,2,0,100,0,True,0
188084.673410553,kb1nzww56gk8,Lizzette,19,4elgam,40,6521,1,0,228,0,True,0
188085.092304505,kb1nzww56gk8,Lizzette,19,4elgam,40,6521,2,100,0,0,True,1
188085.099418025,kb1nzww56gk8,Lizzette,19,4elgam,39,2441,1,0,228,0,True,0
188085.482587304,kb1nzww56gk8,Lizzette,19,4elgam,39,2441,2,100,0,0,True,0
