t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187899.202918571,leklzie0dhb7,Delaine,0,oh3937,0,4827,1,0,0,228,True,0
187900.037193474,leklzie0dhb7,Delaine,0,oh3937,71,42020,1,0,0,228,True,0
187933.708976894,leklzie0dhb7,Delaine,4,oh3937,5,42126,2,0,100,0,True,1
187934.442874037,leklzie0dhb7,Delaine,4,oh3937,60,38417,1,0,0,228,True,1
187934.450008659,leklzie0dhb7,Delaine,4,oh3937,25,42301,2,0,100,0,True,0
187935.233761538,leklzie0dhb7,Delaine,4,oh3937,33,8485,1,0,0,228,True,1
187935.970853938,leklzie0dhb7,Delaine,4,qyqa6f,15,32472,1,0,0,228,True,0
187936.06093698,leklzie0dhb7,Delaine,4,oh3937,12,39993,2,0,100,0,True,0
187938.308372831,leklzie0dhb7,Delaine,4,oh3937,30,57949,2,0,100,0,True,0
187975.835324084,leklzie0dhb7,Delaine,8,oh3937,57,61239,1,0,0,228,True,0
187977.383315844,leklzie0dhb7,Delaine,8,oh3937,40,13533,1,0,0,228,True,0
187978.133796964,leklzie0dhb7,Delaine,8,oh3937,63,4291,1,0,0,228,True,0
187979.051154366,leklzie0dhb7,Delaine,8,oh3937,46,45679,2,0,100,0,True,0
187980.879276557,leklzie0dhb7,Delaine,8,oh3937,53,64810,1,0,0,228,True,0
187981.65845657,leklzie0dhb7,Delaine,8,oh3937,51,32044,1,0,0,228,True,0
188046.142153856,leklzie0dhb7,Delaine,15,qyqa6f,52,27891,1,0,0,228,True,0
188048.456370108,leklzie0dhb7,Delaine,15,qyqa6f,16,28984,1,0,0,228,True,0
188050.358149602,leklzie0dhb7,Delaine,15,qyqa6f,9,61320,1,0,0,228,True,0
188051.075055682,leklzie0dhb7,Delaine,15,qyqa6f,30,29895,1,0,0,228,True,0
188073.934728266,leklzie0dhb7,Delaine,18,qyqa6f,12,17610,1,0,0,228,True,0
188076.730815255,leklzie0dhb7,Delaine,18,qyqa6f,77,2627,2,0,0,100,True,1
188077.447874236,leklzie0dhb7,Delaine,18,qyqa6f,45,3744,1,0,0,228,True,0
188081.006545574,leklzie0dhb7,Delaine,18,qyqa6f,26,25388,1,0,0,228,True,1
188081.39403582,leklzie0dhb7,Delaine,18,qyqa6f,22,25090,2,0,0,100,True,0
188164.030717503,leklzie0dhb7,Delaine,27,qyqa6f,18,43465,1,0,0,228,True,0
188166.921793926,leklzie0dhb7,Delaine,27,qyqa6f,18,43465,2,0,0,100,True,0
