t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187899.993241138,lwqi0sryhrfh,Lizzette,0,usgb5p,55,34994,1,0,0,228,True,0
187902.1714345,lwqi0sryhrfh,Lizzette,1,a6cerv,24,58435,2,0,0,100,True,1
187921.899568908,lwqi0sryhrfh,Lizzette,3,4elgam,50,10126,1,0,228,0,True,0
187922.476185066,lwqi0sryhrfh,Lizzette,3,4elgam,50,10126,2,100,0,0,True,0
187923.472241859,lwqi0sryhrfh,Lizzette,3,qyqa6f,42,18018,2,0,0,100,True,0
187929.977214527,lwqi0sryhrfh,Lizzette,3,usgb5p,64,48713,2,0,0,100,True,0
187930.836629911,lwqi0sryhrfh,Lizzette,3,usgb5p,17,56419,1,0,0,228,True,0
187980.210025374,lwqi0sryhrfh,Lizzette,8,a6cerv,75,34668,2,0,0,100,True,0
187982.428029029,lwqi0sryhrfh,Lizzette,9,usgb5p,52,28814,1,0,0,228,True,0
188043.264082244,lwqi0sryhrfh,Lizzette,15,gs4f61,14,3275,2,0,100,0,True,0
188043.30738095,lwqi0sryhrfh,Lizzette,15,gs4f61,76,50130,2,0,100,0,True,0
188046.943332034,lwqi0sryhrfh,Lizzette,15,qyqa6f,55,57947,2,0,0,100,True,0
188046.990467842,lwqi0sryhrfh,Lizzette,15,gs4f61,0,40750,2,0,100,0,True,0
188048.254780208,lwqi0sryhrfh,Lizzette,15,a6cerv,40,3172,2,0,0,100,True,1
188048.638314579,lwqi0sryhrfh,Lizzette,15,qyqa6f,37,34960,2,0,0,100,True,1
188049.343699955,lwqi0sryhrfh,Lizzette,15,qyqa6f,16,28984,1,0,0,228,True,3
188049.352475561,lwqi0sryhrfh,Lizzette,15,gs4f61,25,56328,2,0,100,0,True,2
188049.731762248,lwqi0sryhrfh,Lizzette,15,qyqa6f,52,27891,2,0,0,100,True,2
188049.739457381,lwqi0sryhrfh,Lizzette,15,gs4f61,4,51032,2,0,100,0,True,1
188050.115566941,lwqi0sryhrfh,Lizzette,15,qyqa6f,73,39425,2,0,0,100,True,1
188050.126989522,lwqi0sryhrfh,Lizzette,15,4elgam,0,8948,1,0,228,0,True,0
188050.505514629,lwqi0sryhrfh,Lizzette,15,4elgam,0,8948,2,100,0,0,True,1
188051.200353302,lwqi0sryhrfh,Lizzette,15,qyqa6f,9,61320,1,0,0,228,True,1
188051.592106046,lwqi0sryhrfh,Lizzette,15,qyqa6f,16,28984,2,0,0,100,True,1
188051.59902278,lwqi0sryhrfh,Lizzette,15,4elgam,73,21593,1,0,228,0,True,0
188052.001801548,lwqi0sryhrfh,Lizzette,15,4elgam,73,21593,2,100,0,0,True,0
188101.015835442,lwqi0sryhrfh,Lizzette,20,qyqa6f,33,32990,2,0,0,100,True,1
188101.38937215,lwqi0sryhrfh,Lizzette,20,qyqa6f,33,38744,2,0,0,100,True,0
188105.439895437,lwqi0sryhrfh,Lizzette,21,qyqa6f,24,42659,2,0,0,100,True,0
188177.381810641,lwqi0sryhrfh,Lizzette,28,a6cerv,72,23293,1,0,0,228,True,1
188177.751922205,lwqi0sryhrfh,Lizzette,28,a6cerv,61,56209,2,0,0,100,True,0
188181.056927141,lwqi0sryhrfh,Lizzette,28,a6cerv,41,18366,1,0,0,228,True,0
188182.488354784,lwqi0sryhrfh,Lizzette,28,a6cerv,0,56773,1,0,0,228,True,0
