t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187900.835377487,pk7p4qlgyf12,Elvera,0,usgb5p,55,34994,1,0,0,228,True,1
187900.841669514,pk7p4qlgyf12,Elvera,0,9j2eq8,12,53556,1,0,228,0,True,0
187901.330972112,pk7p4qlgyf12,Elvera,0,9j2eq8,12,53556,2,100,0,0,True,0
187902.7332634,pk7p4qlgyf12,Elvera,1,4elgam,68,60749,1,0,0,228,True,0
187909.670695811,pk7p4qlgyf12,Elvera,1,usgb5p,2,59710,1,0,0,228,True,1
187910.086639709,pk7p4qlgyf12,Elvera,1,usgb5p,78,6096,2,0,0,100,True,0
187911.415920913,pk7p4qlgyf12,Elvera,1,qyqa6f,36,11276,1,0,0,228,True,0
187912.925619648,pk7p4qlgyf12,Elvera,2,qyqa6f,59,50624,1,0,0,228,True,1
187913.710270731,pk7p4qlgyf12,Elvera,2,4elgam,30,18651,1,0,0,228,True,0
187914.651094514,pk7p4qlgyf12,Elvera,2,qyqa6f,36,11276,2,0,0,100,True,0
187915.417992961,pk7p4qlgyf12,Elvera,2,4elgam,26,63927,2,0,0,100,True,0
187916.492564435,pk7p4qlgyf12,Elvera,2,usgb5p,34,10765,2,0,0,100,True,2
187917.235786276,pk7p4qlgyf12,Elvera,2,usgb5p,15,55343,1,0,0,228,True,1
187917.952208977,pk7p4qlgyf12,Elvera,2,qyqa6f,17,31123,1,0,0,228,True,1
187918.425703245,pk7p4qlgyf12,Elvera,2,usgb5p,48,4075,2,0,0,100,True,0
187919.299293865,pk7p4qlgyf12,Elvera,2,9j2eq8,23,26504,1,0,228,0,True,0
187919.7210208,pk7p4qlgyf12,Elvera,2,9j2eq8,23,26504,2,100,0,0,True,0
187921.52631661,pk7p4qlgyf12,Elvera,2,usgb5p,76,48067,1,0,0,228,True,0
187925.680922021,pk7p4qlgyf12,Elvera,3,9j2eq8,18,38787,1,0,228,0,True,0
187926.07696384,pk7p4qlgyf12,Elvera,3,9j2eq8,18,38787,2,100,0,0,True,0
187928.644107472,pk7p4qlgyf12,Elvera,3,usgb5p,64,48713,1,0,0,228,True,0
187929.536298478,pk7p4qlgyf12,Elvera,3,usgb5p,64,48713,2,0,0,100,True,0
187930.545296137,pk7p4qlgyf12,Elvera,3,usgb5p,18,2765,2,0,0,100,True,0
187932.146592344,pk7p4qlgyf12,Elvera,4,usgb5p,61,63102,2,0,0,100,True,1
187933.019100386,pk7p4qlgyf12,Elvera,4,qyqa6f,63,9990,1,0,0,228,True,1
187933.420581104,pk7p4qlgyf12,Elvera,4,usgb5p,17,56419,2,0,0,100,True,0
187935.299737771,pk7p4qlgyf12,Elvera,4,9j2eq8,70,50316,1,0,228,0,True,0
187935.739198598,pk7p4qlgyf12,Elvera,4,9j2eq8,70,50316,2,100,0,0,True,0
187936.209648053,pk7p4qlgyf12,Elvera,4,qyqa6f,63,9990,2,0,0,100,True,0
187936.630674532,pk7p4qlgyf12,Elvera,4,4elgam,18,9490,2,0,0,100,True,1
187937.037184765,pk7p4qlgyf12,Elvera,4,usgb5p,77,11418,2,0,0,100,True,2
187937.762853082,pk7p4qlgyf12,Elvera,4,4elgam,6,16172,1,0,0,228,True,1
187938.152955636,pk7p4qlgyf12,Elvera,4,usgb5p,54,37973,2,0,0,100,True,1
187938.884327831,pk7p4qlgyf12,Elvera,4,usgb5p,30,36593,1,0,0,228,True,0
187940.06963532,pk7p4qlgyf12,Elvera,4,4elgam,6,16172,2,0,0,100,True,0
187940.223410406,pk7p4qlgyf12,Elvera,4,9j2eq8,76,7760,1,0,228,0,True,0
187940.624024703,pk7p4qlgyf12,Elvera,4,9j2eq8,76,7760,2,100,0,0,True,0
187942.32570447,pk7p4qlgyf12,Elvera,5,9j2eq8,36,63532,1,0,228,0,True,0
187942.781446576,pk7p4qlgyf12,Elvera,5,9j2eq8,36,63532,2,100,0,0,True,0
187943.032663777,pk7p4qlgyf12,Elvera,5,9j2eq8,75,14934,1,0,228,0,True,0
187943.443609139,pk7p4qlgyf12,Elvera,5,9j2eq8,75,14934,2,100,0,0,True,0
187945.603049441,pk7p4qlgyf12,Elvera,5,qyqa6f,34,40176,2,0,0,100,True,0
187952.969796243,pk7p4qlgyf12,Elvera,6,usgb5p,35,24720,2,0,0,100,True,0
187957.299605983,pk7p4qlgyf12,Elvera,6,usgb5p,31,50614,2,0,0,100,True,1
187957.307034926,pk7p4qlgyf12,Elvera,6,9j2eq8,42,14647,1,0,228,0,True,0
187957.706847308,pk7p4qlgyf12,Elvera,6,9j2eq8,42,14647,2,100,0,0,True,0
187958.274497117,pk7p4qlgyf12,Elvera,6,usgb5p,9,21806,2,0,0,100,True,1
187958.986773803,pk7p4qlgyf12,Elvera,6,usgb5p,16,37853,1,0,0,228,True,1
187959.388302096,pk7p4qlgyf12,Elvera,6,usgb5p,36,27156,2,0,0,100,True,0
187962.21011339,pk7p4qlgyf12,Elvera,7,4elgam,32,63977,1,0,0,228,True,1
187963.05641375,pk7p4qlgyf12,Elvera,7,4elgam,38,5248,1,0,0,228,True,0
187965.742176459,pk7p4qlgyf12,Elvera,7,usgb5p,26,19849,1,0,0,228,True,1
187966.212331185,pk7p4qlgyf12,Elvera,7,4elgam,38,5248,2,0,0,100,True,1
187966.925366093,pk7p4qlgyf12,Elvera,7,4elgam,46,51551,1,0,0,228,True,1
187967.354544832,pk7p4qlgyf12,Elvera,7,usgb5p,5,9450,2,0,0,100,True,1
187968.0779638,pk7p4qlgyf12,Elvera,7,4elgam,61,53809,1,0,0,228,True,0
187970.990676046,pk7p4qlgyf12,Elvera,7,4elgam,61,53809,2,0,0,100,True,0
187984.537733517,pk7p4qlgyf12,Elvera,9,usgb5p,65,24116,1,0,0,228,True,1
187984.545109116,pk7p4qlgyf12,Elvera,9,9j2eq8,39,20933,1,0,228,0,True,0
187984.962667072,pk7p4qlgyf12,Elvera,9,9j2eq8,39,20933,2,100,0,0,True,2
187985.352424407,pk7p4qlgyf12,Elvera,9,usgb5p,41,62683,2,0,0,100,True,1
187985.360439229,pk7p4qlgyf12,Elvera,9,9j2eq8,48,19388,1,0,228,0,True,0
187985.777598252,pk7p4qlgyf12,Elvera,9,9j2eq8,48,19388,2,100,0,0,True,0
187985.899498052,pk7p4qlgyf12,Elvera,9,9j2eq8,62,14941,1,0,228,0,True,0
187986.279246294,pk7p4qlgyf12,Elvera,9,9j2eq8,62,14941,2,100,0,0,True,0
187987.17151397,pk7p4qlgyf12,Elvera,9,usgb5p,32,50672,1,0,0,228,True,2
187987.612880027,pk7p4qlgyf12,Elvera,9,usgb5p,47,53452,2,0,0,100,True,1
187987.619399688,pk7p4qlgyf12,Elvera,9,9j2eq8,48,13737,1,0,228,0,True,0
187988.037352609,pk7p4qlgyf12,Elvera,9,9j2eq8,48,13737,2,100,0,0,True,0
187988.151064776,pk7p4qlgyf12,Elvera,9,9j2eq8,2,18721,1,0,228,0,True,0
187988.571145813,pk7p4qlgyf12,Elvera,9,9j2eq8,2,18721,2,100,0,0,True,0
187989.471426531,pk7p4qlgyf12,Elvera,9,4elgam,8,9804,1,0,0,228,True,0
187990.277107221,pk7p4qlgyf12,Elvera,9,9j2eq8,53,24610,1,0,228,0,True,0
187990.698808126,pk7p4qlgyf12,Elvera,9,9j2eq8,53,24610,2,100,0,0,True,0
187991.531059954,pk7p4qlgyf12,Elvera,9,usgb5p,45,15074,1,0,0,228,True,1
187992.337017717,pk7p4qlgyf12,Elvera,10,usgb5p,33,18519,1,0,0,228,True,2
187992.864248835,pk7p4qlgyf12,Elvera,10,4elgam,8,9804,2,0,0,100,True,1
187993.600070231,pk7p4qlgyf12,Elvera,10,4elgam,65,5677,1,0,0,228,True,0
187994.736799566,pk7p4qlgyf12,Elvera,10,usgb5p,62,14417,1,0,0,228,True,1
187995.166421199,pk7p4qlgyf12,Elvera,10,usgb5p,74,62007,2,0,0,100,True,0
187995.731293677,pk7p4qlgyf12,Elvera,10,usgb5p,50,15771,2,0,0,100,True,1
187996.468255457,pk7p4qlgyf12,Elvera,10,usgb5p,43,17832,1,0,0,228,True,1
187996.479675972,pk7p4qlgyf12,Elvera,10,9j2eq8,74,33823,1,0,228,0,True,0
187996.903871407,pk7p4qlgyf12,Elvera,10,9j2eq8,74,33823,2,100,0,0,True,0
187997.869003545,pk7p4qlgyf12,Elvera,10,usgb5p,7,25503,2,0,0,100,True,1
187997.876298412,pk7p4qlgyf12,Elvera,10,9j2eq8,62,45487,1,0,228,0,True,0
187998.280691666,pk7p4qlgyf12,Elvera,10,9j2eq8,62,45487,2,100,0,0,True,0
188000.823628706,pk7p4qlgyf12,Elvera,10,usgb5p,19,19923,1,0,0,228,True,2
188000.831360987,pk7p4qlgyf12,Elvera,10,9j2eq8,2,26812,1,0,228,0,True,1
188001.269466225,pk7p4qlgyf12,Elvera,10,9j2eq8,2,26812,2,100,0,0,True,1
188001.98560056,pk7p4qlgyf12,Elvera,10,usgb5p,0,33159,1,0,0,228,True,0
