t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187942.980986307,ppjktnkkbtfq,Sibyl,5,udjpmp,13,47579,2,0,0,100,True,0
187945.125875869,ppjktnkkbtfq,Sibyl,5,gs4f61,49,43642,1,0,0,228,True,0
187946.470586198,ppjktnkkbtfq,Sibyl,5,gs4f61,41,10860,1,0,0,228,True,0
187951.114908743,ppjktnkkbtfq,Sibyl,5,usgb5p,20,974,2,0,0,100,True,0
187951.883307271,ppjktnkkbtfq,Sibyl,5,usgb5p,22,56517,2,0,0,100,True,0
187954.893959233,ppjktnkkbtfq,Sibyl,6,usgb5p,59,63442,1,0,0,228,True,1
187955.328158673,ppjktnkkbtfq,Sibyl,6,gs4f61,8,29293,2,0,0,100,True,0
187955.761857348,ppjktnkkbtfq,Sibyl,6,usgb5p,59,63442,2,0,0,100,True,1
187956.462944226,ppjktnkkbtfq,Sibyl,6,usgb5p,31,50614,1,0,0,228,True,0
187957.466272629,ppjktnkkbtfq,Sibyl,6,udjpmp,70,64333,1,0,0,228,True,0
187958.645489091,ppjktnkkbtfq,Sibyl,6,udjpmp,59,41975,2,0,0,100,True,0
187959.915161187,ppjktnkkbtfq,Sibyl,6,udjpmp,76,9274,2,0,0,100,True,2
187960.330082419,ppjktnkkbtfq,Sibyl,6,usgb5p,29,32718,2,0,0,100,True,1
187960.746661221,ppjktnkkbtfq,Sibyl,6,gs4f61,43,52034,2,0,0,100,True,0
187962.095018425,ppjktnkkbtfq,Sibyl,6,4elgam,38,5248,1,0,0,228,True,1
187962.638452851,ppjktnkkbtfq,Sibyl,7,udjpmp,51,8942,2,0,0,100,True,1
188013.231744334,ppjktnkkbtfq,Sibyl,12,usgb5p,10,25322,1,0,0,228,True,1
188013.635189173,ppjktnkkbtfq,Sibyl,12,udjpmp,67,47444,2,0,0,100,True,1
188014.046283508,ppjktnkkbtfq,Sibyl,12,udjpmp,14,34616,2,0,0,100,True,0
188016.102635202,ppjktnkkbtfq,Sibyl,12,usgb5p,0,6014,2,0,0,100,True,2
188016.485236724,ppjktnkkbtfq,Sibyl,12,gs4f61,59,21728,2,0,0,100,True,1
188017.180416608,ppjktnkkbtfq,Sibyl,12,udjpmp,37,24506,1,0,0,228,True,1
188017.589050207,ppjktnkkbtfq,Sibyl,12,usgb5p,10,2984,2,0,0,100,True,1
188017.960297802,ppjktnkkbtfq,Sibyl,12,gs4f61,17,35753,2,0,0,100,True,1
188018.331320616,ppjktnkkbtfq,Sibyl,12,usgb5p,10,7135,2,0,0,100,True,0
188020.592648348,ppjktnkkbtfq,Sibyl,12,udjpmp,52,46658,1,0,0,228,True,0
188021.334993473,ppjktnkkbtfq,Sibyl,12,udjpmp,50,28420,2,0,0,100,True,2
188022.066074933,ppjktnkkbtfq,Sibyl,12,udjpmp,9,26495,1,0,0,228,True,1
188022.477560154,ppjktnkkbtfq,Sibyl,12,udjpmp,52,46658,2,0,0,100,True,0
188023.245913095,ppjktnkkbtfq,Sibyl,13,gs4f61,63,65423,2,0,0,100,True,1
188023.957360146,ppjktnkkbtfq,Sibyl,13,udjpmp,75,18966,1,0,0,228,True,0
188025.111732519,ppjktnkkbtfq,Sibyl,13,gs4f61,19,8529,2,0,0,100,True,2
188025.485154153,ppjktnkkbtfq,Sibyl,13,4elgam,57,7506,2,0,0,100,True,1
188026.220348918,ppjktnkkbtfq,Sibyl,13,gs4f61,45,28176,1,0,0,228,True,0
188027.055441749,ppjktnkkbtfq,Sibyl,13,4elgam,20,41536,1,0,0,228,True,0
188028.840702471,ppjktnkkbtfq,Sibyl,13,4elgam,53,49197,2,0,0,100,True,1
188029.234370681,ppjktnkkbtfq,Sibyl,13,gs4f61,3,32584,2,0,0,100,True,1
188029.627654218,ppjktnkkbtfq,Sibyl,13,gs4f61,73,47287,2,0,0,100,True,0
188031.012045481,ppjktnkkbtfq,Sibyl,13,udjpmp,25,56950,1,0,0,228,True,1
188031.725165123,ppjktnkkbtfq,Sibyl,13,gs4f61,14,64540,1,0,0,228,True,0
188085.052845967,ppjktnkkbtfq,Sibyl,19,4elgam,40,10078,1,0,0,228,True,0
