t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187899.974248999,u3uqh9xyl757,Lila,0,4elgam,55,6395,1,0,0,228,True,0
187907.030280597,u3uqh9xyl757,Lila,1,4elgam,68,60749,2,0,100,0,True,0
187907.679854141,u3uqh9xyl757,Lila,1,4elgam,45,6961,2,0,100,0,True,0
187912.172056256,u3uqh9xyl757,Lila,2,4elgam,16,55985,1,0,0,228,True,0
187913.55919953,u3uqh9xyl757,Lila,2,4elgam,62,64636,1,0,0,228,True,0
187915.442505209,u3uqh9xyl757,Lila,2,4elgam,30,18651,2,0,100,0,True,0
187921.720963128,u3uqh9xyl757,Lila,3,a6cerv,21,33281,2,0,0,100,True,0
187923.861957774,u3uqh9xyl757,Lila,3,a6cerv,33,6605,2,0,0,100,True,0
187931.554679607,u3uqh9xyl757,Lila,4,a6cerv,2,10326,2,0,0,100,True,0
187942.611509787,u3uqh9xyl757,Lila,5,4elgam,49,62451,2,0,100,0,True,0
187943.664632331,u3uqh9xyl757,Lila,5,a6cerv,36,42635,1,0,0,228,True,0
187944.752704577,u3uqh9xyl757,Lila,5,a6cerv,36,42635,2,0,0,100,True,0
187947.592717957,u3uqh9xyl757,Lila,5,a6cerv,15,39675,1,0,0,228,True,0
187948.454725665,u3uqh9xyl757,Lila,5,a6cerv,15,39675,2,0,0,100,True,0
187955.111073072,u3uqh9xyl757,Lila,6,a6cerv,4,29247,2,0,0,100,True,0
187958.746576373,u3uqh9xyl757,Lila,6,a6cerv,79,57929,2,0,0,100,True,0
187959.791281009,u3uqh9xyl757,Lila,6,4elgam,23,38719,2,0,100,0,True,0
187961.702957598,u3uqh9xyl757,Lila,7,a6cerv,35,60956,1,0,0,228,True,0
187965.083388821,u3uqh9xyl757,Lila,7,4elgam,64,24249,1,0,0,228,True,0
187969.386241882,u3uqh9xyl757,Lila,7,a6cerv,51,7757,1,0,0,228,True,0
187970.258120187,u3uqh9xyl757,Lila,7,a6cerv,51,7757,2,0,0,100,True,0
187971.375348767,u3uqh9xyl757,Lila,7,4elgam,22,19456,1,0,0,228,True,0
187995.973894939,u3uqh9xyl757,Lila,10,4elgam,65,5677,2,0,100,0,True,0
187998.037978688,u3uqh9xyl757,Lila,10,4elgam,32,63977,2,0,100,0,True,0
188004.255365438,u3uqh9xyl757,Lila,11,4elgam,19,9016,1,0,0,228,True,0
188006.242605228,u3uqh9xyl757,Lila,11,4elgam,19,9016,2,0,100,0,True,0
188008.631322082,u3uqh9xyl757,Lila,11,4elgam,3,20892,2,0,100,0,True,0
188020.380467092,u3uqh9xyl757,Lila,12,4elgam,66,28764,1,0,0,228,True,0
188033.259613903,u3uqh9xyl757,Lila,14,4elgam,7,40895,1,0,0,228,True,1
188033.271716179,u3uqh9xyl757,Lila,14,4elgam,20,41536,2,0,100,0,True,0
188034.61176539,u3uqh9xyl757,Lila,14,a6cerv,17,21417,2,0,0,100,True,0
188038.444760782,u3uqh9xyl757,Lila,14,a6cerv,32,32826,1,0,0,228,True,0
188040.054452572,u3uqh9xyl757,Lila,14,a6cerv,34,4178,1,0,0,228,True,0
188042.073338112,u3uqh9xyl757,Lila,15,a6cerv,55,58569,2,0,0,100,True,0
188043.068025555,u3uqh9xyl757,Lila,15,a6cerv,48,55960,1,0,0,228,True,0
188044.27225904,u3uqh9xyl757,Lila,15,4elgam,9,23452,1,0,0,228,True,0
188046.524898832,u3uqh9xyl757,Lila,15,a6cerv,63,32326,2,0,0,100,True,0
188047.097410204,u3uqh9xyl757,Lila,15,a6cerv,12,36831,2,0,0,100,True,0
188053.127700363,u3uqh9xyl757,Lila,16,4elgam,1,57413,2,0,100,0,True,0
188057.674791909,u3uqh9xyl757,Lila,16,4elgam,10,56014,2,0,100,0,True,0
188059.994678897,u3uqh9xyl757,Lila,16,4elgam,34,12171,1,0,0,228,True,0
188062.139360649,u3uqh9xyl757,Lila,17,4elgam,48,60553,1,0,0,228,True,0
188062.406106404,u3uqh9xyl757,Lila,17,4elgam,25,11869,2,0,100,0,True,0
188067.195274483,u3uqh9xyl757,Lila,17,4elgam,4,51206,2,0,100,0,True,0
188071.16967252,u3uqh9xyl757,Lila,17,4elgam,44,55434,1,0,0,228,True,0
188073.019334269,u3uqh9xyl757,Lila,18,4elgam,11,11796,1,0,0,228,True,1
188073.768043991,u3uqh9xyl757,Lila,18,4elgam,54,43971,1,0,0,228,True,0
188075.991706908,u3uqh9xyl757,Lila,18,4elgam,54,43971,2,0,100,0,True,0
188076.384580774,u3uqh9xyl757,Lila,18,4elgam,14,18956,2,0,100,0,True,0
188077.884085089,u3uqh9xyl757,Lila,18,4elgam,29,7375,2,0,100,0,True,0
188078.682281054,u3uqh9xyl757,Lila,18,4elgam,79,14543,2,0,100,0,True,0
188084.072148901,u3uqh9xyl757,Lila,19,4elgam,58,46817,2,0,100,0,True,0
188085.042476123,u3uqh9xyl757,Lila,19,4elgam,58,16132,1,0,0,228,True,0
188088.123462158,u3uqh9xyl757,Lila,19,4elgam,58,16132,2,0,100,0,True,0
