t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187923.334428724,ylqdx5so5lfh,Julianna,3,9j2eq8,32,23595,2,0,100,0,True,0
187925.144133642,ylqdx5so5lfh,Julianna,3,9j2eq8,68,21366,2,0,100,0,True,0
187928.579247813,ylqdx5so5lfh,Julianna,3,9j2eq8,7,24933,2,0,100,0,True,0
187930.603471444,ylqdx5so5lfh,Julianna,3,a6cerv,2,10326,1,0,228,0,True,0
187931.048781141,ylqdx5so5lfh,Julianna,3,a6cerv,2,10326,2,100,0,0,True,0
187951.648036767,ylqdx5so5lfh,Julianna,6,9j2eq8,50,53193,2,0,100,0,True,0
187965.117251244,ylqdx5so5lfh,Julianna,7,9j2eq8,75,14934,2,0,100,0,True,0
187965.873390152,ylqdx5so5lfh,Julianna,7,a6cerv,57,26039,1,0,228,0,True,0
187966.268513492,ylqdx5so5lfh,Julianna,7,a6cerv,57,26039,2,100,0,0,True,1
187966.276011164,ylqdx5so5lfh,Julianna,7,9j2eq8,67,47517,2,0,100,0,True,0
187967.297379861,ylqdx5so5lfh,Julianna,7,a6cerv,68,41668,1,0,228,0,True,0
187967.733471589,ylqdx5so5lfh,Julianna,7,a6cerv,68,41668,2,100,0,0,True,0
187970.87472964,ylqdx5so5lfh,Julianna,7,9j2eq8,55,27048,2,0,100,0,True,0
187994.614363297,ylqdx5so5lfh,Julianna,10,9j2eq8,21,51348,2,0,100,0,True,0
188000.643567917,ylqdx5so5lfh,Julianna,10,9j2eq8,60,51870,2,0,100,0,True,0
188001.647787634,ylqdx5so5lfh,Julianna,10,9j2eq8,48,13737,2,0,100,0,True,0
188051.980701616,ylqdx5so5lfh,Julianna,16,9j2eq8,13,14632,2,0,100,0,True,0
