t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187902.010049775,z2vsmbqynvmg,Elvera,1,udjpmp,55,22867,2,0,0,100,True,0
187902.902190516,z2vsmbqynvmg,Elvera,1,9j2eq8,26,32137,2,0,0,100,True,0
187903.746660965,z2vsmbqynvmg,Elvera,1,udjpmp,65,25653,1,0,0,228,True,0
187905.036113842,z2vsmbqynvmg,Elvera,1,9j2eq8,57,25004,1,0,228,0,True,0
187905.506956091,z2vsmbqynvmg,Elvera,1,9j2eq8,57,25004,2,100,0,0,True,0
187907.730880561,z2vsmbqynvmg,Elvera,1,9j2eq8,24,50423,2,0,0,100,True,0
187908.588828569,z2vsmbqynvmg,Elvera,1,udjpmp,27,51933,1,0,0,228,True,0
187909.149744099,z2vsmbqynvmg,Elvera,1,9j2eq8,16,14480,1,0,228,0,True,0
187909.5828431,z2vsmbqynvmg,Elvera,1,9j2eq8,16,14480,2,100,0,0,True,1
187909.969504481,z2vsmbqynvmg,Elvera,1,9j2eq8,16,14480,2,0,0,100,True,1
187909.980593574,z2vsmbqynvmg,Elvera,1,9j2eq8,68,21366,1,0,228,0,True,0
187910.499165541,z2vsmbqynvmg,Elvera,1,9j2eq8,68,21366,2,100,0,0,True,1
187910.956599251,z2vsmbqynvmg,Elvera,1,9j2eq8,68,21366,2,0,0,100,True,0
187912.301302016,z2vsmbqynvmg,Elvera,2,9j2eq8,78,61098,1,0,228,0,True,0
187912.712470995,z2vsmbqynvmg,Elvera,2,9j2eq8,78,61098,2,100,0,0,True,1
187913.111181652,z2vsmbqynvmg,Elvera,2,9j2eq8,78,61098,2,0,0,100,True,0
187913.985371861,z2vsmbqynvmg,Elvera,2,9j2eq8,69,43203,1,0,228,0,True,0
187914.448331498,z2vsmbqynvmg,Elvera,2,9j2eq8,69,43203,2,100,0,0,True,0
187915.965478302,z2vsmbqynvmg,Elvera,2,9j2eq8,79,5819,1,0,228,0,True,0
187916.415422592,z2vsmbqynvmg,Elvera,2,9j2eq8,79,5819,2,100,0,0,True,2
187916.423528083,z2vsmbqynvmg,Elvera,2,9j2eq8,72,4130,1,0,228,0,True,1
187916.837759147,z2vsmbqynvmg,Elvera,2,9j2eq8,72,4130,2,100,0,0,True,1
187917.260080374,z2vsmbqynvmg,Elvera,2,9j2eq8,79,5819,2,0,0,100,True,0
187918.963283247,z2vsmbqynvmg,Elvera,2,9j2eq8,19,17147,2,0,0,100,True,1
187919.361910134,z2vsmbqynvmg,Elvera,2,udjpmp,3,48864,2,0,0,100,True,0
187919.742735254,z2vsmbqynvmg,Elvera,2,9j2eq8,4,48642,1,0,228,0,True,0
187920.151595757,z2vsmbqynvmg,Elvera,2,9j2eq8,4,48642,2,100,0,0,True,1
187920.158976691,z2vsmbqynvmg,Elvera,2,9j2eq8,25,30025,1,0,228,0,True,0
187920.536221562,z2vsmbqynvmg,Elvera,2,9j2eq8,25,30025,2,100,0,0,True,1
187920.96137117,z2vsmbqynvmg,Elvera,2,9j2eq8,25,30025,2,0,0,100,True,1
187920.968548881,z2vsmbqynvmg,Elvera,2,9j2eq8,65,37824,1,0,228,0,True,0
187921.385984416,z2vsmbqynvmg,Elvera,2,9j2eq8,65,37824,2,100,0,0,True,0
