t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187900.854957184,z3q9sbhppeke,Elvera,0,usgb5p,40,38372,1,0,0,228,True,0
187914.494939256,z3q9sbhppeke,Elvera,2,usgb5p,34,10765,1,0,0,228,True,0
187915.099390099,z3q9sbhppeke,Elvera,2,usgb5p,4,20361,2,0,0,100,True,0
187918.923023546,z3q9sbhppeke,Elvera,2,usgb5p,48,4075,2,0,0,100,True,2
187919.630034887,z3q9sbhppeke,Elvera,2,usgb5p,63,31128,1,0,0,228,True,2
187920.04651132,z3q9sbhppeke,Elvera,2,mjrogs,21,2272,2,0,0,100,True,1
187920.794131762,z3q9sbhppeke,Elvera,2,usgb5p,76,48067,1,0,0,228,True,1
187921.519190366,z3q9sbhppeke,Elvera,2,mjrogs,70,12751,1,0,0,228,True,1
187922.226921766,z3q9sbhppeke,Elvera,3,usgb5p,37,42519,2,0,0,100,True,1
187943.057260284,z3q9sbhppeke,Elvera,5,mjrogs,57,14360,1,0,0,228,True,2
187943.806768294,z3q9sbhppeke,Elvera,5,mjrogs,3,48606,1,0,0,228,True,2
187944.221004247,z3q9sbhppeke,Elvera,5,mjrogs,74,47529,2,0,0,100,True,2
187945.00052084,z3q9sbhppeke,Elvera,5,mjrogs,19,4582,1,0,0,228,True,2
187945.443859402,z3q9sbhppeke,Elvera,5,mjrogs,6,10283,2,0,0,100,True,1
187946.153479911,z3q9sbhppeke,Elvera,5,mjrogs,71,9584,1,0,0,228,True,3
187946.891161618,z3q9sbhppeke,Elvera,5,usgb5p,3,31538,1,0,0,228,True,2
187947.286537626,z3q9sbhppeke,Elvera,5,usgb5p,42,18155,2,0,0,100,True,1
187947.706900841,z3q9sbhppeke,Elvera,5,mjrogs,57,14360,2,0,0,100,True,1
187948.426166044,z3q9sbhppeke,Elvera,5,mjrogs,77,16488,1,0,0,228,True,0
187949.502041086,z3q9sbhppeke,Elvera,5,mjrogs,28,7799,1,0,0,228,True,1
187950.223950054,z3q9sbhppeke,Elvera,5,usgb5p,22,56517,1,0,0,228,True,1
187950.675860955,z3q9sbhppeke,Elvera,5,usgb5p,69,53637,2,0,0,100,True,1
187951.463164844,z3q9sbhppeke,Elvera,5,mjrogs,47,3866,1,0,0,228,True,1
187951.983976663,z3q9sbhppeke,Elvera,5,usgb5p,20,974,2,0,0,100,True,1
187952.606526244,z3q9sbhppeke,Elvera,6,usgb5p,22,56517,2,0,0,100,True,1
187953.319629239,z3q9sbhppeke,Elvera,6,mjrogs,31,26216,1,0,0,228,True,2
