t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187900.861453528,zyy0uo3nmojl,Annabel,0,qyqa6f,57,46075,1,0,0,228,True,0
187904.796179566,zyy0uo3nmojl,Annabel,1,mjrogs,61,63703,2,0,100,0,True,0
187907.687551517,zyy0uo3nmojl,Annabel,1,mjrogs,75,53255,2,0,100,0,True,0
187910.240062256,zyy0uo3nmojl,Annabel,1,qyqa6f,49,15915,1,0,0,228,True,0
187921.850034101,zyy0uo3nmojl,Annabel,2,qyqa6f,43,47669,1,0,0,228,True,0
187923.012254728,zyy0uo3nmojl,Annabel,3,qyqa6f,42,18018,2,0,0,100,True,0
187925.425158619,zyy0uo3nmojl,Annabel,3,mjrogs,12,28283,2,0,100,0,True,0
187927.218736165,zyy0uo3nmojl,Annabel,3,mjrogs,70,12751,2,0,100,0,True,0
187927.664972742,zyy0uo3nmojl,Annabel,3,mjrogs,40,7,2,0,100,0,True,0
187927.920941254,zyy0uo3nmojl,Annabel,3,mjrogs,62,31299,2,0,100,0,True,0
187935.317455744,zyy0uo3nmojl,Annabel,4,qyqa6f,78,16184,1,0,0,228,True,1
187935.746321561,zyy0uo3nmojl,Annabel,4,qyqa6f,63,9990,2,0,0,100,True,0
187935.893290299,zyy0uo3nmojl,Annabel,4,mjrogs,79,31394,2,0,100,0,True,0
187937.39382712,zyy0uo3nmojl,Annabel,4,qyqa6f,15,32472,1,0,0,228,True,1
187938.112118731,zyy0uo3nmojl,Annabel,4,qyqa6f,2,35535,1,0,0,228,True,0
187939.683591508,zyy0uo3nmojl,Annabel,4,qyqa6f,60,7037,1,0,0,228,True,0
187940.444254013,zyy0uo3nmojl,Annabel,4,mjrogs,45,60520,2,0,100,0,True,0
187941.172108939,zyy0uo3nmojl,Annabel,4,qyqa6f,60,7037,2,0,0,100,True,0
187944.950877374,zyy0uo3nmojl,Annabel,5,mjrogs,25,35903,2,0,100,0,True,0
187947.822639705,zyy0uo3nmojl,Annabel,5,mjrogs,6,10283,2,0,100,0,True,0
187948.254356945,zyy0uo3nmojl,Annabel,5,mjrogs,23,17183,2,0,100,0,True,0
187959.996772706,zyy0uo3nmojl,Annabel,6,mjrogs,3,48606,2,0,100,0,True,0
187962.434068399,zyy0uo3nmojl,Annabel,6,mjrogs,78,48961,2,0,100,0,True,0
187963.80854083,zyy0uo3nmojl,Annabel,7,mjrogs,49,3850,2,0,100,0,True,0
187970.683798573,zyy0uo3nmojl,Annabel,7,mjrogs,56,17925,2,0,100,0,True,0
187976.321094668,zyy0uo3nmojl,Annabel,8,mjrogs,66,43414,2,0,100,0,True,0
187977.130202965,zyy0uo3nmojl,Annabel,8,mjrogs,13,59318,2,0,100,0,True,0
187978.991925409,zyy0uo3nmojl,Annabel,8,mjrogs,20,24791,2,0,100,0,True,0
187993.95658789,zyy0uo3nmojl,Annabel,10,mjrogs,2,33967,2,0,100,0,True,0
188001.640255894,zyy0uo3nmojl,Annabel,10,mjrogs,2,21025,2,0,100,0,True,0
188001.730904947,zyy0uo3nmojl,Annabel,10,mjrogs,2,58435,2,0,100,0,True,0
188019.246420496,zyy0uo3nmojl,Annabel,12,qyqa6f,79,27165,2,0,0,100,True,0
188020.151433122,zyy0uo3nmojl,Annabel,12,qyqa6f,76,8317,2,0,0,100,True,0
188022.424292554,zyy0uo3nmojl,Annabel,12,qyqa6f,7,11430,1,0,0,228,True,0
188025.785886013,zyy0uo3nmojl,Annabel,13,qyqa6f,47,23798,1,0,0,228,True,0
188036.300441417,zyy0uo3nmojl,Annabel,14,qyqa6f,8,15178,1,0,0,228,True,0
188037.168654678,zyy0uo3nmojl,Annabel,14,qyqa6f,8,15178,2,0,0,100,True,0
188047.161661387,zyy0uo3nmojl,Annabel,15,qyqa6f,37,34960,1,0,0,228,True,0
188047.999052254,zyy0uo3nmojl,Annabel,15,qyqa6f,37,34960,2,0,0,100,True,2
188048.725904322,zyy0uo3nmojl,Annabel,15,qyqa6f,73,39425,1,0,0,228,True,1
188049.139416146,zyy0uo3nmojl,Annabel,15,qyqa6f,67,55937,2,0,0,100,True,0
188075.368418368,zyy0uo3nmojl,Annabel,18,qyqa6f,12,17610,1,0,0,228,True,1
188076.059289065,zyy0uo3nmojl,Annabel,18,qyqa6f,66,24476,1,0,0,228,True,1
188076.45060756,zyy0uo3nmojl,Annabel,18,qyqa6f,39,47374,2,0,0,100,True,0
188079.50454336,zyy0uo3nmojl,Annabel,18,qyqa6f,4,7302,1,0,0,228,True,2
188079.8735112,zyy0uo3nmojl,Annabel,18,qyqa6f,22,25090,2,0,0,100,True,1
188080.598487349,zyy0uo3nmojl,Annabel,18,qyqa6f,45,3744,1,0,0,228,True,1
188080.977274499,zyy0uo3nmojl,Annabel,18,qyqa6f,13,23996,2,0,0,100,True,0
188081.757355702,zyy0uo3nmojl,Annabel,18,qyqa6f,68,8244,1,0,0,228,True,1
188082.186985367,zyy0uo3nmojl,Annabel,18,qyqa6f,45,3744,2,0,0,100,True,0
188083.63790722,zyy0uo3nmojl,Annabel,19,qyqa6f,26,25388,2,0,0,100,True,0
188085.372409575,zyy0uo3nmojl,Annabel,19,qyqa6f,1,32078,1,0,0,228,True,0
188089.153773179,zyy0uo3nmojl,Annabel,19,qyqa6f,72,19778,2,0,0,100,True,2
188089.532621822,zyy0uo3nmojl,Annabel,19,qyqa6f,54,23000,2,0,0,100,True,1
188090.227993475,zyy0uo3nmojl,Annabel,19,qyqa6f,61,13851,1,0,0,228,True,0
188091.627638963,zyy0uo3nmojl,Annabel,19,qyqa6f,54,6098,2,0,0,100,True,1
188092.343919238,zyy0uo3nmojl,Annabel,19,qyqa6f,33,58340,1,0,0,228,True,0
188093.36806567,zyy0uo3nmojl,Annabel,20,qyqa6f,54,55846,1,0,0,228,True,2
188103.588033687,zyy0uo3nmojl,Annabel,21,qyqa6f,33,58340,2,0,0,100,True,1
188104.291457948,zyy0uo3nmojl,Annabel,21,qyqa6f,24,42659,1,0,0,228,True,0
188105.067153593,zyy0uo3nmojl,Annabel,21,qyqa6f,24,42659,2,0,0,100,True,0
