t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187906.135311139,zztqsmqlgjk9,Bennie,1,usgb5p,46,20353,1,0,228,0,True,0
187906.603084147,zztqsmqlgjk9,Bennie,1,usgb5p,46,20353,2,100,0,0,True,0
187908.280057231,zztqsmqlgjk9,Bennie,1,usgb5p,60,29998,1,0,228,0,True,0
187908.788249518,zztqsmqlgjk9,Bennie,1,usgb5p,60,29998,2,100,0,0,True,0
187908.994600243,zztqsmqlgjk9,Bennie,1,usgb5p,78,6096,1,0,228,0,True,0
187909.39552711,zztqsmqlgjk9,Bennie,1,usgb5p,78,6096,2,100,0,0,True,0
187909.68571177,zztqsmqlgjk9,Bennie,1,usgb5p,2,59710,1,0,228,0,True,0
187910.12660389,zztqsmqlgjk9,Bennie,1,usgb5p,2,59710,2,100,0,0,True,0
187981.929619912,zztqsmqlgjk9,Bennie,9,usgb5p,23,14821,1,0,228,0,True,0
187982.35322145,zztqsmqlgjk9,Bennie,9,usgb5p,23,14821,2,100,0,0,True,0
187984.352063368,zztqsmqlgjk9,Bennie,9,usgb5p,41,62683,1,0,228,0,True,0
187984.774271752,zztqsmqlgjk9,Bennie,9,usgb5p,41,62683,2,100,0,0,True,0
187989.858488498,zztqsmqlgjk9,Bennie,9,usgb5p,27,48769,1,0,228,0,True,0
187990.318746815,zztqsmqlgjk9,Bennie,9,usgb5p,27,48769,2,100,0,0,True,0
187993.861832819,zztqsmqlgjk9,Bennie,10,usgb5p,74,62007,1,0,228,0,True,0
187994.301276204,zztqsmqlgjk9,Bennie,10,usgb5p,74,62007,2,100,0,0,True,0
187996.487235543,zztqsmqlgjk9,Bennie,10,usgb5p,43,17832,1,0,228,0,True,0
187996.914469934,zztqsmqlgjk9,Bennie,10,usgb5p,43,17832,2,100,0,0,True,1
187996.921230488,zztqsmqlgjk9,Bennie,10,usgb5p,25,23589,1,0,228,0,True,0
187997.341816239,zztqsmqlgjk9,Bennie,10,usgb5p,25,23589,2,100,0,0,True,0
187997.767171723,zztqsmqlgjk9,Bennie,10,usgb5p,11,16873,1,0,228,0,True,0
187998.174967077,zztqsmqlgjk9,Bennie,10,usgb5p,11,16873,2,100,0,0,True,0
