t,user,current_round
187891.298830963,Bennie,0
187901.377988152,Bennie,1
187911.494039789,Bennie,2
187921.559635028,Bennie,3
187931.648812125,Bennie,4
187941.673261667,Bennie,5
187951.699238456,Bennie,6
187961.722254473,Bennie,7
187971.748412664,Bennie,8
187981.888970172,Bennie,9
187992.014075743,Bennie,10
188002.047697409,Bennie,11
188012.086747588,Bennie,12
188022.120728981,Bennie,13
188032.187927714,Bennie,14
188042.216409113,Bennie,15
188052.223550738,Bennie,16
188062.24558917,Bennie,17
188072.291725986,Bennie,18
188082.302396658,Bennie,19
188092.303476447,Bennie,20
188102.315356478,Bennie,21
188112.318265765,Bennie,22
188122.320260887,Bennie,23
188132.33167954,Bennie,24
188142.333128866,Bennie,25
188152.355778907,Bennie,26
188162.36519256,Bennie,27
188172.38002654,Bennie,28
188182.381550529,Bennie,29
188192.396999749,Bennie,30
188202.40687777,Bennie,31
188212.410404447,Bennie,32
188222.426072364,Bennie,33
188232.440679612,Bennie,34
188242.460572197,Bennie,35
188252.462563699,Bennie,36
188262.470120201,Bennie,37
188272.479170872,Bennie,38
188282.492828856,Bennie,39
188292.503243875,Bennie,40
188302.519326359,Bennie,41
188312.523563525,Bennie,42
188322.541326013,Bennie,43
188332.555786008,Bennie,44
188342.559203032,Bennie,45
188352.566605963,Bennie,46
188362.569401258,Bennie,47
188372.57990263,Bennie,48
188382.593426977,Bennie,49
188392.595608946,Bennie,50
188402.598613182,Bennie,51
188412.606010364,Bennie,52
188422.615054277,Bennie,53
188432.627476637,Bennie,54
188442.632988072,Bennie,55
188452.641050808,Bennie,56
188462.645896008,Bennie,57
188472.651785273,Bennie,58
188482.665822706,Bennie,59
