t,user,current_round
187891.258914864,Bronwyn,0
187901.341161556,Bronwyn,1
187911.489974238,Bronwyn,2
187921.533315875,Bronwyn,3
187931.595586143,Bronwyn,4
187941.633110807,Bronwyn,5
187951.668765295,Bronwyn,6
187961.687335552,Bronwyn,7
187971.729834655,Bronwyn,8
187981.873043371,Bronwyn,9
187991.947087226,Bronwyn,10
188001.965735183,Bronwyn,11
188011.99285959,Bronwyn,12
188022.002597272,Bronwyn,13
188032.018102659,Bronwyn,14
188042.083975565,Bronwyn,15
188052.106624875,Bronwyn,16
188062.108218877,Bronwyn,17
188072.118145401,Bronwyn,18
188082.160184482,Bronwyn,19
188092.169965093,Bronwyn,20
188102.215804922,Bronwyn,21
188112.228056097,Bronwyn,22
188122.232417494,Bronwyn,23
188132.242669979,Bronwyn,24
188142.252799566,Bronwyn,25
188152.263851085,Bronwyn,26
188162.265554881,Bronwyn,27
188172.275936642,Bronwyn,28
188182.281589705,Bronwyn,29
188192.290371439,Bronwyn,30
188202.299994192,Bronwyn,31
188212.303110334,Bronwyn,32
188222.304062811,Bronwyn,33
188232.304488132,Bronwyn,34
188242.308247106,Bronwyn,35
188252.317102106,Bronwyn,36
188262.320441526,Bronwyn,37
188272.334193405,Bronwyn,38
188282.337402877,Bronwyn,39
188292.34704226,Bronwyn,40
188302.358983171,Bronwyn,41
188312.371843286,Bronwyn,42
188322.38679962,Bronwyn,43
188332.3885524,Bronwyn,44
188342.402593062,Bronwyn,45
188352.416054396,Bronwyn,46
188362.419341471,Bronwyn,47
188372.428518484,Bronwyn,48
188382.428723244,Bronwyn,49
188392.442367671,Bronwyn,50
188402.506411731,Bronwyn,51
188412.52006778,Bronwyn,52
188422.524822006,Bronwyn,53
188432.526335433,Bronwyn,54
188442.530266406,Bronwyn,55
188452.54316079,Bronwyn,56
188462.552487272,Bronwyn,57
188472.564195263,Bronwyn,58
188482.56748986,Bronwyn,59
