t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187905.890503981,4yle4q2for6l,Luke,1,kdzoo2,14,29688,2,0,0,100,True,0
187913.327922724,4yle4q2for6l,Luke,2,kdzoo2,7,10308,2,0,0,100,True,1
187913.744152572,4yle4q2for6l,Luke,2,kdzoo2,11,28352,2,0,0,100,True,1
187914.123930396,4yle4q2for6l,Luke,2,kdzoo2,50,19594,2,0,0,100,True,0
187916.29903596,4yle4q2for6l,Luke,2,kdzoo2,24,42848,2,0,0,100,True,0
187918.764862139,4yle4q2for6l,Luke,2,8quo5k,34,2789,2,0,100,0,True,0
187919.150693286,4yle4q2for6l,Luke,2,asg1c9,25,18901,2,0,100,0,True,0
187922.416264415,4yle4q2for6l,Luke,3,kdzoo2,36,48568,2,0,0,100,True,0
187923.313810802,4yle4q2for6l,Luke,3,kdzoo2,74,8534,1,0,0,228,True,0
187924.857645273,4yle4q2for6l,Luke,3,kdzoo2,28,5924,1,0,0,228,True,1
187924.864756786,4yle4q2for6l,Luke,3,asg1c9,36,56981,2,0,100,0,True,0
187928.405689257,4yle4q2for6l,Luke,3,asg1c9,23,8649,2,0,100,0,True,0
187936.288235777,4yle4q2for6l,Luke,4,8quo5k,13,25614,2,0,100,0,True,0
187940.741439911,4yle4q2for6l,Luke,4,asg1c9,3,20283,2,0,100,0,True,0
187954.142165222,4yle4q2for6l,Luke,6,kdzoo2,70,1564,2,0,0,100,True,0
187956.503210015,4yle4q2for6l,Luke,6,asg1c9,27,5801,2,0,100,0,True,0
187959.391628698,4yle4q2for6l,Luke,6,asg1c9,4,51913,2,0,100,0,True,0
187961.093984744,4yle4q2for6l,Luke,6,kdzoo2,1,25479,2,0,0,100,True,0
187963.040636571,4yle4q2for6l,Luke,7,kdzoo2,42,7566,1,0,0,228,False,0
187963.13949285,4yle4q2for6l,Luke,7,asg1c9,67,38973,2,0,100,0,True,0
187966.920406823,4yle4q2for6l,Luke,7,kdzoo2,75,63698,1,0,0,228,False,0
187972.234802342,4yle4q2for6l,Luke,8,8quo5k,65,31085,2,0,100,0,True,0
187973.848194152,4yle4q2for6l,Luke,8,asg1c9,34,20361,2,0,100,0,True,0
187975.820240404,4yle4q2for6l,Luke,8,kdzoo2,31,56993,1,0,0,228,False,0
187976.256973353,4yle4q2for6l,Luke,8,asg1c9,24,17790,2,0,100,0,True,0
187979.993444503,4yle4q2for6l,Luke,8,asg1c9,35,25944,2,0,100,0,True,0
187985.573496088,4yle4q2for6l,Luke,9,kdzoo2,15,18374,2,0,0,100,True,0
187994.403891893,4yle4q2for6l,Luke,10,asg1c9,1,31695,2,0,100,0,True,0
187995.345492217,4yle4q2for6l,Luke,10,kdzoo2,55,14647,1,0,0,228,True,0
187996.250018675,4yle4q2for6l,Luke,10,kdzoo2,55,14647,2,0,0,100,True,1
187996.257299353,4yle4q2for6l,Luke,10,8quo5k,20,29795,2,0,100,0,True,0
187997.659630827,4yle4q2for6l,Luke,10,kdzoo2,71,57964,1,0,0,228,True,1
187997.667140246,4yle4q2for6l,Luke,10,asg1c9,19,25985,2,0,100,0,True,0
188000.720073111,4yle4q2for6l,Luke,10,kdzoo2,64,16840,1,0,0,228,True,0
188001.332550219,4yle4q2for6l,Luke,10,asg1c9,33,62263,2,0,100,0,True,0
188002.685937672,4yle4q2for6l,Luke,11,kdzoo2,64,16840,2,0,0,100,True,1
188003.429492913,4yle4q2for6l,Luke,11,kdzoo2,39,25070,1,0,0,228,True,0
188004.191543083,4yle4q2for6l,Luke,11,kdzoo2,21,53577,2,0,0,100,True,0
188005.343709284,4yle4q2for6l,Luke,11,kdzoo2,49,22662,2,0,0,100,True,0
188009.357757804,4yle4q2for6l,Luke,11,8quo5k,39,45110,2,0,100,0,True,0
188015.561439301,4yle4q2for6l,Luke,12,kdzoo2,0,33506,1,0,0,228,False,0
188017.417071047,4yle4q2for6l,Luke,12,kdzoo2,34,28,1,0,0,228,False,0
188018.9160219,4yle4q2for6l,Luke,12,kdzoo2,29,63792,1,0,0,228,False,0
188044.997972937,4yle4q2for6l,Luke,15,kdzoo2,52,53683,2,0,0,100,True,0
188045.445598085,4yle4q2for6l,Luke,15,asg1c9,33,53432,2,0,100,0,True,0
188047.732605454,4yle4q2for6l,Luke,15,8quo5k,74,4226,2,0,100,0,True,0
188061.018099285,4yle4q2for6l,Luke,16,asg1c9,66,13329,2,0,100,0,True,0
188066.306217611,4yle4q2for6l,Luke,17,kdzoo2,78,57086,1,0,0,228,False,0
188070.63590316,4yle4q2for6l,Luke,17,kdzoo2,31,49149,1,0,0,228,False,0
188071.361585863,4yle4q2for6l,Luke,17,kdzoo2,29,16651,1,0,0,228,False,0
188085.452073381,4yle4q2for6l,Luke,19,kdzoo2,16,59596,2,0,0,100,True,0
