t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187901.092365351,dj1vp13gxpzf,Nelly,0,8quo5k,54,52703,1,0,0,228,True,1
187901.988817807,dj1vp13gxpzf,Nelly,1,w4qbhx,23,27913,1,0,0,228,True,1
187912.429207462,dj1vp13gxpzf,Nelly,2,8quo5k,15,65253,1,0,0,228,True,0
187914.47072297,dj1vp13gxpzf,Nelly,2,w4qbhx,14,49317,2,0,0,100,True,0
187917.515241523,dj1vp13gxpzf,Nelly,2,8quo5k,0,55135,1,0,0,228,True,0
187918.279389263,dj1vp13gxpzf,Nelly,2,8quo5k,34,2789,2,0,0,100,True,0
187919.471537888,dj1vp13gxpzf,Nelly,2,w4qbhx,13,1898,1,0,0,228,True,1
187920.182736818,dj1vp13gxpzf,Nelly,2,8quo5k,4,34140,1,0,0,228,True,1
187920.957587564,dj1vp13gxpzf,Nelly,2,8quo5k,76,40457,1,0,0,228,True,2
187921.763585355,dj1vp13gxpzf,Nelly,3,w4qbhx,71,4329,1,0,0,228,True,2
187922.558687326,dj1vp13gxpzf,Nelly,3,8quo5k,56,5260,1,0,0,228,True,2
187923.282269211,dj1vp13gxpzf,Nelly,3,w4qbhx,75,14980,1,0,0,228,True,2
187924.015186815,dj1vp13gxpzf,Nelly,3,8quo5k,28,47530,1,0,0,228,True,1
187924.714172839,dj1vp13gxpzf,Nelly,3,8quo5k,62,35569,1,0,0,228,True,2
187925.130954379,dj1vp13gxpzf,Nelly,3,w4qbhx,0,15186,2,0,0,100,True,1
187925.848846272,dj1vp13gxpzf,Nelly,3,w4qbhx,51,42583,1,0,0,228,True,0
187926.967282597,dj1vp13gxpzf,Nelly,3,w4qbhx,37,55271,1,0,0,228,True,1
187927.675609289,dj1vp13gxpzf,Nelly,3,w4qbhx,20,19008,1,0,0,228,True,1
187928.386336939,dj1vp13gxpzf,Nelly,3,w4qbhx,46,42486,1,0,0,228,True,1
