t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187897.946895402,gumibvzmhra8,Luke,0,asg1c9,17,16120,1,228,0,0,True,0
187898.755134295,gumibvzmhra8,Luke,0,asg1c9,60,19465,1,228,0,0,True,0
187899.570686938,gumibvzmhra8,Luke,0,asg1c9,4,51913,1,228,0,0,True,0
187900.363131055,gumibvzmhra8,Luke,0,asg1c9,59,40742,1,228,0,0,True,0
187901.34168497,gumibvzmhra8,Luke,1,asg1c9,30,58058,1,228,0,0,True,0
187902.204333061,gumibvzmhra8,Luke,1,asg1c9,38,24537,1,228,0,0,True,0
187902.993706002,gumibvzmhra8,Luke,1,asg1c9,79,52896,1,228,0,0,True,0
187903.757045241,gumibvzmhra8,Luke,1,asg1c9,37,40012,1,228,0,0,True,3
187903.76459753,gumibvzmhra8,Luke,1,8quo5k,54,52703,2,0,100,0,True,2
187904.160410995,gumibvzmhra8,Luke,1,w4qbhx,23,27913,2,0,0,100,True,1
187904.902795339,gumibvzmhra8,Luke,1,8quo5k,51,12947,1,0,0,228,True,0
187905.666989311,gumibvzmhra8,Luke,1,asg1c9,55,3157,1,228,0,0,True,0
187906.387313487,gumibvzmhra8,Luke,1,asg1c9,16,8807,1,228,0,0,True,0
187907.137269559,gumibvzmhra8,Luke,1,asg1c9,29,33803,1,228,0,0,True,1
187907.561655163,gumibvzmhra8,Luke,1,w4qbhx,16,23822,2,0,0,100,True,0
187908.327400135,gumibvzmhra8,Luke,1,asg1c9,25,18901,1,228,0,0,True,0
187909.100712578,gumibvzmhra8,Luke,1,asg1c9,18,388,1,228,0,0,True,0
187909.89618473,gumibvzmhra8,Luke,1,asg1c9,51,841,1,228,0,0,True,1
187910.688063153,gumibvzmhra8,Luke,1,8quo5k,3,59875,1,0,0,228,True,0
187911.616533727,gumibvzmhra8,Luke,2,asg1c9,62,53682,1,228,0,0,True,1
187911.624373528,gumibvzmhra8,Luke,2,asg1c9,38,24537,2,0,100,0,True,0
187912.616095264,gumibvzmhra8,Luke,2,asg1c9,70,55458,1,228,0,0,True,1
187913.106496002,gumibvzmhra8,Luke,2,w4qbhx,59,20796,2,0,0,100,True,0
187913.834667389,gumibvzmhra8,Luke,2,asg1c9,28,57635,1,228,0,0,True,0
187914.538169406,gumibvzmhra8,Luke,2,asg1c9,65,1761,1,228,0,0,True,0
187915.337090136,gumibvzmhra8,Luke,2,asg1c9,36,56981,1,228,0,0,True,2
187916.06961429,gumibvzmhra8,Luke,2,w4qbhx,69,60097,1,0,0,228,True,1
187916.477386694,gumibvzmhra8,Luke,2,w4qbhx,27,19380,2,0,0,100,True,0
187917.204127787,gumibvzmhra8,Luke,2,asg1c9,22,59226,1,228,0,0,True,1
187917.214674785,gumibvzmhra8,Luke,2,8quo5k,15,65253,2,0,100,0,True,0
187917.941584848,gumibvzmhra8,Luke,2,asg1c9,31,5921,1,228,0,0,True,0
187918.704200862,gumibvzmhra8,Luke,2,asg1c9,69,61088,1,228,0,0,True,1
187919.410501541,gumibvzmhra8,Luke,2,w4qbhx,74,31894,1,0,0,228,True,0
187920.118909797,gumibvzmhra8,Luke,2,asg1c9,23,8649,1,228,0,0,True,1
187920.885895679,gumibvzmhra8,Luke,2,w4qbhx,13,1898,1,0,0,228,True,0
187921.719853796,gumibvzmhra8,Luke,3,asg1c9,2,40285,1,228,0,0,True,1
187922.162457612,gumibvzmhra8,Luke,3,w4qbhx,13,1898,2,0,0,100,True,0
187922.88258469,gumibvzmhra8,Luke,3,asg1c9,43,19105,1,228,0,0,True,1
187923.582759698,gumibvzmhra8,Luke,3,8quo5k,56,5260,1,0,0,228,True,0
187924.294125921,gumibvzmhra8,Luke,3,asg1c9,8,28529,1,228,0,0,True,2
187924.670359218,gumibvzmhra8,Luke,3,w4qbhx,75,14980,2,0,0,100,True,1
187925.407726262,gumibvzmhra8,Luke,3,8quo5k,28,47530,1,0,0,228,True,0
187926.1645478,gumibvzmhra8,Luke,3,asg1c9,41,60761,1,228,0,0,True,0
187926.878295297,gumibvzmhra8,Luke,3,asg1c9,71,21646,1,228,0,0,True,0
187927.585065843,gumibvzmhra8,Luke,3,asg1c9,61,52833,1,228,0,0,True,0
187928.270184168,gumibvzmhra8,Luke,3,asg1c9,13,9065,1,228,0,0,True,2
187928.989584115,gumibvzmhra8,Luke,3,w4qbhx,9,19065,1,0,0,228,True,2
187929.777452035,gumibvzmhra8,Luke,3,8quo5k,66,39142,1,0,0,228,True,1
187930.471387667,gumibvzmhra8,Luke,3,w4qbhx,46,42486,1,0,0,228,True,0
187931.21388737,gumibvzmhra8,Luke,4,asg1c9,54,44283,1,228,0,0,True,0
187931.985222105,gumibvzmhra8,Luke,4,asg1c9,63,19362,1,228,0,0,True,1
187932.396542492,gumibvzmhra8,Luke,4,w4qbhx,39,57956,2,0,0,100,True,1
187932.403696385,gumibvzmhra8,Luke,4,8quo5k,0,55135,2,0,100,0,True,0
187933.119467467,gumibvzmhra8,Luke,4,asg1c9,68,53607,1,228,0,0,True,1
187933.505497193,gumibvzmhra8,Luke,4,w4qbhx,78,17586,2,0,0,100,True,1
187933.513791898,gumibvzmhra8,Luke,4,8quo5k,28,47530,2,0,100,0,True,0
187934.2383065,gumibvzmhra8,Luke,4,asg1c9,50,1724,1,228,0,0,True,2
187934.245961943,gumibvzmhra8,Luke,4,8quo5k,76,40457,2,0,100,0,True,1
