t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187899.528347877,gztto30eh4tq,Vonnie,0,kdzoo2,22,18997,1,0,0,228,True,0
187902.029473057,gztto30eh4tq,Vonnie,1,kdzoo2,17,60124,1,0,0,228,True,0
187914.477775445,gztto30eh4tq,Vonnie,2,kdzoo2,79,13953,1,0,0,228,True,1
187914.88525185,gztto30eh4tq,Vonnie,2,kdzoo2,11,28352,2,0,0,100,True,0
187917.1010822,gztto30eh4tq,Vonnie,2,kdzoo2,36,48568,1,0,0,228,True,1
187917.508039788,gztto30eh4tq,Vonnie,2,kdzoo2,58,13177,2,0,0,100,True,1
187918.289284634,gztto30eh4tq,Vonnie,2,asg1c9,65,1761,1,0,0,228,True,1
187919.058245813,gztto30eh4tq,Vonnie,2,l66jog,35,45171,1,0,0,228,True,1
187919.506753628,gztto30eh4tq,Vonnie,2,kdzoo2,79,13953,2,0,0,100,True,1
187919.884076154,gztto30eh4tq,Vonnie,2,asg1c9,36,56981,2,0,0,100,True,0
187920.738874364,gztto30eh4tq,Vonnie,2,asg1c9,28,57635,2,0,0,100,True,0
187923.086837705,gztto30eh4tq,Vonnie,3,kdzoo2,38,18657,1,0,0,228,True,0
187923.870989048,gztto30eh4tq,Vonnie,3,kdzoo2,20,53643,2,0,0,100,True,0
187924.770180247,gztto30eh4tq,Vonnie,3,kdzoo2,30,7730,2,0,0,100,True,1
187925.504315791,gztto30eh4tq,Vonnie,3,asg1c9,69,61088,1,0,0,228,True,0
187926.355731978,gztto30eh4tq,Vonnie,3,asg1c9,69,61088,2,0,0,100,True,0
187931.130235404,gztto30eh4tq,Vonnie,3,asg1c9,13,9065,1,0,0,228,True,0
187952.252047484,gztto30eh4tq,Vonnie,6,asg1c9,13,9065,2,0,0,100,True,1
187952.64988098,gztto30eh4tq,Vonnie,6,l66jog,45,24119,2,0,0,100,True,0
187954.982472573,gztto30eh4tq,Vonnie,6,asg1c9,11,61259,1,0,0,228,True,1
187955.705976081,gztto30eh4tq,Vonnie,6,asg1c9,6,30447,1,0,0,228,True,0
187956.774005602,gztto30eh4tq,Vonnie,6,kdzoo2,78,48129,1,0,0,228,True,2
187957.158467617,gztto30eh4tq,Vonnie,6,kdzoo2,63,55028,2,0,0,100,True,1
187957.598226614,gztto30eh4tq,Vonnie,6,asg1c9,4,51913,2,0,0,100,True,2
187958.297476376,gztto30eh4tq,Vonnie,6,asg1c9,15,11253,1,0,0,228,True,3
187959.018649696,gztto30eh4tq,Vonnie,6,asg1c9,20,35246,1,0,0,228,True,4
187959.73398512,gztto30eh4tq,Vonnie,6,l66jog,79,21812,1,0,0,228,True,4
187960.435723989,gztto30eh4tq,Vonnie,6,asg1c9,14,18271,1,0,0,228,True,3
187961.202056174,gztto30eh4tq,Vonnie,6,asg1c9,77,18951,1,0,0,228,True,5
187961.21109743,gztto30eh4tq,Vonnie,6,9w1k8l,10,40101,1,0,228,0,True,4
187961.606632354,gztto30eh4tq,Vonnie,6,9w1k8l,10,40101,2,100,0,0,True,5
187962.086649583,gztto30eh4tq,Vonnie,7,l66jog,46,25607,2,0,0,100,True,5
187962.895839031,gztto30eh4tq,Vonnie,7,kdzoo2,42,7566,1,0,0,228,True,6
187963.303735959,gztto30eh4tq,Vonnie,7,l66jog,2,58216,2,0,0,100,True,6
187963.682561199,gztto30eh4tq,Vonnie,7,kdzoo2,1,25479,2,0,0,100,True,5
187964.451502606,gztto30eh4tq,Vonnie,7,asg1c9,56,29911,1,0,0,228,True,4
187965.193966174,gztto30eh4tq,Vonnie,7,kdzoo2,9,48187,1,0,0,228,True,4
187965.941853754,gztto30eh4tq,Vonnie,7,kdzoo2,41,46497,1,0,0,228,True,3
187965.950140531,gztto30eh4tq,Vonnie,7,9w1k8l,53,9178,1,0,228,0,True,2
187966.361730736,gztto30eh4tq,Vonnie,7,9w1k8l,53,9178,2,100,0,0,True,2
187966.369105171,gztto30eh4tq,Vonnie,7,9w1k8l,33,21743,1,0,228,0,True,1
187966.764709016,gztto30eh4tq,Vonnie,7,9w1k8l,33,21743,2,100,0,0,True,2
187967.167474559,gztto30eh4tq,Vonnie,7,asg1c9,56,29911,2,0,0,100,True,1
187967.905785891,gztto30eh4tq,Vonnie,7,l66jog,7,38237,1,0,0,228,True,0
187969.254615596,gztto30eh4tq,Vonnie,7,asg1c9,42,25248,2,0,0,100,True,0
187970.330232077,gztto30eh4tq,Vonnie,7,asg1c9,46,17299,2,0,0,100,True,0
187971.052268945,gztto30eh4tq,Vonnie,7,l66jog,7,38237,2,0,0,100,True,0
187971.700395477,gztto30eh4tq,Vonnie,7,9w1k8l,71,834,1,0,228,0,True,0
187972.183156593,gztto30eh4tq,Vonnie,8,9w1k8l,71,834,2,100,0,0,True,0
187983.089573413,gztto30eh4tq,Vonnie,9,asg1c9,64,17873,2,0,0,100,True,0
187984.924068507,gztto30eh4tq,Vonnie,9,asg1c9,57,47777,2,0,0,100,True,1
187985.629146687,gztto30eh4tq,Vonnie,9,asg1c9,46,10888,1,0,0,228,True,0
187986.402890101,gztto30eh4tq,Vonnie,9,asg1c9,46,10888,2,0,0,100,True,0
187990.963698176,gztto30eh4tq,Vonnie,9,l66jog,37,46174,2,0,0,100,True,0
188003.116998784,gztto30eh4tq,Vonnie,11,kdzoo2,64,16840,2,0,0,100,True,1
188003.487539077,gztto30eh4tq,Vonnie,11,kdzoo2,6,46519,2,0,0,100,True,0
188004.596109096,gztto30eh4tq,Vonnie,11,kdzoo2,21,53577,2,0,0,100,True,0
188005.768408984,gztto30eh4tq,Vonnie,11,kdzoo2,49,22662,2,0,0,100,True,0
188018.759811466,gztto30eh4tq,Vonnie,12,kdzoo2,29,63792,1,0,0,228,True,1
188018.76743837,gztto30eh4tq,Vonnie,12,9w1k8l,42,187,1,0,228,0,True,0
188019.156427153,gztto30eh4tq,Vonnie,12,9w1k8l,42,187,2,100,0,0,True,0
188020.289454222,gztto30eh4tq,Vonnie,12,kdzoo2,48,4513,1,0,0,228,True,0
188044.016381306,gztto30eh4tq,Vonnie,15,l66jog,44,16052,1,0,0,228,True,0
188045.006471116,gztto30eh4tq,Vonnie,15,kdzoo2,52,26871,2,0,0,100,True,0
188048.664239509,gztto30eh4tq,Vonnie,15,l66jog,32,37429,1,0,0,228,True,1
188049.428680143,gztto30eh4tq,Vonnie,15,asg1c9,66,21740,1,0,0,228,True,0
188050.178321527,gztto30eh4tq,Vonnie,15,asg1c9,66,47292,1,0,0,228,True,0
188052.340639813,gztto30eh4tq,Vonnie,16,l66jog,53,50472,1,0,0,228,True,0
188056.684959746,gztto30eh4tq,Vonnie,16,l66jog,18,12427,1,0,0,228,True,1
188057.069595024,gztto30eh4tq,Vonnie,16,l66jog,17,10509,2,0,0,100,True,0
188060.973450579,gztto30eh4tq,Vonnie,16,l66jog,63,57878,1,0,0,228,True,1
188061.353305163,gztto30eh4tq,Vonnie,16,l66jog,54,20182,2,0,0,100,True,0
188074.599546344,gztto30eh4tq,Vonnie,18,kdzoo2,78,49523,1,0,0,228,True,1
188074.974772298,gztto30eh4tq,Vonnie,18,kdzoo2,34,1700,2,0,0,100,True,1
188075.373681838,gztto30eh4tq,Vonnie,18,kdzoo2,31,43126,2,0,0,100,True,0
188076.789804755,gztto30eh4tq,Vonnie,18,kdzoo2,29,49475,1,0,0,228,True,1
188077.497387908,gztto30eh4tq,Vonnie,18,l66jog,34,46345,1,0,0,228,True,0
188078.259682807,gztto30eh4tq,Vonnie,18,kdzoo2,54,60764,1,0,0,228,True,1
188078.982331045,gztto30eh4tq,Vonnie,18,kdzoo2,42,36360,1,0,0,228,True,0
188081.696849328,gztto30eh4tq,Vonnie,18,l66jog,26,49786,2,0,0,100,True,1
188082.131260538,gztto30eh4tq,Vonnie,19,kdzoo2,16,44224,2,0,0,100,True,1
188082.894226535,gztto30eh4tq,Vonnie,19,kdzoo2,54,58726,1,0,0,228,True,0
188089.982623501,gztto30eh4tq,Vonnie,19,l66jog,47,18472,2,0,0,100,True,0
188126.016349566,gztto30eh4tq,Vonnie,23,l66jog,8,63353,2,0,0,100,True,0
188127.428689722,gztto30eh4tq,Vonnie,23,l66jog,6,12472,1,0,0,228,True,0
188149.352261359,gztto30eh4tq,Vonnie,25,l66jog,77,14151,1,0,0,228,True,0
188151.221425042,gztto30eh4tq,Vonnie,25,l66jog,77,14151,2,0,0,100,True,0
188213.983631871,gztto30eh4tq,Vonnie,32,l66jog,60,17790,2,0,0,100,True,0
