t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187897.965103531,jqxgds5k0n29,Vickey,0,w4qbhx,1,5798,1,228,0,0,True,0
187898.777182511,jqxgds5k0n29,Vickey,0,w4qbhx,2,29491,1,228,0,0,True,0
187899.591018372,jqxgds5k0n29,Vickey,0,w4qbhx,23,27913,1,228,0,0,True,0
187900.391168646,jqxgds5k0n29,Vickey,0,w4qbhx,5,37992,1,228,0,0,True,0
187901.364583409,jqxgds5k0n29,Vickey,1,w4qbhx,38,10642,1,228,0,0,True,0
187902.211560296,jqxgds5k0n29,Vickey,1,w4qbhx,39,57956,1,228,0,0,True,1
187902.928079326,jqxgds5k0n29,Vickey,1,w4qbhx,38,10642,1,0,0,228,True,2
187902.938555369,jqxgds5k0n29,Vickey,1,w4qbhx,2,29491,2,0,100,0,True,1
187902.947725715,jqxgds5k0n29,Vickey,1,pzarxn,19,46573,1,0,228,0,True,0
187903.361557521,jqxgds5k0n29,Vickey,1,pzarxn,19,46573,2,100,0,0,True,1
187903.369129199,jqxgds5k0n29,Vickey,1,w4qbhx,1,5798,2,0,100,0,True,0
187904.122603485,jqxgds5k0n29,Vickey,1,w4qbhx,56,56659,1,228,0,0,True,0
187904.880713074,jqxgds5k0n29,Vickey,1,w4qbhx,16,23822,1,228,0,0,True,0
187905.633210502,jqxgds5k0n29,Vickey,1,w4qbhx,76,13860,1,228,0,0,True,1
187906.34023237,jqxgds5k0n29,Vickey,1,9w1k8l,26,6061,1,0,0,228,True,0
187907.103263458,jqxgds5k0n29,Vickey,1,w4qbhx,14,49317,1,228,0,0,True,0
187907.897005911,jqxgds5k0n29,Vickey,1,w4qbhx,59,20796,1,228,0,0,True,1
187908.692442719,jqxgds5k0n29,Vickey,1,w4qbhx,14,49317,1,0,0,228,True,0
187909.535327464,jqxgds5k0n29,Vickey,1,w4qbhx,30,56216,1,228,0,0,True,0
187910.301505538,jqxgds5k0n29,Vickey,1,w4qbhx,7,64354,1,228,0,0,True,0
187911.11733318,jqxgds5k0n29,Vickey,1,w4qbhx,69,60097,1,228,0,0,True,1
187911.12848459,jqxgds5k0n29,Vickey,1,w4qbhx,16,23822,2,0,100,0,True,0
187912.11351194,jqxgds5k0n29,Vickey,2,w4qbhx,27,19380,1,228,0,0,True,1
187912.898439061,jqxgds5k0n29,Vickey,2,w4qbhx,7,64354,1,0,0,228,True,1
187912.907208255,jqxgds5k0n29,Vickey,2,pzarxn,56,56851,1,0,228,0,True,0
187913.319756112,jqxgds5k0n29,Vickey,2,pzarxn,56,56851,2,100,0,0,True,0
187914.061365448,jqxgds5k0n29,Vickey,2,w4qbhx,70,29960,1,228,0,0,True,1
187914.068420293,jqxgds5k0n29,Vickey,2,w4qbhx,56,56659,2,0,100,0,True,0
187914.807378028,jqxgds5k0n29,Vickey,2,w4qbhx,74,31894,1,228,0,0,True,1
187914.814912502,jqxgds5k0n29,Vickey,2,w4qbhx,30,56216,2,0,100,0,True,0
187915.60183126,jqxgds5k0n29,Vickey,2,w4qbhx,13,1898,1,228,0,0,True,1
187916.321123384,jqxgds5k0n29,Vickey,2,w4qbhx,70,29960,1,0,0,228,True,1
187916.328784595,jqxgds5k0n29,Vickey,2,pzarxn,67,38976,1,0,228,0,True,0
187916.774331888,jqxgds5k0n29,Vickey,2,pzarxn,67,38976,2,100,0,0,True,0
187917.65785142,jqxgds5k0n29,Vickey,2,w4qbhx,75,14980,1,228,0,0,True,1
187918.431271666,jqxgds5k0n29,Vickey,2,w4qbhx,74,31894,1,0,0,228,True,1
187918.438581074,jqxgds5k0n29,Vickey,2,w4qbhx,69,60097,2,0,100,0,True,0
187919.211181025,jqxgds5k0n29,Vickey,2,w4qbhx,8,47446,1,228,0,0,True,0
187919.988112483,jqxgds5k0n29,Vickey,2,w4qbhx,71,4329,1,228,0,0,True,3
187920.004366596,jqxgds5k0n29,Vickey,2,w4qbhx,70,29960,2,0,100,0,True,2
187920.01163236,jqxgds5k0n29,Vickey,2,w4qbhx,27,19380,2,0,100,0,True,1
187920.022059095,jqxgds5k0n29,Vickey,2,pzarxn,70,6461,1,0,228,0,True,0
187920.435235957,jqxgds5k0n29,Vickey,2,pzarxn,70,6461,2,100,0,0,True,0
187921.134282642,jqxgds5k0n29,Vickey,2,w4qbhx,20,19008,1,228,0,0,True,1
187921.141720609,jqxgds5k0n29,Vickey,2,w4qbhx,74,31894,2,0,100,0,True,0
187921.968712066,jqxgds5k0n29,Vickey,3,w4qbhx,0,15186,1,228,0,0,True,0
187922.760086819,jqxgds5k0n29,Vickey,3,w4qbhx,9,19065,1,228,0,0,True,0
187923.475963966,jqxgds5k0n29,Vickey,3,w4qbhx,51,42583,1,228,0,0,True,2
187924.190616201,jqxgds5k0n29,Vickey,3,w4qbhx,39,57956,1,0,0,228,True,1
187924.199032651,jqxgds5k0n29,Vickey,3,pzarxn,69,43842,1,0,228,0,True,0
187924.575289169,jqxgds5k0n29,Vickey,3,pzarxn,69,43842,2,100,0,0,True,0
