t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187898.736153332,n23os2olwf6k,Otha,0,prf2sb,64,2884,1,0,0,228,True,0
187902.160131517,n23os2olwf6k,Otha,1,kdzoo2,14,29688,1,0,0,228,True,0
187923.397151358,n23os2olwf6k,Otha,3,kdzoo2,36,48568,2,0,0,100,True,0
187925.363332323,n23os2olwf6k,Otha,3,kdzoo2,13,1400,2,0,0,100,True,0
187926.52779572,n23os2olwf6k,Otha,3,kdzoo2,28,5924,2,0,0,100,True,0
187929.610947116,n23os2olwf6k,Otha,3,kdzoo2,38,18657,2,0,0,100,True,0
187930.618538403,n23os2olwf6k,Otha,3,kdzoo2,27,61884,2,0,0,100,True,1
187930.997369191,n23os2olwf6k,Otha,3,kdzoo2,3,37905,2,0,0,100,True,0
187934.036628514,n23os2olwf6k,Otha,4,prf2sb,73,12983,2,0,0,100,True,0
187945.796085368,n23os2olwf6k,Otha,5,kdzoo2,51,57646,1,0,0,228,True,0
187947.261889589,n23os2olwf6k,Otha,5,kdzoo2,59,49867,1,0,0,228,True,1
187947.642479179,n23os2olwf6k,Otha,5,kdzoo2,37,60208,2,0,0,100,True,1
187948.358510922,n23os2olwf6k,Otha,5,kdzoo2,18,12271,1,0,0,228,True,2
187949.088488093,n23os2olwf6k,Otha,5,kdzoo2,26,43726,1,0,0,228,True,2
187949.804876414,n23os2olwf6k,Otha,5,prf2sb,57,33304,1,0,0,228,True,2
187950.511546283,n23os2olwf6k,Otha,5,kdzoo2,15,18374,1,0,0,228,True,1
187951.3219193,n23os2olwf6k,Otha,5,kdzoo2,70,1564,1,0,0,228,True,2
187952.129962452,n23os2olwf6k,Otha,6,kdzoo2,63,55028,1,0,0,228,True,3
187982.865541957,n23os2olwf6k,Otha,9,prf2sb,44,22220,1,0,0,228,True,2
187983.306294916,n23os2olwf6k,Otha,9,prf2sb,42,55751,2,0,0,100,True,1
187984.080859215,n23os2olwf6k,Otha,9,prf2sb,33,26834,1,0,0,228,True,0
187985.831790115,n23os2olwf6k,Otha,9,prf2sb,74,29504,1,0,0,228,True,0
187988.043548162,n23os2olwf6k,Otha,9,prf2sb,78,4756,1,0,0,228,True,0
187993.786347373,n23os2olwf6k,Otha,10,kdzoo2,55,14647,1,0,0,228,True,0
187996.070990209,n23os2olwf6k,Otha,10,prf2sb,38,39977,1,0,0,228,True,1
187996.507814949,n23os2olwf6k,Otha,10,kdzoo2,57,17548,2,0,0,100,True,2
187997.191990739,n23os2olwf6k,Otha,10,prf2sb,2,48750,1,0,0,228,True,3
187997.923207921,n23os2olwf6k,Otha,10,kdzoo2,6,46519,1,0,0,228,True,3
187998.296019799,n23os2olwf6k,Otha,10,kdzoo2,55,14647,2,0,0,100,True,2
187998.993826806,n23os2olwf6k,Otha,10,prf2sb,34,8432,1,0,0,228,True,1
187999.697250425,n23os2olwf6k,Otha,10,prf2sb,46,38418,1,0,0,228,True,2
188000.407465812,n23os2olwf6k,Otha,10,prf2sb,56,53853,1,0,0,228,True,1
188001.140208059,n23os2olwf6k,Otha,10,kdzoo2,45,64216,1,0,0,228,True,3
188001.59020672,n23os2olwf6k,Otha,10,prf2sb,74,49896,2,0,0,100,True,2
188002.448387033,n23os2olwf6k,Otha,11,prf2sb,72,25708,1,0,0,228,True,2
188002.887368065,n23os2olwf6k,Otha,11,prf2sb,34,15012,2,0,0,100,True,2
188003.281554247,n23os2olwf6k,Otha,11,prf2sb,34,8432,2,0,0,100,True,1
188003.988560315,n23os2olwf6k,Otha,11,kdzoo2,35,2107,1,0,0,228,True,1
188004.38684567,n23os2olwf6k,Otha,11,prf2sb,56,53853,2,0,0,100,True,0
188006.181052834,n23os2olwf6k,Otha,11,kdzoo2,49,22662,2,0,0,100,True,1
188006.621193174,n23os2olwf6k,Otha,11,prf2sb,72,25708,2,0,0,100,True,0
188010.216666926,n23os2olwf6k,Otha,11,prf2sb,2,27035,1,0,0,228,True,0
188018.014646032,n23os2olwf6k,Otha,12,kdzoo2,29,63792,1,0,0,228,True,0
188019.512563292,n23os2olwf6k,Otha,12,kdzoo2,48,4513,1,0,0,228,True,0
188021.892933994,n23os2olwf6k,Otha,12,kdzoo2,71,57964,2,0,0,100,True,0
188064.665214865,n23os2olwf6k,Otha,17,kdzoo2,41,47368,1,0,0,228,True,0
188069.770630265,n23os2olwf6k,Otha,17,kdzoo2,31,49149,1,0,0,228,True,0
188072.767685232,n23os2olwf6k,Otha,18,kdzoo2,75,20301,1,0,0,228,True,0
188076.067425061,n23os2olwf6k,Otha,18,kdzoo2,29,49475,1,0,0,228,True,0
188077.546036865,n23os2olwf6k,Otha,18,kdzoo2,54,60764,1,0,0,228,True,0
188078.356615281,n23os2olwf6k,Otha,18,kdzoo2,62,27388,2,0,0,100,True,0
188081.146155071,n23os2olwf6k,Otha,18,kdzoo2,9,10454,1,0,0,228,True,0
