t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187900.333634617,pogin1agvcf2,Jean Panda,0,asg1c9,60,19465,1,0,0,228,True,0
187900.438753605,pogin1agvcf2,Jean Panda,0,kdzoo2,22,18997,1,0,228,0,True,0
187900.845509358,pogin1agvcf2,Jean Panda,0,kdzoo2,22,18997,2,100,0,0,True,0
187902.962499906,pogin1agvcf2,Jean Panda,1,asg1c9,38,24537,1,0,0,228,True,1
187902.969607039,pogin1agvcf2,Jean Panda,1,kdzoo2,17,60124,1,0,228,0,True,0
187903.409049813,pogin1agvcf2,Jean Panda,1,kdzoo2,17,60124,2,100,0,0,True,0
187905.020574947,pogin1agvcf2,Jean Panda,1,kdzoo2,14,29688,1,0,228,0,True,0
187905.467109289,pogin1agvcf2,Jean Panda,1,kdzoo2,14,29688,2,100,0,0,True,1
187905.474978945,pogin1agvcf2,Jean Panda,1,kdzoo2,61,11479,1,0,228,0,True,0
187905.870595068,pogin1agvcf2,Jean Panda,1,kdzoo2,61,11479,2,100,0,0,True,0
187906.43429856,pogin1agvcf2,Jean Panda,1,kdzoo2,5,2871,1,0,228,0,True,0
187906.818531518,pogin1agvcf2,Jean Panda,1,kdzoo2,5,2871,2,100,0,0,True,0
187907.516230826,pogin1agvcf2,Jean Panda,1,asg1c9,38,24537,2,0,0,100,True,2
187907.523838613,pogin1agvcf2,Jean Panda,1,kdzoo2,56,3932,1,0,228,0,True,1
187907.950885043,pogin1agvcf2,Jean Panda,1,kdzoo2,56,3932,2,100,0,0,True,1
187907.959859648,pogin1agvcf2,Jean Panda,1,kdzoo2,20,53643,1,0,228,0,True,0
187908.397297572,pogin1agvcf2,Jean Panda,1,kdzoo2,20,53643,2,100,0,0,True,0
187909.440854385,pogin1agvcf2,Jean Panda,1,kdzoo2,13,1400,1,0,228,0,True,0
187909.971123594,pogin1agvcf2,Jean Panda,1,kdzoo2,13,1400,2,100,0,0,True,0
187912.393063372,pogin1agvcf2,Jean Panda,2,asg1c9,55,3157,2,0,0,100,True,1
187912.400139289,pogin1agvcf2,Jean Panda,2,kdzoo2,7,10308,1,0,228,0,True,0
187912.855331807,pogin1agvcf2,Jean Panda,2,kdzoo2,7,10308,2,100,0,0,True,1
187912.862216816,pogin1agvcf2,Jean Panda,2,kdzoo2,11,28352,1,0,228,0,True,0
187913.260090861,pogin1agvcf2,Jean Panda,2,kdzoo2,11,28352,2,100,0,0,True,2
187913.267510447,pogin1agvcf2,Jean Panda,2,kdzoo2,50,19594,1,0,228,0,True,1
187913.684905391,pogin1agvcf2,Jean Panda,2,kdzoo2,50,19594,2,100,0,0,True,1
187914.100055074,pogin1agvcf2,Jean Panda,2,asg1c9,17,16120,2,0,0,100,True,0
187914.498577765,pogin1agvcf2,Jean Panda,2,kdzoo2,58,13177,1,0,228,0,True,0
187914.911882808,pogin1agvcf2,Jean Panda,2,kdzoo2,58,13177,2,100,0,0,True,0
187915.004728848,pogin1agvcf2,Jean Panda,2,kdzoo2,2,17790,1,0,228,0,True,0
187915.484638821,pogin1agvcf2,Jean Panda,2,kdzoo2,2,17790,2,100,0,0,True,3
187915.49282763,pogin1agvcf2,Jean Panda,2,kdzoo2,24,42848,1,0,228,0,True,2
187915.867922876,pogin1agvcf2,Jean Panda,2,kdzoo2,24,42848,2,100,0,0,True,3
187916.613934467,pogin1agvcf2,Jean Panda,2,asg1c9,36,56981,1,0,0,228,True,4
187917.372094294,pogin1agvcf2,Jean Panda,2,asg1c9,65,1761,1,0,0,228,True,5
187917.767166228,pogin1agvcf2,Jean Panda,2,asg1c9,25,18901,2,0,0,100,True,4
187917.776109258,pogin1agvcf2,Jean Panda,2,kdzoo2,79,13953,1,0,228,0,True,3
187918.243646831,pogin1agvcf2,Jean Panda,2,kdzoo2,79,13953,2,100,0,0,True,7
187919.043611546,pogin1agvcf2,Jean Panda,2,asg1c9,28,57635,1,0,0,228,True,7
187919.050487755,pogin1agvcf2,Jean Panda,2,kdzoo2,69,20513,1,0,228,0,True,6
187919.478794021,pogin1agvcf2,Jean Panda,2,kdzoo2,69,20513,2,100,0,0,True,7
187919.486364555,pogin1agvcf2,Jean Panda,2,kdzoo2,67,18776,1,0,228,0,True,6
187919.857374494,pogin1agvcf2,Jean Panda,2,kdzoo2,67,18776,2,100,0,0,True,6
187920.653263807,pogin1agvcf2,Jean Panda,2,asg1c9,22,59226,1,0,0,228,True,6
187921.415089924,pogin1agvcf2,Jean Panda,2,asg1c9,31,5921,1,0,0,228,True,8
187921.425571056,pogin1agvcf2,Jean Panda,2,kdzoo2,36,48568,1,0,228,0,True,7
187921.941658834,pogin1agvcf2,Jean Panda,3,kdzoo2,36,48568,2,100,0,0,True,8
187922.336418801,pogin1agvcf2,Jean Panda,3,asg1c9,70,55458,2,0,0,100,True,7
187923.071642677,pogin1agvcf2,Jean Panda,3,asg1c9,69,61088,1,0,0,228,True,6
187923.079190707,pogin1agvcf2,Jean Panda,3,kdzoo2,27,61884,1,0,228,0,True,5
187923.449594862,pogin1agvcf2,Jean Panda,3,kdzoo2,27,61884,2,100,0,0,True,6
187923.852091817,pogin1agvcf2,Jean Panda,3,asg1c9,36,56981,2,0,0,100,True,7
187924.258666473,pogin1agvcf2,Jean Panda,3,asg1c9,28,57635,2,0,0,100,True,6
187925.009244944,pogin1agvcf2,Jean Panda,3,asg1c9,23,8649,1,0,0,228,True,5
187925.707814737,pogin1agvcf2,Jean Panda,3,asg1c9,31,5921,1,0,0,228,True,4
187925.714820202,pogin1agvcf2,Jean Panda,3,kdzoo2,32,8863,1,0,228,0,True,3
187926.118712232,pogin1agvcf2,Jean Panda,3,kdzoo2,32,8863,2,100,0,0,True,3
187926.127112585,pogin1agvcf2,Jean Panda,3,kdzoo2,74,8534,1,0,228,0,True,2
187926.507962988,pogin1agvcf2,Jean Panda,3,kdzoo2,74,8534,2,100,0,0,True,3
187927.21747451,pogin1agvcf2,Jean Panda,3,asg1c9,43,19105,1,0,0,228,True,3
187927.224861515,pogin1agvcf2,Jean Panda,3,kdzoo2,38,18657,1,0,228,0,True,2
187927.611964612,pogin1agvcf2,Jean Panda,3,kdzoo2,38,18657,2,100,0,0,True,2
187928.005512557,pogin1agvcf2,Jean Panda,3,asg1c9,69,61088,2,0,0,100,True,1
