t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187899.521703893,qarrctbkx4l4,Vickey,0,asg1c9,17,16120,1,0,0,228,True,1
187900.250120387,qarrctbkx4l4,Vickey,0,kdzoo2,77,58335,1,0,0,228,True,2
187901.07649707,qarrctbkx4l4,Vickey,0,kdzoo2,17,60124,1,0,0,228,True,2
187901.084916896,qarrctbkx4l4,Vickey,0,pzarxn,21,37470,1,0,228,0,True,1
187901.708381653,qarrctbkx4l4,Vickey,1,pzarxn,21,37470,2,100,0,0,True,2
187952.375243164,qarrctbkx4l4,Vickey,6,w4qbhx,5,37992,1,0,0,228,True,1
187953.099971837,qarrctbkx4l4,Vickey,6,asg1c9,4,51913,1,0,0,228,True,2
187953.814252426,qarrctbkx4l4,Vickey,6,asg1c9,34,20361,1,0,0,228,True,2
187954.2281693,qarrctbkx4l4,Vickey,6,kdzoo2,26,43726,2,0,0,100,True,2
187954.930255561,qarrctbkx4l4,Vickey,6,kdzoo2,65,1403,1,0,0,228,True,2
187955.672570904,qarrctbkx4l4,Vickey,6,kdzoo2,53,14624,1,0,0,228,True,2
187956.408613774,qarrctbkx4l4,Vickey,6,kdzoo2,43,34268,1,0,0,228,True,2
187956.820404128,qarrctbkx4l4,Vickey,6,kdzoo2,47,30905,2,0,0,100,True,2
187957.527464446,qarrctbkx4l4,Vickey,6,asg1c9,15,11253,1,0,0,228,True,3
187958.245650736,qarrctbkx4l4,Vickey,6,w6r9dc,73,59751,1,0,0,228,True,4
187958.648378594,qarrctbkx4l4,Vickey,6,kdzoo2,40,8361,2,0,0,100,True,3
187959.055520586,qarrctbkx4l4,Vickey,6,kdzoo2,63,55028,2,0,0,100,True,2
187959.768194494,qarrctbkx4l4,Vickey,6,w6r9dc,44,17986,1,0,0,228,True,3
187960.46811068,qarrctbkx4l4,Vickey,6,w4qbhx,47,37227,1,0,0,228,True,5
187960.862611327,qarrctbkx4l4,Vickey,6,w6r9dc,37,62150,2,0,0,100,True,6
187961.614070032,qarrctbkx4l4,Vickey,6,w6r9dc,44,17986,1,0,0,228,True,6
187962.095013431,qarrctbkx4l4,Vickey,7,asg1c9,67,38973,2,0,0,100,True,5
187972.080300166,qarrctbkx4l4,Vickey,8,kdzoo2,43,34268,2,0,0,100,True,4
187972.853281586,qarrctbkx4l4,Vickey,8,kdzoo2,46,52638,1,0,0,228,True,3
187973.2562632,qarrctbkx4l4,Vickey,8,w6r9dc,6,23544,2,0,0,100,True,4
187973.65087555,qarrctbkx4l4,Vickey,8,w6r9dc,37,62150,2,0,0,100,True,3
187974.371580138,qarrctbkx4l4,Vickey,8,kdzoo2,31,56993,1,0,0,228,True,3
187975.080552877,qarrctbkx4l4,Vickey,8,asg1c9,78,45674,1,0,0,228,True,3
187975.47000328,qarrctbkx4l4,Vickey,8,w6r9dc,6,23544,2,0,0,100,True,3
187976.184599586,qarrctbkx4l4,Vickey,8,asg1c9,1,39200,1,0,0,228,True,2
187976.192036011,qarrctbkx4l4,Vickey,8,w4qbhx,66,40387,2,0,100,0,True,1
187976.897345664,qarrctbkx4l4,Vickey,8,asg1c9,44,43205,1,0,0,228,True,2
187977.288440034,qarrctbkx4l4,Vickey,8,asg1c9,78,45674,2,0,0,100,True,2
187978.019109592,qarrctbkx4l4,Vickey,8,w6r9dc,15,52660,1,0,0,228,True,1
187978.448704466,qarrctbkx4l4,Vickey,8,kdzoo2,23,922,2,0,0,100,True,0
187979.19844395,qarrctbkx4l4,Vickey,8,asg1c9,35,25944,2,0,0,100,True,1
187979.209597211,qarrctbkx4l4,Vickey,8,pzarxn,46,14466,1,0,228,0,True,0
187979.67061668,qarrctbkx4l4,Vickey,8,pzarxn,46,14466,2,100,0,0,True,1
187980.092030828,qarrctbkx4l4,Vickey,8,asg1c9,44,43205,2,0,0,100,True,3
187980.498696338,qarrctbkx4l4,Vickey,8,asg1c9,72,62063,2,0,0,100,True,2
187980.909335315,qarrctbkx4l4,Vickey,8,w6r9dc,15,52660,2,0,0,100,True,1
187981.391618043,qarrctbkx4l4,Vickey,8,asg1c9,75,4390,2,0,0,100,True,0
187983.231547001,qarrctbkx4l4,Vickey,9,w4qbhx,17,29712,1,0,0,228,True,0
187988.513789373,qarrctbkx4l4,Vickey,9,asg1c9,72,58467,1,0,0,228,True,1
187988.911578761,qarrctbkx4l4,Vickey,9,asg1c9,42,12276,2,0,0,100,True,0
187990.059831644,qarrctbkx4l4,Vickey,9,asg1c9,64,59121,1,0,0,228,True,1
187990.439894451,qarrctbkx4l4,Vickey,9,asg1c9,76,55096,2,0,0,100,True,0
187991.533458894,qarrctbkx4l4,Vickey,9,asg1c9,1,31695,1,0,0,228,True,1
187991.540581089,qarrctbkx4l4,Vickey,9,w4qbhx,68,21112,2,0,100,0,True,0
187992.169884735,qarrctbkx4l4,Vickey,10,asg1c9,64,59121,2,0,0,100,True,0
187994.216809347,qarrctbkx4l4,Vickey,10,w4qbhx,62,40125,2,0,100,0,True,0
187995.538119973,qarrctbkx4l4,Vickey,10,w6r9dc,33,24287,1,0,0,228,True,2
187996.264832511,qarrctbkx4l4,Vickey,10,asg1c9,72,38595,1,0,0,228,True,1
