t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187901.272712414,qsj3qqwbupl0,Otha,0,prf2sb,75,9289,1,0,0,228,True,1
187902.092572837,qsj3qqwbupl0,Otha,1,prf2sb,75,9289,1,0,0,228,True,0
187902.985398289,qsj3qqwbupl0,Otha,1,prf2sb,7,17845,1,0,0,228,True,1
187903.70780063,qsj3qqwbupl0,Otha,1,prf2sb,63,29489,1,0,0,228,True,1
187904.085261009,qsj3qqwbupl0,Otha,1,prf2sb,64,2884,2,0,0,100,True,0
187904.539521003,qsj3qqwbupl0,Otha,1,prf2sb,75,9289,2,0,0,100,True,1
187905.268492581,qsj3qqwbupl0,Otha,1,prf2sb,12,13002,1,0,0,228,True,0
187907.023358689,qsj3qqwbupl0,Otha,1,prf2sb,66,8738,1,0,0,228,True,1
187907.494010633,qsj3qqwbupl0,Otha,1,prf2sb,7,17845,2,0,0,100,True,0
187909.249869973,qsj3qqwbupl0,Otha,1,prf2sb,39,20920,1,0,0,228,True,1
187909.643746075,qsj3qqwbupl0,Otha,1,9w1k8l,19,21805,2,0,0,100,True,1
187910.100447725,qsj3qqwbupl0,Otha,1,9w1k8l,14,44618,2,0,0,100,True,2
187910.879017474,qsj3qqwbupl0,Otha,1,prf2sb,60,24945,1,0,0,228,True,2
187911.860929416,qsj3qqwbupl0,Otha,2,prf2sb,40,20399,1,0,0,228,True,1
187912.34150467,qsj3qqwbupl0,Otha,2,prf2sb,77,6249,2,0,0,100,True,3
187913.042233403,qsj3qqwbupl0,Otha,2,prf2sb,21,15282,1,0,0,228,True,2
187913.751018445,qsj3qqwbupl0,Otha,2,prf2sb,79,34945,1,0,0,228,True,1
187914.158569777,qsj3qqwbupl0,Otha,2,prf2sb,77,6249,2,0,0,100,True,0
187914.79782184,qsj3qqwbupl0,Otha,2,prf2sb,39,20920,2,0,0,100,True,1
187915.276805569,qsj3qqwbupl0,Otha,2,prf2sb,39,20920,2,0,0,100,True,0
187917.541500935,qsj3qqwbupl0,Otha,2,prf2sb,26,2776,1,0,0,228,True,0
187919.135979929,qsj3qqwbupl0,Otha,2,prf2sb,23,60432,2,0,0,100,True,1
187919.553569168,qsj3qqwbupl0,Otha,2,prf2sb,23,60432,2,0,0,100,True,0
187924.142014403,qsj3qqwbupl0,Otha,3,9w1k8l,7,16442,1,0,0,228,True,0
187925.945000746,qsj3qqwbupl0,Otha,3,9w1k8l,15,15978,1,0,0,228,True,0
187927.072443384,qsj3qqwbupl0,Otha,3,9w1k8l,76,41915,1,0,0,228,True,0
187927.861080827,qsj3qqwbupl0,Otha,3,9w1k8l,60,39623,1,0,0,228,True,0
187932.973437465,qsj3qqwbupl0,Otha,4,prf2sb,41,13685,2,0,0,100,True,2
187933.346360246,qsj3qqwbupl0,Otha,4,9w1k8l,29,26987,2,0,0,100,True,1
187933.723777248,qsj3qqwbupl0,Otha,4,prf2sb,17,17405,2,0,0,100,True,1
187934.104773245,qsj3qqwbupl0,Otha,4,prf2sb,17,17405,2,0,0,100,True,0
187937.342834706,qsj3qqwbupl0,Otha,4,9w1k8l,2,61695,2,0,0,100,True,0
187938.493921785,qsj3qqwbupl0,Otha,4,9w1k8l,5,37643,2,0,0,100,True,0
187940.304456707,qsj3qqwbupl0,Otha,4,9w1k8l,30,31691,1,0,0,228,True,0
187940.727705578,qsj3qqwbupl0,Otha,4,9w1k8l,8,39117,2,0,0,100,True,0
187943.043569656,qsj3qqwbupl0,Otha,5,9w1k8l,30,31691,2,0,0,100,True,0
187944.12615194,qsj3qqwbupl0,Otha,5,prf2sb,31,47835,1,0,0,228,True,1
187944.837323306,qsj3qqwbupl0,Otha,5,prf2sb,53,43490,1,0,0,228,True,1
187945.539660468,qsj3qqwbupl0,Otha,5,prf2sb,36,27608,1,0,0,228,True,0
187946.129905605,qsj3qqwbupl0,Otha,5,9w1k8l,65,34437,2,0,0,100,True,0
187948.067093463,qsj3qqwbupl0,Otha,5,9w1k8l,78,49709,2,0,0,100,True,0
187950.695303432,qsj3qqwbupl0,Otha,5,prf2sb,30,50770,2,0,0,100,True,1
187951.461489602,qsj3qqwbupl0,Otha,5,prf2sb,10,54689,1,0,0,228,True,2
187951.927800012,qsj3qqwbupl0,Otha,6,prf2sb,42,55751,2,0,0,100,True,2
