t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187902.015679765,ut3jrfpc7x6u,Lavette,1,pzarxn,19,46573,1,0,0,228,True,2
187902.730143457,ut3jrfpc7x6u,Lavette,1,prf2sb,54,51797,1,0,0,228,True,1
187903.117719516,ut3jrfpc7x6u,Lavette,1,prf2sb,64,2884,2,0,0,100,True,0
187904.851304234,ut3jrfpc7x6u,Lavette,1,prf2sb,54,51797,2,0,0,100,True,1
187905.625737889,ut3jrfpc7x6u,Lavette,1,9w1k8l,52,60747,1,0,0,228,True,0
187907.067426262,ut3jrfpc7x6u,Lavette,1,9w1k8l,20,28758,2,0,0,100,True,1
187907.842265416,ut3jrfpc7x6u,Lavette,1,prf2sb,15,36971,1,0,0,228,True,1
187908.284152564,ut3jrfpc7x6u,Lavette,1,prf2sb,12,13002,2,0,0,100,True,0
187912.746487762,ut3jrfpc7x6u,Lavette,2,prf2sb,40,20399,1,0,0,228,True,0
187915.249522662,ut3jrfpc7x6u,Lavette,2,prf2sb,60,24945,2,0,0,100,True,0
187916.739790875,ut3jrfpc7x6u,Lavette,2,prf2sb,16,56073,1,0,0,228,True,1
187917.170924967,ut3jrfpc7x6u,Lavette,2,pzarxn,9,252,2,0,0,100,True,1
187917.61140579,ut3jrfpc7x6u,Lavette,2,prf2sb,14,5194,2,0,0,100,True,0
187918.740812011,ut3jrfpc7x6u,Lavette,2,prf2sb,79,34945,2,0,0,100,True,2
187919.445235104,ut3jrfpc7x6u,Lavette,2,9w1k8l,72,58538,1,0,0,228,True,1
187920.146729263,ut3jrfpc7x6u,Lavette,2,prf2sb,73,12983,1,0,0,228,True,0
187921.705353287,ut3jrfpc7x6u,Lavette,3,9w1k8l,64,39264,1,0,0,228,True,0
188005.760715098,ut3jrfpc7x6u,Lavette,11,prf2sb,44,22220,2,0,0,100,True,1
188006.17384562,ut3jrfpc7x6u,Lavette,11,prf2sb,72,25708,2,0,0,100,True,1
188006.59805042,ut3jrfpc7x6u,Lavette,11,prf2sb,34,45790,2,0,0,100,True,1
188007.004193695,ut3jrfpc7x6u,Lavette,11,prf2sb,72,56761,2,0,0,100,True,1
188007.736279233,ut3jrfpc7x6u,Lavette,11,prf2sb,56,47325,1,0,0,228,True,0
188009.713177676,ut3jrfpc7x6u,Lavette,11,prf2sb,74,29504,2,0,0,100,True,0
188012.374708224,ut3jrfpc7x6u,Lavette,12,pzarxn,58,19388,1,0,0,228,True,0
188016.842395709,ut3jrfpc7x6u,Lavette,12,pzarxn,26,43177,1,0,0,228,True,0
188017.654698754,ut3jrfpc7x6u,Lavette,12,9w1k8l,42,187,1,0,0,228,True,0
188019.58738791,ut3jrfpc7x6u,Lavette,12,9w1k8l,47,13284,1,0,0,228,True,0
188168.336482051,ut3jrfpc7x6u,Lavette,27,pzarxn,31,52792,2,0,0,100,True,0
