t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187898.697167804,ysxeidhiosg2,Kaci,0,3h7igd,33,9334,1,0,0,228,True,0
187900.236589122,ysxeidhiosg2,Kaci,0,pzarxn,21,37470,1,0,0,228,True,1
187901.06910402,ysxeidhiosg2,Kaci,0,w4qbhx,23,27913,1,0,0,228,True,0
187904.873576744,ysxeidhiosg2,Kaci,1,w4qbhx,56,56659,1,0,0,228,True,1
187905.329418982,ysxeidhiosg2,Kaci,1,w4qbhx,23,27913,2,0,0,100,True,1
187905.758555974,ysxeidhiosg2,Kaci,1,w4qbhx,38,10642,2,0,0,100,True,1
187906.474359899,ysxeidhiosg2,Kaci,1,w4qbhx,76,13860,1,0,0,228,True,1
187907.245263857,ysxeidhiosg2,Kaci,1,pzarxn,40,48319,1,0,0,228,True,0
187910.467899057,ysxeidhiosg2,Kaci,1,w4qbhx,16,23822,2,0,0,100,True,1
187911.263850097,ysxeidhiosg2,Kaci,2,w4qbhx,7,64354,1,0,0,228,True,0
187952.211630349,ysxeidhiosg2,Kaci,6,pzarxn,65,9835,1,0,0,228,True,0
187954.481021461,ysxeidhiosg2,Kaci,6,pzarxn,6,27196,1,0,0,228,True,0
187973.840072308,ysxeidhiosg2,Kaci,8,w4qbhx,26,60408,1,0,0,228,True,0
187975.514261859,ysxeidhiosg2,Kaci,8,w4qbhx,50,10846,2,0,0,100,True,0
187976.404733435,ysxeidhiosg2,Kaci,8,w4qbhx,34,35363,1,0,0,228,True,0
187979.279470153,ysxeidhiosg2,Kaci,8,w4qbhx,29,4962,1,0,0,228,True,0
187994.209012229,ysxeidhiosg2,Kaci,10,w4qbhx,62,40125,2,0,0,100,True,1
187994.91162293,ysxeidhiosg2,Kaci,10,w4qbhx,65,16936,1,0,0,228,True,0
187997.001903699,ysxeidhiosg2,Kaci,10,w4qbhx,52,3358,1,0,0,228,True,0
188005.619958754,ysxeidhiosg2,Kaci,11,w4qbhx,35,10645,1,0,0,228,True,1
188006.059654027,ysxeidhiosg2,Kaci,11,w4qbhx,31,61590,2,0,0,100,True,0
188007.110867604,ysxeidhiosg2,Kaci,11,w4qbhx,60,5241,1,0,0,228,True,0
188008.590809132,ysxeidhiosg2,Kaci,11,w4qbhx,57,32144,1,0,0,228,True,0
188009.441012626,ysxeidhiosg2,Kaci,11,w4qbhx,53,47837,1,0,0,228,True,1
188009.818514862,ysxeidhiosg2,Kaci,11,w4qbhx,25,18047,2,0,0,100,True,0
188010.588470008,ysxeidhiosg2,Kaci,11,w4qbhx,60,5241,2,0,0,100,True,0
188010.988271457,ysxeidhiosg2,Kaci,11,w4qbhx,57,32144,2,0,0,100,True,0
188105.899355703,ysxeidhiosg2,Kaci,21,pzarxn,39,21923,2,0,0,100,True,0
188106.896170898,ysxeidhiosg2,Kaci,21,3h7igd,30,11673,1,0,0,228,True,0
188107.634705745,ysxeidhiosg2,Kaci,21,3h7igd,15,10797,1,0,0,228,True,0
188109.896217732,ysxeidhiosg2,Kaci,21,3h7igd,11,49919,1,0,0,228,True,0
188111.358198647,ysxeidhiosg2,Kaci,21,3h7igd,17,20536,1,0,0,228,True,2
188111.732780206,ysxeidhiosg2,Kaci,22,3h7igd,15,10797,2,0,0,100,True,1
188122.078084062,ysxeidhiosg2,Kaci,23,3h7igd,30,11673,2,0,0,100,True,0
188124.322011731,ysxeidhiosg2,Kaci,23,3h7igd,43,11388,1,0,0,228,True,0
188125.359021724,ysxeidhiosg2,Kaci,23,3h7igd,6,20787,2,0,0,100,True,0
188128.644479655,ysxeidhiosg2,Kaci,23,3h7igd,34,2602,1,0,0,228,True,1
188129.034747462,ysxeidhiosg2,Kaci,23,3h7igd,3,45403,2,0,0,100,True,1
188129.735657196,ysxeidhiosg2,Kaci,23,3h7igd,19,18502,1,0,0,228,True,1
188130.127023748,ysxeidhiosg2,Kaci,23,pzarxn,28,61907,2,0,0,100,True,1
188130.500237631,ysxeidhiosg2,Kaci,23,3h7igd,5,43351,2,0,0,100,True,0
188131.213213822,ysxeidhiosg2,Kaci,23,3h7igd,32,57502,2,0,0,100,True,1
188131.91848997,ysxeidhiosg2,Kaci,24,3h7igd,59,57149,1,0,0,228,True,0
188135.609873714,ysxeidhiosg2,Kaci,24,3h7igd,77,61874,1,0,0,228,True,0
188136.414001107,ysxeidhiosg2,Kaci,24,3h7igd,24,28435,2,0,0,100,True,1
188137.155614335,ysxeidhiosg2,Kaci,24,3h7igd,79,51865,1,0,0,228,True,0
188138.521861779,ysxeidhiosg2,Kaci,24,3h7igd,1,62847,1,0,0,228,True,1
188138.916372296,ysxeidhiosg2,Kaci,24,pzarxn,4,47267,2,0,0,100,True,1
188139.31874824,ysxeidhiosg2,Kaci,24,3h7igd,74,43969,2,0,0,100,True,0
188141.534956213,ysxeidhiosg2,Kaci,24,3h7igd,29,44283,2,0,0,100,True,1
188142.248670276,ysxeidhiosg2,Kaci,25,3h7igd,1,3281,1,0,0,228,True,2
188142.64619873,ysxeidhiosg2,Kaci,25,3h7igd,55,54980,2,0,0,100,True,1
188143.347221785,ysxeidhiosg2,Kaci,25,3h7igd,21,8750,1,0,0,228,True,0
188145.158721446,ysxeidhiosg2,Kaci,25,pzarxn,0,19841,2,0,0,100,True,0
188146.478693794,ysxeidhiosg2,Kaci,25,pzarxn,42,34601,1,0,0,228,True,0
188148.39878683,ysxeidhiosg2,Kaci,25,3h7igd,52,61960,2,0,0,100,True,0
