t,user,current_round
187891.549717021,Dora,0
187901.643601237,Dora,1
187911.890756308,Dora,2
187921.976139993,Dora,3
187932.046605094,Dora,4
187942.059418133,Dora,5
187952.103944996,Dora,6
187962.162283123,Dora,7
187972.257744932,Dora,8
187982.304172329,Dora,9
187992.3350489,Dora,10
188002.460630693,Dora,11
188012.501947734,Dora,12
188022.580944663,Dora,13
188032.600573303,Dora,14
188042.62467731,Dora,15
188052.626744115,Dora,16
188062.639997148,Dora,17
188072.668798332,Dora,18
188082.695804416,Dora,19
188092.712094198,Dora,20
188102.713811843,Dora,21
188112.747343859,Dora,22
188122.748503733,Dora,23
188132.757213079,Dora,24
188142.7742149,Dora,25
188152.802344518,Dora,26
188162.815039241,Dora,27
188172.822556768,Dora,28
188182.83751286,Dora,29
188192.84199174,Dora,30
188202.845961715,Dora,31
188212.871275186,Dora,32
188222.895482787,Dora,33
188232.895695749,Dora,34
188242.909510691,Dora,35
188252.935381233,Dora,36
188262.936538024,Dora,37
188272.942381521,Dora,38
188282.953871856,Dora,39
188292.956781218,Dora,40
188302.970825786,Dora,41
188312.982718498,Dora,42
188322.996331743,Dora,43
188333.019969362,Dora,44
188343.025385983,Dora,45
188353.037413827,Dora,46
188363.052393843,Dora,47
188373.059135525,Dora,48
188383.071521654,Dora,49
188393.097761778,Dora,50
188403.114428074,Dora,51
188413.117663052,Dora,52
188423.132752176,Dora,53
188433.140489639,Dora,54
188443.156501526,Dora,55
188453.158290572,Dora,56
188463.172260093,Dora,57
188473.189418321,Dora,58
188483.199672329,Dora,59
