t,user,current_round
187891.310624457,Elinor,0
187901.435488164,Elinor,1
187911.536578654,Elinor,2
187921.587348663,Elinor,3
187931.631971148,Elinor,4
187941.666229116,Elinor,5
187951.76534769,Elinor,6
187961.800939815,Elinor,7
187971.848270414,Elinor,8
187981.923445479,Elinor,9
187991.944795539,Elinor,10
188001.983245744,Elinor,11
188011.988032278,Elinor,12
188022.003504353,Elinor,13
188032.031178821,Elinor,14
188042.037946205,Elinor,15
188052.067279004,Elinor,16
188062.081595201,Elinor,17
188072.128571766,Elinor,18
188082.208550832,Elinor,19
188092.2348987,Elinor,20
188102.269453635,Elinor,21
188112.314951957,Elinor,22
188122.327602053,Elinor,23
188132.345472466,Elinor,24
188142.36406424,Elinor,25
188152.383678193,Elinor,26
188162.387630171,Elinor,27
188172.397325874,Elinor,28
188182.405137447,Elinor,29
188192.41803872,Elinor,30
188202.426049237,Elinor,31
188212.429900988,Elinor,32
188222.435475568,Elinor,33
188232.443533297,Elinor,34
188242.450479457,Elinor,35
188252.461037524,Elinor,36
188262.463787049,Elinor,37
188272.467630114,Elinor,38
188282.476287564,Elinor,39
188292.492059633,Elinor,40
188302.493781668,Elinor,41
188312.504043831,Elinor,42
188322.514484371,Elinor,43
188332.520369699,Elinor,44
188342.523364227,Elinor,45
188352.523666998,Elinor,46
188362.535005184,Elinor,47
188372.539559516,Elinor,48
188382.544063457,Elinor,49
188392.55434847,Elinor,50
188402.560882975,Elinor,51
188412.565291809,Elinor,52
188422.57339476,Elinor,53
188432.583217559,Elinor,54
188442.596522012,Elinor,55
188452.600217938,Elinor,56
188462.607753073,Elinor,57
188472.618860951,Elinor,58
188482.62379572,Elinor,59
