t,user,current_round
187891.431050917,Jean Panda,0
187901.526296376,Jean Panda,1
187911.695309024,Jean Panda,2
187921.777698749,Jean Panda,3
187931.812562292,Jean Panda,4
187941.876931411,Jean Panda,5
187951.935470367,Jean Panda,6
187962.03065575,Jean Panda,7
187972.055567414,Jean Panda,8
187982.138718999,Jean Panda,9
187992.176904794,Jean Panda,10
188002.273436856,Jean Panda,11
188012.281532185,Jean Panda,12
188022.291429539,Jean Panda,13
188032.307523263,Jean Panda,14
188042.310925491,Jean Panda,15
188052.323410346,Jean Panda,16
188062.377350209,Jean Panda,17
188072.385636472,Jean Panda,18
188082.407004535,Jean Panda,19
188092.430614102,Jean Panda,20
188102.448020188,Jean Panda,21
188112.489135208,Jean Panda,22
188122.511676441,Jean Panda,23
188132.520562488,Jean Panda,24
188142.52685513,Jean Panda,25
188152.53915291,Jean Panda,26
188162.552129888,Jean Panda,27
188172.562655407,Jean Panda,28
188182.584852281,Jean Panda,29
188192.597691258,Jean Panda,30
188202.615354974,Jean Panda,31
188212.621902781,Jean Panda,32
188222.640047334,Jean Panda,33
188232.65700766,Jean Panda,34
188242.67541142,Jean Panda,35
188252.687939088,Jean Panda,36
188262.700112137,Jean Panda,37
188272.702327648,Jean Panda,38
188282.710191844,Jean Panda,39
188292.711408613,Jean Panda,40
188302.712369551,Jean Panda,41
188312.747857103,Jean Panda,42
188322.759011801,Jean Panda,43
188332.773687865,Jean Panda,44
188342.776298267,Jean Panda,45
188352.787037069,Jean Panda,46
188362.796269111,Jean Panda,47
188372.808388184,Jean Panda,48
188382.827813244,Jean Panda,49
188392.843347394,Jean Panda,50
188402.859620334,Jean Panda,51
188412.859903594,Jean Panda,52
188422.865337288,Jean Panda,53
188432.882628182,Jean Panda,54
188442.890455476,Jean Panda,55
188452.900509716,Jean Panda,56
188462.922049638,Jean Panda,57
188472.927109551,Jean Panda,58
188482.939635242,Jean Panda,59
