t,user,current_round
187891.031419257,Kaci,0
187901.142448663,Kaci,1
187911.239584761,Kaci,2
187921.273032312,Kaci,3
187931.286282293,Kaci,4
187941.297161215,Kaci,5
187951.349133347,Kaci,6
187961.360689503,Kaci,7
187971.387294772,Kaci,8
187981.468084733,Kaci,9
187991.488534122,Kaci,10
188001.49978384,Kaci,11
188011.522621119,Kaci,12
188021.525946337,Kaci,13
188031.5266961,Kaci,14
188041.536241996,Kaci,15
188051.558591951,Kaci,16
188061.575475036,Kaci,17
188071.583352814,Kaci,18
188081.595217825,Kaci,19
188091.613416056,Kaci,20
188101.621285828,Kaci,21
188111.641147992,Kaci,22
188121.657644074,Kaci,23
188131.670102472,Kaci,24
188141.678576607,Kaci,25
188151.688533098,Kaci,26
188161.69854267,Kaci,27
188171.704219497,Kaci,28
188181.708290675,Kaci,29
188191.7094458,Kaci,30
188201.732475167,Kaci,31
188211.760340952,Kaci,32
188221.77458725,Kaci,33
188231.780544281,Kaci,34
188241.783947429,Kaci,35
188251.790972626,Kaci,36
188261.798678331,Kaci,37
188271.806524284,Kaci,38
188281.821152338,Kaci,39
188291.823209398,Kaci,40
188301.833465462,Kaci,41
188311.844054832,Kaci,42
188321.845408419,Kaci,43
188331.866841433,Kaci,44
188341.88086358,Kaci,45
188351.900033971,Kaci,46
188361.913701544,Kaci,47
188371.919282552,Kaci,48
188381.929705771,Kaci,49
188391.938280231,Kaci,50
188401.949305645,Kaci,51
188411.956777557,Kaci,52
188421.964991777,Kaci,53
188431.978291842,Kaci,54
188441.990269992,Kaci,55
188451.996959629,Kaci,56
188461.999084053,Kaci,57
188472.002132027,Kaci,58
188482.005402259,Kaci,59
