t,user,current_round
187891.382327831,Otha,0
187901.487334707,Otha,1
187911.631389811,Otha,2
187921.740608579,Otha,3
187931.7737013,Otha,4
187941.808121312,Otha,5
187951.854704202,Otha,6
187961.871171088,Otha,7
187971.905759968,Otha,8
187982.004067118,Otha,9
187992.027217332,Otha,10
188002.118619956,Otha,11
188012.12879908,Otha,12
188022.145445147,Otha,13
188032.179657467,Otha,14
188042.199178545,Otha,15
188052.20331914,Otha,16
188062.218251201,Otha,17
188072.220545846,Otha,18
188082.272917157,Otha,19
188092.319172623,Otha,20
188102.348282615,Otha,21
188112.38814681,Otha,22
188122.413878834,Otha,23
188132.432521621,Otha,24
188142.445927012,Otha,25
188152.462681603,Otha,26
188162.491084721,Otha,27
188172.516897789,Otha,28
188182.546897635,Otha,29
188192.561349946,Otha,30
188202.566230756,Otha,31
188212.568157412,Otha,32
188222.595151876,Otha,33
188232.604615992,Otha,34
188242.620863739,Otha,35
188252.633663482,Otha,36
188262.638406314,Otha,37
188272.650168514,Otha,38
188282.659161344,Otha,39
188292.665158124,Otha,40
188302.672069313,Otha,41
188312.678305238,Otha,42
188322.690035687,Otha,43
188332.701544724,Otha,44
188342.715963842,Otha,45
188352.72587604,Otha,46
188362.743341002,Otha,47
188372.757051312,Otha,48
188382.761188516,Otha,49
188392.79663898,Otha,50
188402.813768187,Otha,51
188412.818461856,Otha,52
188422.819867174,Otha,53
188432.831649155,Otha,54
188442.844070006,Otha,55
188452.847347045,Otha,56
188462.855394056,Otha,57
188472.86777957,Otha,58
188482.873942343,Otha,59
