t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187898.375114615,2fjsjju821ti,Delilah,0,0w2jgu,1,37848,1,228,0,0,True,0
187899.200366288,2fjsjju821ti,Delilah,0,0w2jgu,15,41781,1,228,0,0,True,0
187900.044530054,2fjsjju821ti,Delilah,0,0w2jgu,45,22378,1,228,0,0,True,0
187900.891692231,2fjsjju821ti,Delilah,0,0w2jgu,22,34482,1,228,0,0,True,2
187900.898436622,2fjsjju821ti,Delilah,0,3xsw3i,22,11839,1,0,228,0,True,1
187901.412024323,2fjsjju821ti,Delilah,0,3xsw3i,22,11839,2,100,0,0,True,1
187902.23120619,2fjsjju821ti,Delilah,1,9gelp6,67,30393,1,0,0,228,True,1
187902.236263699,2fjsjju821ti,Delilah,1,3xsw3i,1,23529,1,0,228,0,True,0
187902.682575537,2fjsjju821ti,Delilah,1,3xsw3i,1,23529,2,100,0,0,True,0
187903.427180518,2fjsjju821ti,Delilah,1,0w2jgu,37,60324,1,228,0,0,True,2
187903.84550439,2fjsjju821ti,Delilah,1,kb3cx7,77,59357,2,0,0,100,True,1
187904.632830099,2fjsjju821ti,Delilah,1,9gelp6,75,1961,1,0,0,228,True,0
187905.448396166,2fjsjju821ti,Delilah,1,0w2jgu,75,46746,1,228,0,0,True,2
187905.844496479,2fjsjju821ti,Delilah,1,9gelp6,62,8729,2,0,0,100,True,1
187906.29459195,2fjsjju821ti,Delilah,1,9gelp6,75,1961,2,0,0,100,True,1
187906.682537581,2fjsjju821ti,Delilah,1,9gelp6,77,24533,2,0,0,100,True,0
187907.387005354,2fjsjju821ti,Delilah,1,0w2jgu,17,43049,1,228,0,0,True,1
187907.396891809,2fjsjju821ti,Delilah,1,0w2jgu,37,60324,2,0,100,0,True,0
187908.094885895,2fjsjju821ti,Delilah,1,0w2jgu,12,56890,1,228,0,0,True,0
187908.847617331,2fjsjju821ti,Delilah,1,0w2jgu,62,53316,1,228,0,0,True,1
187909.570188284,2fjsjju821ti,Delilah,1,9gelp6,18,46736,1,0,0,228,True,0
187910.284054258,2fjsjju821ti,Delilah,1,0w2jgu,56,8769,1,228,0,0,True,0
187911.033633342,2fjsjju821ti,Delilah,1,0w2jgu,60,28501,1,228,0,0,True,0
187911.896658472,2fjsjju821ti,Delilah,2,0w2jgu,34,14568,1,228,0,0,True,0
187922.675989806,2fjsjju821ti,Delilah,3,0w2jgu,14,12308,1,228,0,0,True,1
187923.094559462,2fjsjju821ti,Delilah,3,9gelp6,6,1253,2,0,0,100,True,0
187923.825024244,2fjsjju821ti,Delilah,3,0w2jgu,44,37746,1,228,0,0,True,0
187924.56715921,2fjsjju821ti,Delilah,3,0w2jgu,76,62401,1,228,0,0,True,0
187925.321282889,2fjsjju821ti,Delilah,3,0w2jgu,77,5523,1,228,0,0,True,2
187926.027356221,2fjsjju821ti,Delilah,3,9gelp6,66,57890,1,0,0,228,True,2
187926.435197158,2fjsjju821ti,Delilah,3,9gelp6,30,15967,2,0,0,100,True,1
187926.854606665,2fjsjju821ti,Delilah,3,kb3cx7,12,46578,2,0,0,100,True,0
187927.58785547,2fjsjju821ti,Delilah,3,0w2jgu,49,59851,1,228,0,0,True,0
187928.308547369,2fjsjju821ti,Delilah,3,0w2jgu,71,13624,1,228,0,0,True,0
187929.05516799,2fjsjju821ti,Delilah,3,0w2jgu,59,3418,1,228,0,0,True,1
187929.068422631,2fjsjju821ti,Delilah,3,3xsw3i,23,5647,1,0,228,0,True,0
187929.476246746,2fjsjju821ti,Delilah,3,3xsw3i,23,5647,2,100,0,0,True,1
187929.483744015,2fjsjju821ti,Delilah,3,3xsw3i,74,18788,1,0,228,0,True,0
187929.886589322,2fjsjju821ti,Delilah,3,3xsw3i,74,18788,2,100,0,0,True,0
187930.644903596,2fjsjju821ti,Delilah,3,0w2jgu,39,15950,1,228,0,0,True,0
187931.412708743,2fjsjju821ti,Delilah,3,0w2jgu,5,56747,1,228,0,0,True,0
