t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187914.45352647,2wq4i08hcs62,Brande,2,t9grk3,40,21692,1,0,0,228,True,0
187916.020094359,2wq4i08hcs62,Brande,2,t9grk3,21,57520,1,0,0,228,True,0
187916.946819379,2wq4i08hcs62,Brande,2,t9grk3,21,57520,2,0,0,100,True,0
187918.296812991,2wq4i08hcs62,Brande,2,t9grk3,63,60378,1,0,0,228,True,1
187919.055529304,2wq4i08hcs62,Brande,2,t9grk3,71,17930,1,0,0,228,True,1
187919.431739884,2wq4i08hcs62,Brande,2,t9grk3,63,60378,2,0,0,100,True,0
187926.480707452,2wq4i08hcs62,Brande,3,t9grk3,54,45705,1,0,0,228,True,0
187927.914711034,2wq4i08hcs62,Brande,3,xahvbd,76,23023,2,0,100,0,True,0
187930.360214159,2wq4i08hcs62,Brande,3,xahvbd,28,49339,2,0,100,0,True,0
187930.403319726,2wq4i08hcs62,Brande,3,xahvbd,13,6676,2,0,100,0,True,0
187932.071456269,2wq4i08hcs62,Brande,4,t9grk3,30,45327,2,0,0,100,True,0
187932.750735064,2wq4i08hcs62,Brande,4,xahvbd,39,51329,2,0,100,0,True,0
187934.40174312,2wq4i08hcs62,Brande,4,t9grk3,78,24642,2,0,0,100,True,0
187944.50874748,2wq4i08hcs62,Brande,5,t9grk3,39,46463,2,0,0,100,True,0
187946.73605279,2wq4i08hcs62,Brande,5,xahvbd,0,1177,2,0,100,0,True,0
187950.209110431,2wq4i08hcs62,Brande,5,t9grk3,47,31915,1,0,0,228,True,0
187950.448464357,2wq4i08hcs62,Brande,5,xahvbd,27,56731,2,0,100,0,True,0
187952.284909147,2wq4i08hcs62,Brande,6,xahvbd,64,12005,2,0,100,0,True,0
187953.901969843,2wq4i08hcs62,Brande,6,t9grk3,10,20280,1,0,0,228,True,1
187953.910383339,2wq4i08hcs62,Brande,6,xahvbd,8,46254,2,0,100,0,True,0
187958.041359685,2wq4i08hcs62,Brande,6,t9grk3,28,12501,1,0,0,228,True,0
187961.999239843,2wq4i08hcs62,Brande,7,t9grk3,48,11754,2,0,0,100,True,1
187962.779275348,2wq4i08hcs62,Brande,7,t9grk3,33,31135,1,0,0,228,True,0
187964.677573456,2wq4i08hcs62,Brande,7,t9grk3,0,31560,1,0,0,228,True,0
187965.8924606,2wq4i08hcs62,Brande,7,t9grk3,23,16452,2,0,0,100,True,0
187967.462733641,2wq4i08hcs62,Brande,7,t9grk3,16,17012,2,0,0,100,True,0
187968.391744229,2wq4i08hcs62,Brande,7,t9grk3,53,65338,1,0,0,228,True,0
187971.063746748,2wq4i08hcs62,Brande,7,xahvbd,59,14844,2,0,100,0,True,0
