t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187899.110731552,5xphk15e5c42,Brian,0,kb3cx7,35,21069,1,0,0,228,True,1
187899.81639222,5xphk15e5c42,Brian,0,xspwu2,33,47972,1,0,0,228,True,1
187900.651677312,5xphk15e5c42,Brian,0,zn5lx9,21,64818,1,0,0,228,True,1
187901.62493377,5xphk15e5c42,Brian,1,t9grk3,9,57772,1,0,0,228,True,2
187902.449523077,5xphk15e5c42,Brian,1,zn5lx9,60,21978,1,0,0,228,True,2
187902.880232158,5xphk15e5c42,Brian,1,3xsw3i,22,11839,2,0,0,100,True,2
187903.369060849,5xphk15e5c42,Brian,1,t9grk3,9,57772,2,0,0,100,True,1
187904.101668051,5xphk15e5c42,Brian,1,xspwu2,62,32506,1,0,0,228,True,1
187904.540705178,5xphk15e5c42,Brian,1,t9grk3,70,25082,2,0,0,100,True,0
187905.714611593,5xphk15e5c42,Brian,1,xspwu2,57,46289,1,0,0,228,True,0
187906.592073323,5xphk15e5c42,Brian,1,3xsw3i,15,39937,1,0,0,228,True,2
187906.990811585,5xphk15e5c42,Brian,1,zn5lx9,56,65216,2,0,0,100,True,1
187907.404433616,5xphk15e5c42,Brian,1,3xsw3i,27,50049,2,0,0,100,True,0
187908.433623986,5xphk15e5c42,Brian,1,t9grk3,76,36516,1,0,0,228,True,0
187924.986103119,5xphk15e5c42,Brian,3,xspwu2,11,29046,2,0,0,100,True,0
187926.487825107,5xphk15e5c42,Brian,3,zn5lx9,78,22739,1,0,0,228,True,0
187927.244075282,5xphk15e5c42,Brian,3,zn5lx9,34,29523,1,0,0,228,True,0
187928.501956513,5xphk15e5c42,Brian,3,t9grk3,12,35376,2,0,0,100,True,0
187929.670635169,5xphk15e5c42,Brian,3,3xsw3i,7,55581,2,0,0,100,True,1
187930.081220441,5xphk15e5c42,Brian,3,t9grk3,41,62639,2,0,0,100,True,1
187930.495729607,5xphk15e5c42,Brian,3,3xsw3i,74,18788,2,0,0,100,True,1
187931.25264027,5xphk15e5c42,Brian,3,zn5lx9,51,33738,1,0,0,228,True,1
187931.721490811,5xphk15e5c42,Brian,3,t9grk3,25,14257,2,0,0,100,True,0
187933.377725207,5xphk15e5c42,Brian,4,zn5lx9,34,29523,2,0,0,100,True,0
187935.127767179,5xphk15e5c42,Brian,4,3xsw3i,5,35672,1,0,0,228,True,1
187935.562014541,5xphk15e5c42,Brian,4,3xsw3i,65,58788,2,0,0,100,True,0
187936.406906424,5xphk15e5c42,Brian,4,zn5lx9,77,2696,2,0,0,100,True,1
187936.848091698,5xphk15e5c42,Brian,4,3xsw3i,30,15338,2,0,0,100,True,0
187937.696929018,5xphk15e5c42,Brian,4,kb3cx7,39,33832,1,0,0,228,True,0
187938.44831255,5xphk15e5c42,Brian,4,3xsw3i,56,60085,2,0,0,100,True,0
187939.424067861,5xphk15e5c42,Brian,4,3xsw3i,4,22850,2,0,0,100,True,0
187940.234896269,5xphk15e5c42,Brian,4,kb3cx7,22,47290,1,0,0,228,True,1
187940.979230811,5xphk15e5c42,Brian,4,3xsw3i,58,6678,1,0,0,228,True,3
187941.389136278,5xphk15e5c42,Brian,4,3xsw3i,62,5210,2,0,0,100,True,2
187941.859568821,5xphk15e5c42,Brian,4,zn5lx9,43,4923,2,0,0,100,True,3
187942.344223935,5xphk15e5c42,Brian,5,3xsw3i,47,25690,2,0,0,100,True,2
187942.758874655,5xphk15e5c42,Brian,5,3xsw3i,58,6678,2,0,0,100,True,1
187943.484197668,5xphk15e5c42,Brian,5,kb3cx7,33,56498,1,0,0,228,True,0
187944.360690056,5xphk15e5c42,Brian,5,3xsw3i,8,24746,1,0,0,228,True,1
187945.132904928,5xphk15e5c42,Brian,5,xspwu2,41,30117,1,0,0,228,True,2
187945.863106249,5xphk15e5c42,Brian,5,zn5lx9,4,10416,1,0,0,228,True,1
187946.275099739,5xphk15e5c42,Brian,5,3xsw3i,8,24746,2,0,0,100,True,1
187947.017850365,5xphk15e5c42,Brian,5,xspwu2,17,34184,1,0,0,228,True,0
187947.91933887,5xphk15e5c42,Brian,5,zn5lx9,39,59358,1,0,0,228,True,1
187948.363375201,5xphk15e5c42,Brian,5,zn5lx9,52,38791,2,0,0,100,True,1
187948.774763191,5xphk15e5c42,Brian,5,kb3cx7,33,56498,2,0,0,100,True,1
187949.170417884,5xphk15e5c42,Brian,5,kb3cx7,75,430,2,0,0,100,True,0
187950.364279962,5xphk15e5c42,Brian,5,xspwu2,8,44025,1,0,0,228,True,2
187950.783250374,5xphk15e5c42,Brian,5,zn5lx9,55,59067,2,0,0,100,True,2
187951.29355028,5xphk15e5c42,Brian,5,3xsw3i,29,50036,2,0,0,100,True,2
187952.142994547,5xphk15e5c42,Brian,6,3xsw3i,34,6354,1,0,0,228,True,1
187952.955617041,5xphk15e5c42,Brian,6,t9grk3,67,47032,1,0,0,228,True,1
187953.33850881,5xphk15e5c42,Brian,6,t9grk3,47,31915,2,0,0,100,True,1
187953.807134184,5xphk15e5c42,Brian,6,zn5lx9,39,59358,2,0,0,100,True,0
187954.927666879,5xphk15e5c42,Brian,6,t9grk3,19,4242,1,0,0,228,True,1
187955.662198277,5xphk15e5c42,Brian,6,t9grk3,3,21612,1,0,0,228,True,0
187956.336050393,5xphk15e5c42,Brian,6,t9grk3,10,20280,2,0,0,100,True,1
187956.734985506,5xphk15e5c42,Brian,6,3xsw3i,52,18028,2,0,0,100,True,0
187957.450824035,5xphk15e5c42,Brian,6,xspwu2,56,27007,2,0,0,100,True,1
187957.83793371,5xphk15e5c42,Brian,6,xspwu2,53,48732,2,0,0,100,True,0
187958.274655483,5xphk15e5c42,Brian,6,t9grk3,3,21612,2,0,0,100,True,1
187958.663890009,5xphk15e5c42,Brian,6,zn5lx9,61,58378,2,0,0,100,True,0
187959.84594932,5xphk15e5c42,Brian,6,t9grk3,48,11754,1,0,0,228,True,0
187960.360883157,5xphk15e5c42,Brian,6,3xsw3i,25,40651,2,0,0,100,True,0
187962.25895639,5xphk15e5c42,Brian,7,zn5lx9,44,15428,1,0,0,228,True,0
187963.778765431,5xphk15e5c42,Brian,7,xspwu2,42,34727,1,0,0,228,True,2
187964.511726845,5xphk15e5c42,Brian,7,zn5lx9,1,64430,1,0,0,228,True,1
187965.233412563,5xphk15e5c42,Brian,7,t9grk3,16,17012,1,0,0,228,True,2
187965.986412175,5xphk15e5c42,Brian,7,zn5lx9,2,16973,1,0,0,228,True,1
187966.393936207,5xphk15e5c42,Brian,7,3xsw3i,33,6227,2,0,0,100,True,1
187966.829949294,5xphk15e5c42,Brian,7,3xsw3i,40,27677,2,0,0,100,True,1
187967.206475511,5xphk15e5c42,Brian,7,3xsw3i,50,11310,2,0,0,100,True,0
187968.268762283,5xphk15e5c42,Brian,7,zn5lx9,79,12726,1,0,0,228,True,2
187968.702394704,5xphk15e5c42,Brian,7,xspwu2,42,34727,2,0,0,100,True,1
187969.099265208,5xphk15e5c42,Brian,7,3xsw3i,68,47887,2,0,0,100,True,0
187969.954087978,5xphk15e5c42,Brian,7,xspwu2,28,48094,2,0,0,100,True,2
187970.353180041,5xphk15e5c42,Brian,7,t9grk3,53,65338,2,0,0,100,True,3
187970.771783479,5xphk15e5c42,Brian,7,3xsw3i,39,49864,2,0,0,100,True,3
187971.536711867,5xphk15e5c42,Brian,7,t9grk3,52,3617,1,0,0,228,True,2
187972.002815993,5xphk15e5c42,Brian,7,3xsw3i,69,21031,2,0,0,100,True,2
187972.752272138,5xphk15e5c42,Brian,8,kb3cx7,7,2130,1,0,0,228,True,2
187982.925282145,5xphk15e5c42,Brian,9,3xsw3i,63,31911,1,0,0,228,True,1
