t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187904.831027908,82l3dwh3m044,Maxwell,1,614z9c,47,59647,2,0,100,0,True,0
187920.005689283,82l3dwh3m044,Maxwell,2,614z9c,22,60343,2,0,100,0,True,0
187920.475648921,82l3dwh3m044,Maxwell,2,614z9c,31,63311,2,0,100,0,True,0
187922.64967616,82l3dwh3m044,Maxwell,3,614z9c,65,19922,2,0,100,0,True,0
187934.27315526,82l3dwh3m044,Maxwell,4,614z9c,27,42139,2,0,100,0,True,0
187944.398509672,82l3dwh3m044,Maxwell,5,614z9c,15,40235,2,0,100,0,True,0
187960.337965069,82l3dwh3m044,Maxwell,6,614z9c,77,25330,2,0,100,0,True,0
187973.549087949,82l3dwh3m044,Maxwell,8,614z9c,30,25156,2,0,100,0,True,0
187973.575473273,82l3dwh3m044,Maxwell,8,614z9c,59,53009,2,0,100,0,True,0
187978.333859343,82l3dwh3m044,Maxwell,8,614z9c,18,38449,2,0,100,0,True,0
188016.096508514,82l3dwh3m044,Maxwell,12,614z9c,23,12383,2,0,100,0,True,0
188017.463670442,82l3dwh3m044,Maxwell,12,614z9c,49,44419,2,0,100,0,True,0
188054.646871708,82l3dwh3m044,Maxwell,16,614z9c,14,62955,2,0,100,0,True,0
188055.649907251,82l3dwh3m044,Maxwell,16,614z9c,19,12095,2,0,100,0,True,0
188058.073408642,82l3dwh3m044,Maxwell,16,614z9c,11,14629,2,0,100,0,True,0
188058.512526203,82l3dwh3m044,Maxwell,16,614z9c,63,3591,2,0,100,0,True,0
188059.944614455,82l3dwh3m044,Maxwell,16,614z9c,71,45402,2,0,100,0,True,0
188074.365808518,82l3dwh3m044,Maxwell,18,614z9c,28,57805,2,0,100,0,True,0
188074.960413739,82l3dwh3m044,Maxwell,18,614z9c,68,31102,2,0,100,0,True,0
188075.389244197,82l3dwh3m044,Maxwell,18,614z9c,44,47787,2,0,100,0,True,0
188077.669970506,82l3dwh3m044,Maxwell,18,614z9c,33,7922,2,0,100,0,True,0
188078.494549371,82l3dwh3m044,Maxwell,18,614z9c,70,12189,2,0,100,0,True,0
188078.972279857,82l3dwh3m044,Maxwell,18,614z9c,73,35644,2,0,100,0,True,0
188083.883191653,82l3dwh3m044,Maxwell,19,614z9c,34,49925,2,0,100,0,True,0
188102.999285023,82l3dwh3m044,Maxwell,21,614z9c,50,7870,2,0,100,0,True,0
188109.782726143,82l3dwh3m044,Maxwell,21,614z9c,37,7148,2,0,100,0,True,0
