t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187901.677054924,clvi4zprvjaj,Hassie,1,zn5lx9,29,37496,1,0,0,228,True,2
187912.386933194,clvi4zprvjaj,Hassie,2,614z9c,75,22630,1,0,0,228,True,2
187913.089129412,clvi4zprvjaj,Hassie,2,zn5lx9,21,64818,1,0,0,228,True,1
187913.502672758,clvi4zprvjaj,Hassie,2,zn5lx9,29,37496,2,0,0,100,True,0
187913.94818291,clvi4zprvjaj,Hassie,2,zn5lx9,21,64818,2,0,0,100,True,1
187914.692094102,clvi4zprvjaj,Hassie,2,614z9c,22,60343,1,0,0,228,True,0
187915.468321927,clvi4zprvjaj,Hassie,2,zn5lx9,49,61139,2,0,0,100,True,0
187917.593855856,clvi4zprvjaj,Hassie,2,614z9c,27,42139,1,0,0,228,True,0
187918.995596553,clvi4zprvjaj,Hassie,2,zn5lx9,15,11531,1,0,0,228,True,0
187919.988106953,clvi4zprvjaj,Hassie,2,614z9c,22,60343,2,0,0,100,True,0
187922.010987577,clvi4zprvjaj,Hassie,3,zn5lx9,27,60084,1,0,0,228,True,0
187923.454694199,clvi4zprvjaj,Hassie,3,zn5lx9,27,60084,2,0,0,100,True,0
187924.732215661,clvi4zprvjaj,Hassie,3,zn5lx9,69,29853,2,0,0,100,True,0
187925.661057454,clvi4zprvjaj,Hassie,3,zn5lx9,58,17560,1,0,0,228,True,0
187926.53350258,clvi4zprvjaj,Hassie,3,zn5lx9,58,17560,2,0,0,100,True,1
187927.296963674,clvi4zprvjaj,Hassie,3,zn5lx9,9,12858,1,0,0,228,True,1
187927.806302413,clvi4zprvjaj,Hassie,3,614z9c,5,8452,2,0,0,100,True,0
187929.179252928,clvi4zprvjaj,Hassie,3,zn5lx9,34,29523,1,0,0,228,True,0
187929.67815034,clvi4zprvjaj,Hassie,3,zn5lx9,78,22739,2,0,0,100,True,1
187930.395724836,clvi4zprvjaj,Hassie,3,zn5lx9,75,54664,1,0,0,228,True,2
187931.205731139,clvi4zprvjaj,Hassie,3,zn5lx9,53,63372,1,0,0,228,True,3
187932.022810186,clvi4zprvjaj,Hassie,4,614z9c,46,28785,1,0,0,228,True,3
187932.770297138,clvi4zprvjaj,Hassie,4,zn5lx9,77,2696,1,0,0,228,True,3
187933.173586936,clvi4zprvjaj,Hassie,4,zn5lx9,75,54664,2,0,0,100,True,2
187933.865052433,clvi4zprvjaj,Hassie,4,614z9c,15,40235,1,0,0,228,True,1
187934.263860196,clvi4zprvjaj,Hassie,4,614z9c,27,42139,2,0,0,100,True,1
187934.681907587,clvi4zprvjaj,Hassie,4,zn5lx9,26,43280,2,0,0,100,True,0
187935.266590878,clvi4zprvjaj,Hassie,4,zn5lx9,51,33738,2,0,0,100,True,0
187936.250306178,clvi4zprvjaj,Hassie,4,zn5lx9,64,62920,1,0,0,228,True,0
187941.894942465,clvi4zprvjaj,Hassie,5,zn5lx9,37,61672,1,0,0,228,True,0
187946.459195988,clvi4zprvjaj,Hassie,5,zn5lx9,55,59067,1,0,0,228,True,1
187946.854901463,clvi4zprvjaj,Hassie,5,614z9c,46,28785,2,0,0,100,True,0
187951.990460131,clvi4zprvjaj,Hassie,6,zn5lx9,5,8464,1,0,0,228,True,0
187953.513000693,clvi4zprvjaj,Hassie,6,zn5lx9,5,8464,2,0,0,100,True,0
187955.112241129,clvi4zprvjaj,Hassie,6,zn5lx9,36,35976,2,0,0,100,True,0
187957.64013569,clvi4zprvjaj,Hassie,6,zn5lx9,25,20178,1,0,0,228,True,0
187959.907270273,clvi4zprvjaj,Hassie,6,zn5lx9,57,6543,1,0,0,228,True,0
187962.950733675,clvi4zprvjaj,Hassie,7,614z9c,67,23690,1,0,0,228,True,0
187964.175987949,clvi4zprvjaj,Hassie,7,zn5lx9,8,50310,2,0,0,100,True,0
187966.199315146,clvi4zprvjaj,Hassie,7,zn5lx9,1,64430,1,0,0,228,True,0
187968.256783935,clvi4zprvjaj,Hassie,7,614z9c,30,25156,1,0,0,228,True,0
187968.974476881,clvi4zprvjaj,Hassie,7,614z9c,57,34416,2,0,0,100,True,0
187972.012351589,clvi4zprvjaj,Hassie,8,zn5lx9,79,12726,2,0,0,100,True,0
187983.313519624,clvi4zprvjaj,Hassie,9,614z9c,52,10541,1,0,0,228,True,2
187984.037401265,clvi4zprvjaj,Hassie,9,zn5lx9,0,60472,1,0,0,228,True,1
187984.792104234,clvi4zprvjaj,Hassie,9,zn5lx9,12,31632,1,0,0,228,True,0
187986.935461118,clvi4zprvjaj,Hassie,9,zn5lx9,48,25342,2,0,0,100,True,1
187987.626578437,clvi4zprvjaj,Hassie,9,zn5lx9,16,36454,1,0,0,228,True,2
187988.053572677,clvi4zprvjaj,Hassie,9,zn5lx9,35,31248,2,0,0,100,True,1
187988.785933443,clvi4zprvjaj,Hassie,9,zn5lx9,33,22899,1,0,0,228,True,0
187992.821571129,clvi4zprvjaj,Hassie,10,zn5lx9,18,40930,1,0,0,228,True,2
187993.591188817,clvi4zprvjaj,Hassie,10,zn5lx9,20,26763,1,0,0,228,True,1
187993.968380168,clvi4zprvjaj,Hassie,10,zn5lx9,23,52240,2,0,0,100,True,1
187994.377315223,clvi4zprvjaj,Hassie,10,614z9c,20,59124,2,0,0,100,True,1
187994.807288709,clvi4zprvjaj,Hassie,10,zn5lx9,28,60808,2,0,0,100,True,0
187995.579791793,clvi4zprvjaj,Hassie,10,zn5lx9,20,26763,2,0,0,100,True,0
187996.781375645,clvi4zprvjaj,Hassie,10,zn5lx9,11,42907,1,0,0,228,True,0
188000.765628694,clvi4zprvjaj,Hassie,10,zn5lx9,66,24938,1,0,0,228,True,2
188001.517320084,clvi4zprvjaj,Hassie,10,zn5lx9,47,49392,1,0,0,228,True,1
188002.271870143,clvi4zprvjaj,Hassie,11,zn5lx9,42,33969,1,0,0,228,True,0
188003.393919607,clvi4zprvjaj,Hassie,11,zn5lx9,42,33969,2,0,0,100,True,0
