t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187927.992487992,eu13k6dwpelq,Daniel,3,3xsw3i,64,11890,2,0,100,0,True,0
187932.612053828,eu13k6dwpelq,Daniel,4,3xsw3i,73,46433,2,0,100,0,True,0
187938.964997536,eu13k6dwpelq,Daniel,4,3xsw3i,18,14691,2,0,100,0,True,0
187951.395468226,eu13k6dwpelq,Daniel,5,3xsw3i,37,16233,2,0,100,0,True,0
187963.813261577,eu13k6dwpelq,Daniel,7,3xsw3i,47,25690,2,0,100,0,True,0
187966.090566715,eu13k6dwpelq,Daniel,7,3xsw3i,24,29832,2,0,100,0,True,0
187968.431526056,eu13k6dwpelq,Daniel,7,3xsw3i,17,32543,2,0,100,0,True,0
187992.043498418,eu13k6dwpelq,Daniel,9,3xsw3i,63,6685,2,0,100,0,True,0
188008.593967422,eu13k6dwpelq,Daniel,11,3xsw3i,33,34563,2,0,100,0,True,0
188011.60990609,eu13k6dwpelq,Daniel,11,3xsw3i,50,62959,2,0,100,0,True,0
188011.949804756,eu13k6dwpelq,Daniel,11,3xsw3i,53,49924,2,0,100,0,True,0
188053.197367876,eu13k6dwpelq,Daniel,16,3xsw3i,36,53393,2,0,100,0,True,0
188056.89728784,eu13k6dwpelq,Daniel,16,3xsw3i,36,6599,2,0,100,0,True,0
188061.747564181,eu13k6dwpelq,Daniel,16,3xsw3i,48,25848,2,0,100,0,True,0
188130.00130094,eu13k6dwpelq,Daniel,23,3xsw3i,59,13625,2,0,100,0,True,0
