t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187898.313229745,gg4jqqypywvz,Lavette,0,zn5lx9,29,37496,1,228,0,0,True,0
187899.142319496,gg4jqqypywvz,Lavette,0,zn5lx9,21,64818,1,228,0,0,True,0
187900.000620139,gg4jqqypywvz,Lavette,0,zn5lx9,56,65216,1,228,0,0,True,0
187900.856460476,gg4jqqypywvz,Lavette,0,zn5lx9,60,21978,1,228,0,0,True,0
187901.836411361,gg4jqqypywvz,Lavette,1,zn5lx9,30,29099,1,228,0,0,True,1
187911.873448559,gg4jqqypywvz,Lavette,2,zn5lx9,49,61139,1,228,0,0,True,1
187912.660067209,gg4jqqypywvz,Lavette,2,t9grk3,7,2082,1,0,0,228,True,0
187913.410040208,gg4jqqypywvz,Lavette,2,zn5lx9,27,60084,1,228,0,0,True,0
187914.149647301,gg4jqqypywvz,Lavette,2,zn5lx9,58,17560,1,228,0,0,True,0
187914.887200002,gg4jqqypywvz,Lavette,2,zn5lx9,15,11531,1,228,0,0,True,2
187915.299247894,gg4jqqypywvz,Lavette,2,t9grk3,11,51307,2,0,0,100,True,1
187916.045608231,gg4jqqypywvz,Lavette,2,t9grk3,63,60378,1,0,0,228,True,0
187916.832639639,gg4jqqypywvz,Lavette,2,zn5lx9,9,12858,1,228,0,0,True,1
187917.242251344,gg4jqqypywvz,Lavette,2,t9grk3,13,63537,2,0,0,100,True,0
187917.967904346,gg4jqqypywvz,Lavette,2,zn5lx9,70,57629,1,228,0,0,True,1
187918.756159503,gg4jqqypywvz,Lavette,2,t9grk3,78,24642,1,0,0,228,True,0
187919.576612754,gg4jqqypywvz,Lavette,2,zn5lx9,77,2696,1,228,0,0,True,0
187920.286250765,gg4jqqypywvz,Lavette,2,zn5lx9,67,42561,1,228,0,0,True,1
187920.740480031,gg4jqqypywvz,Lavette,2,t9grk3,63,60378,2,0,0,100,True,0
187921.476658392,gg4jqqypywvz,Lavette,3,zn5lx9,69,29853,1,228,0,0,True,3
187921.99535058,gg4jqqypywvz,Lavette,3,t9grk3,71,17930,2,0,0,100,True,2
187922.710304797,gg4jqqypywvz,Lavette,3,t9grk3,77,19256,1,0,0,228,True,2
187922.718133044,gg4jqqypywvz,Lavette,3,zn5lx9,15,11531,2,0,100,0,True,1
187923.483080846,gg4jqqypywvz,Lavette,3,t9grk3,12,35376,1,0,0,228,True,1
187923.49061193,gg4jqqypywvz,Lavette,3,zn5lx9,70,57629,2,0,100,0,True,0
