t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187898.331600718,gxy09urrfzdy,Annabel,0,t9grk3,9,57772,1,228,0,0,True,0
187899.156528073,gxy09urrfzdy,Annabel,0,t9grk3,70,25082,1,228,0,0,True,0
187900.015250485,gxy09urrfzdy,Annabel,0,t9grk3,24,9494,1,228,0,0,True,1
187900.724783822,gxy09urrfzdy,Annabel,0,3xsw3i,1,23529,1,0,0,228,True,0
187901.70688265,gxy09urrfzdy,Annabel,1,t9grk3,7,2082,1,228,0,0,True,0
187902.498320381,gxy09urrfzdy,Annabel,1,t9grk3,38,6171,1,228,0,0,True,0
187903.345618224,gxy09urrfzdy,Annabel,1,t9grk3,20,59241,1,228,0,0,True,2
187903.782314303,gxy09urrfzdy,Annabel,1,3xsw3i,22,11839,2,0,0,100,True,1
187904.23964357,gxy09urrfzdy,Annabel,1,3xsw3i,1,23529,2,0,0,100,True,1
187904.698412802,gxy09urrfzdy,Annabel,1,kb3cx7,77,59357,2,0,0,100,True,0
187905.507567316,gxy09urrfzdy,Annabel,1,t9grk3,76,36516,1,228,0,0,True,0
187906.285943479,gxy09urrfzdy,Annabel,1,t9grk3,55,54963,1,228,0,0,True,1
187906.984045045,gxy09urrfzdy,Annabel,1,xspwu2,27,31427,1,0,0,228,True,0
187907.75387285,gxy09urrfzdy,Annabel,1,t9grk3,13,63537,1,228,0,0,True,3
187908.478837014,gxy09urrfzdy,Annabel,1,3xsw3i,76,32,1,0,0,228,True,2
187908.87951374,gxy09urrfzdy,Annabel,1,3xsw3i,27,50049,2,0,0,100,True,1
187909.306366089,gxy09urrfzdy,Annabel,1,3xsw3i,15,39937,2,0,0,100,True,0
187910.073115299,gxy09urrfzdy,Annabel,1,t9grk3,11,51307,1,228,0,0,True,1
187910.816033396,gxy09urrfzdy,Annabel,1,xspwu2,31,64214,1,0,0,228,True,1
187911.275957038,gxy09urrfzdy,Annabel,2,3xsw3i,76,32,2,0,0,100,True,0
187912.194751224,gxy09urrfzdy,Annabel,2,t9grk3,40,21692,1,228,0,0,True,1
187912.594732566,gxy09urrfzdy,Annabel,2,3xsw3i,13,30900,2,0,0,100,True,0
187913.344314941,gxy09urrfzdy,Annabel,2,t9grk3,21,57520,1,228,0,0,True,1
187914.082528051,gxy09urrfzdy,Annabel,2,3xsw3i,54,63338,1,0,0,228,True,0
187914.819802024,gxy09urrfzdy,Annabel,2,t9grk3,63,60378,1,228,0,0,True,1
187915.523685739,gxy09urrfzdy,Annabel,2,3xsw3i,64,11890,1,0,0,228,True,0
187916.272093104,gxy09urrfzdy,Annabel,2,t9grk3,71,17930,1,228,0,0,True,1
187916.713912029,gxy09urrfzdy,Annabel,2,3xsw3i,54,63338,2,0,0,100,True,1
187917.19346347,gxy09urrfzdy,Annabel,2,xspwu2,3,879,2,0,0,100,True,0
