t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187900.078248985,h7k9x60e3giu,Annelle,0,9gelp6,29,43943,2,0,0,100,True,0
187903.146940952,h7k9x60e3giu,Annelle,1,9gelp6,67,30393,2,0,0,100,True,0
187904.14649618,h7k9x60e3giu,Annelle,1,8j33id,3,38578,1,0,0,228,True,0
187904.354015911,h7k9x60e3giu,Annelle,1,9gelp6,62,8729,1,0,228,0,True,0
187904.863426907,h7k9x60e3giu,Annelle,1,9gelp6,62,8729,2,100,0,0,True,1
187904.871015441,h7k9x60e3giu,Annelle,1,9gelp6,75,1961,1,0,228,0,True,0
187905.27828684,h7k9x60e3giu,Annelle,1,9gelp6,75,1961,2,100,0,0,True,0
187908.600571107,h7k9x60e3giu,Annelle,1,9gelp6,63,32163,1,0,228,0,True,0
187909.0402682,h7k9x60e3giu,Annelle,1,9gelp6,63,32163,2,100,0,0,True,1
187909.46781729,h7k9x60e3giu,Annelle,1,9gelp6,63,32163,2,0,0,100,True,0
187910.869555334,h7k9x60e3giu,Annelle,1,9gelp6,51,54416,1,0,228,0,True,0
187911.38458895,h7k9x60e3giu,Annelle,1,9gelp6,51,54416,2,100,0,0,True,1
187911.993923168,h7k9x60e3giu,Annelle,2,9gelp6,51,54416,2,0,0,100,True,0
187921.934441765,h7k9x60e3giu,Annelle,3,9gelp6,6,1253,1,0,228,0,True,0
187922.337583901,h7k9x60e3giu,Annelle,3,9gelp6,6,1253,2,100,0,0,True,0
187926.038833026,h7k9x60e3giu,Annelle,3,9gelp6,66,57890,1,0,228,0,True,0
187926.446137926,h7k9x60e3giu,Annelle,3,9gelp6,66,57890,2,100,0,0,True,0
187928.660850105,h7k9x60e3giu,Annelle,3,8j33id,1,4408,1,0,0,228,True,1
187929.096847172,h7k9x60e3giu,Annelle,3,8j33id,4,41243,2,0,0,100,True,0
187929.575114321,h7k9x60e3giu,Annelle,3,8j33id,1,4408,2,0,0,100,True,0
187931.480253111,h7k9x60e3giu,Annelle,3,8j33id,30,25917,1,0,0,228,True,0
187943.569737954,h7k9x60e3giu,Annelle,5,9gelp6,43,33857,2,0,0,100,True,0
187947.165816024,h7k9x60e3giu,Annelle,5,9gelp6,79,45170,1,0,228,0,True,0
187947.561413809,h7k9x60e3giu,Annelle,5,9gelp6,79,45170,2,100,0,0,True,1
187948.023534657,h7k9x60e3giu,Annelle,5,9gelp6,79,45170,2,0,0,100,True,0
187950.002932642,h7k9x60e3giu,Annelle,5,8j33id,9,48036,2,0,0,100,True,1
187950.707012954,h7k9x60e3giu,Annelle,5,8j33id,29,9532,1,0,0,228,True,0
187952.971558173,h7k9x60e3giu,Annelle,6,8j33id,67,6234,1,0,0,228,True,0
188005.982820425,h7k9x60e3giu,Annelle,11,8j33id,34,8506,1,0,0,228,True,0
188010.488733413,h7k9x60e3giu,Annelle,11,8j33id,14,8793,2,0,0,100,True,0
188054.137603087,h7k9x60e3giu,Annelle,16,9gelp6,15,33842,1,0,228,0,True,0
188054.513135809,h7k9x60e3giu,Annelle,16,9gelp6,15,33842,2,100,0,0,True,1
188054.971127535,h7k9x60e3giu,Annelle,16,9gelp6,15,33842,2,0,0,100,True,0
188057.987620948,h7k9x60e3giu,Annelle,16,9gelp6,10,46743,2,0,0,100,True,0
188059.278801117,h7k9x60e3giu,Annelle,16,9gelp6,54,35535,2,0,0,100,True,0
188061.055852482,h7k9x60e3giu,Annelle,16,9gelp6,52,15193,2,0,0,100,True,0
188062.986802646,h7k9x60e3giu,Annelle,17,9gelp6,45,64780,2,0,0,100,True,0
188064.217527611,h7k9x60e3giu,Annelle,17,9gelp6,42,53690,1,0,228,0,True,0
188064.588793081,h7k9x60e3giu,Annelle,17,9gelp6,42,53690,2,100,0,0,True,0
188065.626952703,h7k9x60e3giu,Annelle,17,9gelp6,71,29777,1,0,228,0,True,0
188066.000673197,h7k9x60e3giu,Annelle,17,9gelp6,71,29777,2,100,0,0,True,0
188069.454864621,h7k9x60e3giu,Annelle,17,9gelp6,3,48919,2,0,0,100,True,0
188085.518569625,h7k9x60e3giu,Annelle,19,9gelp6,19,35743,2,0,0,100,True,0
188104.699820662,h7k9x60e3giu,Annelle,21,8j33id,41,14273,2,0,0,100,True,0
188106.510422942,h7k9x60e3giu,Annelle,21,8j33id,31,8300,1,0,0,228,True,2
188107.235270491,h7k9x60e3giu,Annelle,21,8j33id,42,13103,1,0,0,228,True,1
188107.616638083,h7k9x60e3giu,Annelle,21,8j33id,39,36817,2,0,0,100,True,0
188115.486051366,h7k9x60e3giu,Annelle,22,8j33id,42,65103,2,0,0,100,True,0
188116.011712766,h7k9x60e3giu,Annelle,22,8j33id,75,32686,2,0,0,100,True,0
188127.550251266,h7k9x60e3giu,Annelle,23,8j33id,17,11231,1,0,0,228,True,0
188128.35723978,h7k9x60e3giu,Annelle,23,8j33id,17,11231,2,0,0,100,True,0
188129.440069824,h7k9x60e3giu,Annelle,23,8j33id,79,58297,1,0,0,228,True,0
188130.291145107,h7k9x60e3giu,Annelle,23,8j33id,79,58297,2,0,0,100,True,1
188130.989985651,h7k9x60e3giu,Annelle,23,8j33id,72,48727,1,0,0,228,True,1
188131.362953959,h7k9x60e3giu,Annelle,23,8j33id,3,3511,2,0,0,100,True,0
188131.806973118,h7k9x60e3giu,Annelle,23,8j33id,72,48727,2,0,0,100,True,1
188132.192394846,h7k9x60e3giu,Annelle,23,8j33id,17,19979,2,0,0,100,True,0
