t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187905.39297083,js6zuv51glno,Delilah,1,xspwu2,69,38266,2,0,100,0,True,0
187906.212570862,js6zuv51glno,Delilah,1,xspwu2,33,47972,2,0,100,0,True,0
187914.199417931,js6zuv51glno,Delilah,2,3xsw3i,78,20265,1,0,228,0,True,0
187914.581421327,js6zuv51glno,Delilah,2,3xsw3i,78,20265,2,100,0,0,True,0
187917.393914964,js6zuv51glno,Delilah,2,0w2jgu,34,14568,2,0,100,0,True,0
187918.271625391,js6zuv51glno,Delilah,2,3xsw3i,72,33249,1,0,228,0,True,0
187918.822396502,js6zuv51glno,Delilah,2,3xsw3i,72,33249,2,100,0,0,True,0
187920.023582349,js6zuv51glno,Delilah,2,3xsw3i,41,64194,1,0,228,0,True,0
187920.453903009,js6zuv51glno,Delilah,2,3xsw3i,41,64194,2,100,0,0,True,0
187928.880340975,js6zuv51glno,Delilah,3,3xsw3i,7,55581,1,0,228,0,True,0
187929.287858025,js6zuv51glno,Delilah,3,3xsw3i,7,55581,2,100,0,0,True,0
187936.039907243,js6zuv51glno,Delilah,4,0w2jgu,5,56747,2,0,100,0,True,0
187947.434033064,js6zuv51glno,Delilah,5,3xsw3i,42,24251,1,0,228,0,True,0
187947.856620041,js6zuv51glno,Delilah,5,3xsw3i,42,24251,2,100,0,0,True,0
187948.616980217,js6zuv51glno,Delilah,5,0w2jgu,29,3093,2,0,100,0,True,0
187949.704905146,js6zuv51glno,Delilah,5,3xsw3i,29,50036,1,0,228,0,True,0
187950.099334339,js6zuv51glno,Delilah,5,3xsw3i,29,50036,2,100,0,0,True,0
188014.135316897,js6zuv51glno,Delilah,12,xspwu2,65,48760,2,0,100,0,True,0
188015.982949404,js6zuv51glno,Delilah,12,3xsw3i,77,60014,1,0,228,0,True,0
188016.4568011,js6zuv51glno,Delilah,12,3xsw3i,77,60014,2,100,0,0,True,0
188021.713004667,js6zuv51glno,Delilah,12,3xsw3i,59,8779,1,0,228,0,True,0
188022.200110146,js6zuv51glno,Delilah,12,3xsw3i,59,8779,2,100,0,0,True,0
188026.47822346,js6zuv51glno,Delilah,13,0w2jgu,38,54475,2,0,100,0,True,0
188065.61162953,js6zuv51glno,Delilah,17,0w2jgu,27,30530,2,0,100,0,True,0
188067.264234104,js6zuv51glno,Delilah,17,3xsw3i,36,53672,1,0,228,0,True,0
188067.633717918,js6zuv51glno,Delilah,17,3xsw3i,36,53672,2,100,0,0,True,0
188068.29040301,js6zuv51glno,Delilah,17,xspwu2,43,15290,2,0,100,0,True,0
188069.758659645,js6zuv51glno,Delilah,17,xspwu2,9,4091,2,0,100,0,True,0
188071.952110964,js6zuv51glno,Delilah,17,3xsw3i,59,47342,1,0,228,0,True,0
188072.404384338,js6zuv51glno,Delilah,17,3xsw3i,59,47342,2,100,0,0,True,0
188086.90554229,js6zuv51glno,Delilah,19,3xsw3i,59,28380,1,0,228,0,True,0
188087.293958382,js6zuv51glno,Delilah,19,3xsw3i,59,28380,2,100,0,0,True,0
188091.502866083,js6zuv51glno,Delilah,19,xspwu2,14,49340,2,0,100,0,True,0
188098.2337081,js6zuv51glno,Delilah,20,xspwu2,7,60253,2,0,100,0,True,0
188122.550162881,js6zuv51glno,Delilah,22,xspwu2,4,12341,2,0,100,0,True,0
