t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187899.102174425,ncmu13bdj2yq,Daniel,0,t9grk3,9,57772,1,0,0,228,True,0
187904.131742208,ncmu13bdj2yq,Daniel,1,t9grk3,20,59241,1,0,0,228,True,0
187927.950483219,ncmu13bdj2yq,Daniel,3,t9grk3,77,19256,2,0,0,100,True,0
187928.370056619,ncmu13bdj2yq,Daniel,3,3xsw3i,19,36286,2,0,100,0,True,0
187930.062019926,ncmu13bdj2yq,Daniel,3,t9grk3,39,46463,1,0,0,228,True,1
187930.466454614,ncmu13bdj2yq,Daniel,3,t9grk3,12,35376,2,0,0,100,True,0
187933.023041713,ncmu13bdj2yq,Daniel,4,t9grk3,25,14257,2,0,0,100,True,0
187935.418048882,ncmu13bdj2yq,Daniel,4,t9grk3,38,6171,2,0,0,100,True,0
187937.259697793,ncmu13bdj2yq,Daniel,4,t9grk3,76,36516,2,0,0,100,True,1
187937.2683439,ncmu13bdj2yq,Daniel,4,3xsw3i,26,59969,2,0,100,0,True,0
187952.654658648,ncmu13bdj2yq,Daniel,6,t9grk3,16,17012,1,0,0,228,True,1
187952.66258731,ncmu13bdj2yq,Daniel,6,3xsw3i,51,13054,2,0,100,0,True,0
187956.581155296,ncmu13bdj2yq,Daniel,6,3xsw3i,34,6354,2,0,100,0,True,0
187959.179765895,ncmu13bdj2yq,Daniel,6,t9grk3,3,21612,2,0,0,100,True,0
187959.414625365,ncmu13bdj2yq,Daniel,6,3xsw3i,56,60085,2,0,100,0,True,0
187959.625026521,ncmu13bdj2yq,Daniel,6,3xsw3i,70,43963,2,0,100,0,True,0
187960.685969615,ncmu13bdj2yq,Daniel,6,t9grk3,33,31135,1,0,0,228,True,0
187960.998223623,ncmu13bdj2yq,Daniel,6,3xsw3i,16,15807,2,0,100,0,True,0
187962.287434876,ncmu13bdj2yq,Daniel,7,t9grk3,0,31560,1,0,0,228,True,0
187962.525000294,ncmu13bdj2yq,Daniel,7,3xsw3i,3,45109,2,0,100,0,True,1
187962.910862423,ncmu13bdj2yq,Daniel,7,t9grk3,48,11754,2,0,0,100,True,0
187964.23849444,ncmu13bdj2yq,Daniel,7,t9grk3,29,37668,1,0,0,228,True,0
187970.305255746,ncmu13bdj2yq,Daniel,7,t9grk3,29,37668,2,0,0,100,True,0
187971.337268169,ncmu13bdj2yq,Daniel,7,t9grk3,79,50729,1,0,0,228,True,0
187972.879578475,ncmu13bdj2yq,Daniel,8,t9grk3,1,12735,1,0,0,228,True,0
187976.453365873,ncmu13bdj2yq,Daniel,8,3xsw3i,43,41842,2,0,100,0,True,0
187983.280988616,ncmu13bdj2yq,Daniel,9,t9grk3,18,48200,1,0,0,228,True,0
187984.11256483,ncmu13bdj2yq,Daniel,9,3xsw3i,39,54617,2,0,100,0,True,0
187985.637449749,ncmu13bdj2yq,Daniel,9,t9grk3,60,46272,1,0,0,228,True,0
187986.517836241,ncmu13bdj2yq,Daniel,9,t9grk3,19,4242,2,0,0,100,True,1
187987.242198454,ncmu13bdj2yq,Daniel,9,t9grk3,50,38324,1,0,0,228,True,0
187988.792427906,ncmu13bdj2yq,Daniel,9,t9grk3,6,35505,1,0,0,228,True,0
187989.872617914,ncmu13bdj2yq,Daniel,9,t9grk3,42,47781,1,0,0,228,True,2
187989.887698932,ncmu13bdj2yq,Daniel,9,3xsw3i,75,60861,2,0,100,0,True,1
187990.288400992,ncmu13bdj2yq,Daniel,9,t9grk3,45,48309,2,0,0,100,True,0
187991.430561193,ncmu13bdj2yq,Daniel,9,t9grk3,50,38324,2,0,0,100,True,1
187992.226939814,ncmu13bdj2yq,Daniel,10,t9grk3,73,51162,1,0,0,228,True,0
187994.38442037,ncmu13bdj2yq,Daniel,10,t9grk3,6,35505,2,0,0,100,True,1
187994.392280011,ncmu13bdj2yq,Daniel,10,3xsw3i,2,29708,2,0,100,0,True,0
187995.634587495,ncmu13bdj2yq,Daniel,10,t9grk3,59,14078,1,0,0,228,True,0
187996.597385795,ncmu13bdj2yq,Daniel,10,3xsw3i,71,65437,2,0,100,0,True,0
187999.584628833,ncmu13bdj2yq,Daniel,10,t9grk3,44,56609,1,0,0,228,True,0
188004.628233346,ncmu13bdj2yq,Daniel,11,t9grk3,66,5431,1,0,0,228,True,0
188006.092161352,ncmu13bdj2yq,Daniel,11,t9grk3,27,7044,1,0,0,228,True,0
188012.471807573,ncmu13bdj2yq,Daniel,12,t9grk3,1,12735,2,0,0,100,True,0
188013.012777813,ncmu13bdj2yq,Daniel,12,3xsw3i,0,38303,2,0,100,0,True,0
188017.420197771,ncmu13bdj2yq,Daniel,12,3xsw3i,6,23005,2,0,100,0,True,0
188019.389638647,ncmu13bdj2yq,Daniel,12,3xsw3i,36,15026,2,0,100,0,True,0
188024.418854637,ncmu13bdj2yq,Daniel,13,3xsw3i,10,40540,2,0,100,0,True,0
188026.294551211,ncmu13bdj2yq,Daniel,13,3xsw3i,48,29468,2,0,100,0,True,0
188033.148685868,ncmu13bdj2yq,Daniel,14,t9grk3,60,46272,2,0,0,100,True,0
188038.902823543,ncmu13bdj2yq,Daniel,14,3xsw3i,59,18198,2,0,100,0,True,0
188041.383017923,ncmu13bdj2yq,Daniel,14,3xsw3i,71,62698,2,0,100,0,True,0
188043.85718141,ncmu13bdj2yq,Daniel,15,t9grk3,72,6581,2,0,0,100,True,0
188047.983704729,ncmu13bdj2yq,Daniel,15,t9grk3,32,47392,1,0,0,228,True,0
188052.41532572,ncmu13bdj2yq,Daniel,15,t9grk3,37,39326,1,0,0,228,True,0
188055.334135079,ncmu13bdj2yq,Daniel,16,t9grk3,56,34298,1,0,0,228,True,0
188055.812060311,ncmu13bdj2yq,Daniel,16,t9grk3,51,46299,2,0,0,100,True,0
188058.467177201,ncmu13bdj2yq,Daniel,16,3xsw3i,59,32151,2,0,100,0,True,0
188063.230981869,ncmu13bdj2yq,Daniel,17,t9grk3,15,33362,1,0,0,228,True,0
188064.663722588,ncmu13bdj2yq,Daniel,17,t9grk3,46,2912,1,0,0,228,True,0
188066.207453523,ncmu13bdj2yq,Daniel,17,t9grk3,49,54767,1,0,0,228,True,0
188068.369997994,ncmu13bdj2yq,Daniel,17,t9grk3,8,49444,2,0,0,100,True,0
188072.45258061,ncmu13bdj2yq,Daniel,17,t9grk3,49,54767,2,0,0,100,True,0
188075.11759268,ncmu13bdj2yq,Daniel,18,3xsw3i,59,47342,2,0,100,0,True,0
188077.291319485,ncmu13bdj2yq,Daniel,18,t9grk3,65,45793,2,0,0,100,True,1
188077.298537226,ncmu13bdj2yq,Daniel,18,3xsw3i,59,18008,2,0,100,0,True,0
188078.158540045,ncmu13bdj2yq,Daniel,18,t9grk3,37,25136,2,0,0,100,True,1
188078.543324315,ncmu13bdj2yq,Daniel,18,t9grk3,17,4656,2,0,0,100,True,0
188081.315529378,ncmu13bdj2yq,Daniel,18,t9grk3,32,52846,1,0,0,228,True,0
188086.1917879,ncmu13bdj2yq,Daniel,19,t9grk3,22,42454,2,0,0,100,True,0
188088.845709106,ncmu13bdj2yq,Daniel,19,t9grk3,56,47183,2,0,0,100,True,1
188089.552698795,ncmu13bdj2yq,Daniel,19,t9grk3,56,61905,1,0,0,228,True,1
188089.561058517,ncmu13bdj2yq,Daniel,19,3xsw3i,59,56683,2,0,100,0,True,0
188094.022672897,ncmu13bdj2yq,Daniel,20,3xsw3i,59,47063,2,0,100,0,True,0
188095.57800524,ncmu13bdj2yq,Daniel,20,t9grk3,4,22496,1,0,0,228,True,0
188098.962834592,ncmu13bdj2yq,Daniel,20,t9grk3,4,11499,1,0,0,228,True,0
188101.582513453,ncmu13bdj2yq,Daniel,20,3xsw3i,2,53849,2,0,100,0,True,0
188119.162218357,ncmu13bdj2yq,Daniel,22,t9grk3,22,51543,2,0,0,100,True,0
188125.482463068,ncmu13bdj2yq,Daniel,23,3xsw3i,36,53672,2,0,100,0,True,0
188134.077370689,ncmu13bdj2yq,Daniel,24,t9grk3,4,16754,2,0,0,100,True,0
188146.844820444,ncmu13bdj2yq,Daniel,25,t9grk3,4,54959,2,0,0,100,True,0
