t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187898.353280368,nnyhe8621060,Maurita,0,8j33id,17,55091,1,228,0,0,True,0
187899.177999436,nnyhe8621060,Maurita,0,8j33id,54,26205,1,228,0,0,True,0
187900.029981488,nnyhe8621060,Maurita,0,8j33id,22,7153,1,228,0,0,True,0
187900.878268954,nnyhe8621060,Maurita,0,8j33id,3,38578,1,228,0,0,True,0
187901.857260638,nnyhe8621060,Maurita,1,8j33id,53,48282,1,228,0,0,True,0
187922.586999263,nnyhe8621060,Maurita,3,8j33id,16,44334,1,228,0,0,True,0
187923.351028411,nnyhe8621060,Maurita,3,8j33id,68,31511,1,228,0,0,True,0
187924.114789443,nnyhe8621060,Maurita,3,8j33id,4,41243,1,228,0,0,True,0
187924.852791189,nnyhe8621060,Maurita,3,8j33id,76,54282,1,228,0,0,True,1
187925.58910477,nnyhe8621060,Maurita,3,0w2jgu,76,62401,1,0,0,228,True,0
187926.347584556,nnyhe8621060,Maurita,3,8j33id,1,4408,1,228,0,0,True,0
187927.083087497,nnyhe8621060,Maurita,3,8j33id,47,56499,1,228,0,0,True,0
187927.868815269,nnyhe8621060,Maurita,3,8j33id,27,22869,1,228,0,0,True,0
187928.680196031,nnyhe8621060,Maurita,3,8j33id,30,25917,1,228,0,0,True,1
187929.120064551,nnyhe8621060,Maurita,3,0w2jgu,76,62401,2,0,0,100,True,2
187929.541445772,nnyhe8621060,Maurita,3,0w2jgu,44,37746,2,0,0,100,True,1
187930.285623701,nnyhe8621060,Maurita,3,0w2jgu,59,3418,1,0,0,228,True,1
187930.293431405,nnyhe8621060,Maurita,3,8j33id,16,44334,2,0,100,0,True,0
187931.038912974,nnyhe8621060,Maurita,3,8j33id,5,9189,1,228,0,0,True,4
187931.850441115,nnyhe8621060,Maurita,4,0w2jgu,49,59851,1,0,0,228,True,5
187942.540476728,nnyhe8621060,Maurita,5,8j33id,71,47035,1,228,0,0,True,6
187943.289660074,nnyhe8621060,Maurita,5,0w2jgu,39,15950,1,0,0,228,True,6
187943.305723116,nnyhe8621060,Maurita,5,8j33id,1,4408,2,0,100,0,True,5
187943.317866706,nnyhe8621060,Maurita,5,8j33id,4,41243,2,0,100,0,True,4
187943.325592805,nnyhe8621060,Maurita,5,8j33id,68,31511,2,0,100,0,True,3
187943.337484171,nnyhe8621060,Maurita,5,8j33id,47,56499,2,0,100,0,True,2
187944.054967767,nnyhe8621060,Maurita,5,0w2jgu,78,37672,1,0,0,228,True,1
187944.466138808,nnyhe8621060,Maurita,5,0w2jgu,65,5890,2,0,0,100,True,0
187945.207847468,nnyhe8621060,Maurita,5,8j33id,9,48036,1,228,0,0,True,0
187945.964916649,nnyhe8621060,Maurita,5,8j33id,18,50492,1,228,0,0,True,0
187946.697517907,nnyhe8621060,Maurita,5,8j33id,12,1739,1,228,0,0,True,0
187947.475596,nnyhe8621060,Maurita,5,8j33id,69,41512,1,228,0,0,True,0
187948.191420541,nnyhe8621060,Maurita,5,8j33id,29,9532,1,228,0,0,True,1
187948.585387665,nnyhe8621060,Maurita,5,0w2jgu,29,3093,2,0,0,100,True,0
187949.385202591,nnyhe8621060,Maurita,5,8j33id,51,12134,1,228,0,0,True,0
187950.142247846,nnyhe8621060,Maurita,5,8j33id,67,6234,1,228,0,0,True,0
187950.904513832,nnyhe8621060,Maurita,5,8j33id,7,41645,1,228,0,0,True,0
187951.660895947,nnyhe8621060,Maurita,5,8j33id,52,25500,1,228,0,0,True,1
187951.667893782,nnyhe8621060,Maurita,5,8j33id,9,48036,2,0,100,0,True,0
187952.477820963,nnyhe8621060,Maurita,6,8j33id,38,49982,1,228,0,0,True,0
187992.830305607,nnyhe8621060,Maurita,10,8j33id,35,48049,1,228,0,0,True,1
187993.59855829,nnyhe8621060,Maurita,10,0w2jgu,40,9559,1,0,0,228,True,0
187994.303532788,nnyhe8621060,Maurita,10,8j33id,8,38096,1,228,0,0,True,0
187995.038476813,nnyhe8621060,Maurita,10,8j33id,25,6242,1,228,0,0,True,1
187995.429515066,nnyhe8621060,Maurita,10,0w2jgu,40,9559,2,0,0,100,True,0
187996.156384521,nnyhe8621060,Maurita,10,8j33id,40,348,1,228,0,0,True,0
187996.879013772,nnyhe8621060,Maurita,10,8j33id,6,26504,1,228,0,0,True,0
187997.604163804,nnyhe8621060,Maurita,10,8j33id,73,9570,1,228,0,0,True,0
187998.316176451,nnyhe8621060,Maurita,10,8j33id,45,49871,1,228,0,0,True,0
187999.024479026,nnyhe8621060,Maurita,10,8j33id,77,49037,1,228,0,0,True,0
187999.773845819,nnyhe8621060,Maurita,10,8j33id,64,46805,1,228,0,0,True,0
188000.527185559,nnyhe8621060,Maurita,10,8j33id,46,38611,1,228,0,0,True,0
188001.254869583,nnyhe8621060,Maurita,10,8j33id,48,22459,1,228,0,0,True,0
188002.058044833,nnyhe8621060,Maurita,10,8j33id,60,53062,1,228,0,0,True,0
188002.891635034,nnyhe8621060,Maurita,11,8j33id,34,8506,1,228,0,0,True,1
188002.898663682,nnyhe8621060,Maurita,11,8j33id,40,348,2,0,100,0,True,0
188003.661507303,nnyhe8621060,Maurita,11,8j33id,74,38046,1,228,0,0,True,0
188004.407177517,nnyhe8621060,Maurita,11,8j33id,44,6374,1,228,0,0,True,0
188005.147081306,nnyhe8621060,Maurita,11,8j33id,14,8793,1,228,0,0,True,2
188005.880058125,nnyhe8621060,Maurita,11,0w2jgu,0,59510,1,0,0,228,True,2
188006.613793003,nnyhe8621060,Maurita,11,0w2jgu,16,33548,1,0,0,228,True,2
188007.325010417,nnyhe8621060,Maurita,11,0w2jgu,3,14826,1,0,0,228,True,4
188008.042597525,nnyhe8621060,Maurita,11,0w2jgu,72,29257,1,0,0,228,True,5
188008.775383506,nnyhe8621060,Maurita,11,0w2jgu,61,13545,1,0,0,228,True,5
188009.497737262,nnyhe8621060,Maurita,11,0w2jgu,30,2450,1,0,0,228,True,5
188009.954704066,nnyhe8621060,Maurita,11,0w2jgu,16,33548,2,0,0,100,True,5
188009.96493674,nnyhe8621060,Maurita,11,8j33id,46,38611,2,0,100,0,True,4
188010.391013625,nnyhe8621060,Maurita,11,0w2jgu,3,14826,2,0,0,100,True,3
188010.838221183,nnyhe8621060,Maurita,11,0w2jgu,72,29257,2,0,0,100,True,2
188011.256794059,nnyhe8621060,Maurita,11,0w2jgu,33,30393,2,0,0,100,True,1
188011.264631282,nnyhe8621060,Maurita,11,8j33id,34,8506,2,0,100,0,True,0
188012.135738185,nnyhe8621060,Maurita,11,8j33id,24,63600,1,228,0,0,True,4
188012.143004671,nnyhe8621060,Maurita,11,8j33id,14,8793,2,0,100,0,True,3
188012.656521656,nnyhe8621060,Maurita,12,0w2jgu,61,13545,2,0,0,100,True,2
188022.964661268,nnyhe8621060,Maurita,13,8j33id,61,60317,1,228,0,0,True,2
188023.349600826,nnyhe8621060,Maurita,13,0w2jgu,72,29257,2,0,0,100,True,1
188023.750382422,nnyhe8621060,Maurita,13,0w2jgu,30,2450,2,0,0,100,True,0
188024.564648425,nnyhe8621060,Maurita,13,8j33id,72,61186,1,228,0,0,True,1
188024.977706352,nnyhe8621060,Maurita,13,0w2jgu,35,2383,2,0,0,100,True,0
188025.689447648,nnyhe8621060,Maurita,13,8j33id,56,39410,1,228,0,0,True,1
188026.088526566,nnyhe8621060,Maurita,13,0w2jgu,25,13464,2,0,0,100,True,1
188026.469206646,nnyhe8621060,Maurita,13,0w2jgu,38,54475,2,0,0,100,True,0
188027.18418922,nnyhe8621060,Maurita,13,8j33id,79,1475,1,228,0,0,True,0
188027.893067243,nnyhe8621060,Maurita,13,8j33id,66,35876,1,228,0,0,True,0
188028.609902348,nnyhe8621060,Maurita,13,8j33id,58,19391,1,228,0,0,True,0
188029.334112273,nnyhe8621060,Maurita,13,8j33id,75,32143,1,228,0,0,True,0
188030.082393295,nnyhe8621060,Maurita,13,8j33id,50,41848,1,228,0,0,True,0
188030.8281994,nnyhe8621060,Maurita,13,8j33id,15,28852,1,228,0,0,True,0
188031.545088372,nnyhe8621060,Maurita,13,8j33id,65,52136,1,228,0,0,True,0
188032.333872945,nnyhe8621060,Maurita,14,8j33id,19,24847,1,228,0,0,True,0
188033.131874448,nnyhe8621060,Maurita,14,8j33id,10,56298,1,228,0,0,True,0
188033.897952991,nnyhe8621060,Maurita,14,8j33id,28,5631,1,228,0,0,True,0
188034.631919267,nnyhe8621060,Maurita,14,8j33id,0,12769,1,228,0,0,True,0
188035.391437923,nnyhe8621060,Maurita,14,8j33id,37,10450,1,228,0,0,True,0
188036.137886208,nnyhe8621060,Maurita,14,8j33id,2,20261,1,228,0,0,True,0
188036.897246761,nnyhe8621060,Maurita,14,8j33id,32,33056,1,228,0,0,True,1
188037.305313951,nnyhe8621060,Maurita,14,0w2jgu,27,59506,2,0,0,100,True,0
188038.050986973,nnyhe8621060,Maurita,14,8j33id,13,11418,1,228,0,0,True,4
188038.502896037,nnyhe8621060,Maurita,14,0w2jgu,46,11374,2,0,0,100,True,6
188038.510277116,nnyhe8621060,Maurita,14,8j33id,65,52136,2,0,100,0,True,5
188038.923497077,nnyhe8621060,Maurita,14,0w2jgu,58,54373,2,0,0,100,True,5
188039.293655669,nnyhe8621060,Maurita,14,0w2jgu,27,59506,2,0,0,100,True,5
188040.060918759,nnyhe8621060,Maurita,14,0w2jgu,58,37145,1,0,0,228,True,6
188040.071208633,nnyhe8621060,Maurita,14,8j33id,15,28852,2,0,100,0,True,5
188040.081726261,nnyhe8621060,Maurita,14,8j33id,19,24847,2,0,100,0,True,4
188040.090174351,nnyhe8621060,Maurita,14,8j33id,10,56298,2,0,100,0,True,3
188040.098008865,nnyhe8621060,Maurita,14,8j33id,0,12769,2,0,100,0,True,2
188040.47612044,nnyhe8621060,Maurita,14,0w2jgu,58,54373,2,0,0,100,True,2
188040.487125739,nnyhe8621060,Maurita,14,8j33id,28,5631,2,0,100,0,True,1
188041.200759813,nnyhe8621060,Maurita,14,0w2jgu,58,52843,1,0,0,228,True,1
188041.938479757,nnyhe8621060,Maurita,14,0w2jgu,58,25653,1,0,0,228,True,2
188041.949096825,nnyhe8621060,Maurita,14,8j33id,37,10450,2,0,100,0,True,1
188041.95842031,nnyhe8621060,Maurita,14,8j33id,2,20261,2,0,100,0,True,0
