t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187899.913912881,q21amcobe2zh,Brande,0,0w2jgu,15,41781,1,0,0,228,True,0
187900.827418268,q21amcobe2zh,Brande,0,8j33id,54,26205,1,0,0,228,True,0
187901.829505622,q21amcobe2zh,Brande,1,0w2jgu,22,34482,1,0,0,228,True,1
187902.57195927,q21amcobe2zh,Brande,1,0w2jgu,45,22378,1,0,0,228,True,0
187903.085989628,q21amcobe2zh,Brande,1,8j33id,17,55091,2,0,0,100,True,0
187903.968091164,q21amcobe2zh,Brande,1,0w2jgu,15,41781,2,0,0,100,True,0
187905.375679934,q21amcobe2zh,Brande,1,8j33id,54,26205,2,0,0,100,True,1
187905.781395871,q21amcobe2zh,Brande,1,8j33id,3,38578,2,0,0,100,True,1
187906.515320023,q21amcobe2zh,Brande,1,0w2jgu,75,46746,1,0,0,228,True,1
187906.924951282,q21amcobe2zh,Brande,1,8j33id,22,7153,2,0,0,100,True,1
187907.358783203,q21amcobe2zh,Brande,1,0w2jgu,37,60324,2,0,0,100,True,1
187908.038678904,q21amcobe2zh,Brande,1,0w2jgu,75,46746,1,0,0,228,True,0
187908.831862022,q21amcobe2zh,Brande,1,0w2jgu,12,56890,1,0,0,228,True,0
187910.921982911,q21amcobe2zh,Brande,1,0w2jgu,62,53316,2,0,0,100,True,0
187911.881906518,q21amcobe2zh,Brande,2,0w2jgu,60,28501,1,0,0,228,True,2
187911.888536589,q21amcobe2zh,Brande,2,xahvbd,16,60287,2,0,100,0,True,1
187912.287237435,q21amcobe2zh,Brande,2,0w2jgu,75,46746,2,0,0,100,True,0
187914.411826186,q21amcobe2zh,Brande,2,0w2jgu,60,28501,2,0,0,100,True,0
187923.428579049,q21amcobe2zh,Brande,3,0w2jgu,14,12308,1,0,0,228,True,1
187924.170306162,q21amcobe2zh,Brande,3,8j33id,16,44334,1,0,0,228,True,0
187924.896501846,q21amcobe2zh,Brande,3,8j33id,68,31511,1,0,0,228,True,0
187926.340522861,q21amcobe2zh,Brande,3,8j33id,76,54282,1,0,0,228,True,0
187927.852564054,q21amcobe2zh,Brande,3,8j33id,1,4408,1,0,0,228,True,1
187928.610210911,q21amcobe2zh,Brande,3,0w2jgu,49,59851,1,0,0,228,True,0
187930.532993177,q21amcobe2zh,Brande,3,8j33id,68,31511,2,0,0,100,True,0
187931.061262482,q21amcobe2zh,Brande,3,8j33id,47,56499,2,0,0,100,True,0
187932.162011011,q21amcobe2zh,Brande,4,0w2jgu,5,56747,1,0,0,228,True,4
187932.560659719,q21amcobe2zh,Brande,4,0w2jgu,71,13624,2,0,0,100,True,4
187932.56778611,q21amcobe2zh,Brande,4,xahvbd,23,3141,2,0,100,0,True,3
187932.972382903,q21amcobe2zh,Brande,4,8j33id,76,54282,2,0,0,100,True,4
187933.69944481,q21amcobe2zh,Brande,4,8j33id,5,9189,1,0,0,228,True,4
187934.107763693,q21amcobe2zh,Brande,4,0w2jgu,49,59851,2,0,0,100,True,3
187934.816731344,q21amcobe2zh,Brande,4,0w2jgu,52,15487,1,0,0,228,True,2
187935.24014075,q21amcobe2zh,Brande,4,8j33id,27,22869,2,0,0,100,True,1
187935.62994162,q21amcobe2zh,Brande,4,0w2jgu,71,13624,2,0,0,100,True,1
187936.323494684,q21amcobe2zh,Brande,4,0w2jgu,26,4739,1,0,0,228,True,0
187938.193655067,q21amcobe2zh,Brande,4,0w2jgu,4,20317,1,0,0,228,True,1
187938.594176514,q21amcobe2zh,Brande,4,0w2jgu,52,15487,2,0,0,100,True,0
187939.447706265,q21amcobe2zh,Brande,4,xahvbd,67,52549,2,0,100,0,True,0
187939.67403077,q21amcobe2zh,Brande,4,kb3cx7,39,33832,1,0,228,0,True,0
187940.104646208,q21amcobe2zh,Brande,4,kb3cx7,39,33832,2,100,0,0,True,0
187941.055094996,q21amcobe2zh,Brande,4,0w2jgu,57,7095,2,0,0,100,True,0
187941.985291306,q21amcobe2zh,Brande,5,0w2jgu,29,3093,2,0,0,100,True,0
