t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187898.346915652,wrqhdszm1k8c,Maxwell,0,614z9c,47,59647,1,228,0,0,True,0
187899.170871955,wrqhdszm1k8c,Maxwell,0,614z9c,60,30977,1,228,0,0,True,0
187900.022520085,wrqhdszm1k8c,Maxwell,0,614z9c,17,65276,1,228,0,0,True,0
187900.870816319,wrqhdszm1k8c,Maxwell,0,614z9c,75,22630,1,228,0,0,True,0
187901.850219958,wrqhdszm1k8c,Maxwell,1,614z9c,35,21107,1,228,0,0,True,0
187912.376872435,wrqhdszm1k8c,Maxwell,2,614z9c,4,33373,1,228,0,0,True,0
187913.159570096,wrqhdszm1k8c,Maxwell,2,614z9c,65,19922,1,228,0,0,True,0
187913.896665995,wrqhdszm1k8c,Maxwell,2,614z9c,22,60343,1,228,0,0,True,1
187914.614133031,wrqhdszm1k8c,Maxwell,2,9gelp6,16,9022,1,0,0,228,True,0
187915.334645613,wrqhdszm1k8c,Maxwell,2,614z9c,31,63311,1,228,0,0,True,1
187916.076267361,wrqhdszm1k8c,Maxwell,2,xahvbd,40,18419,1,0,0,228,True,0
187916.844096464,wrqhdszm1k8c,Maxwell,2,614z9c,27,42139,1,228,0,0,True,0
187917.618199184,wrqhdszm1k8c,Maxwell,2,614z9c,0,25698,1,228,0,0,True,3
187918.065160021,wrqhdszm1k8c,Maxwell,2,xahvbd,43,5537,2,0,0,100,True,4
187918.072562443,wrqhdszm1k8c,Maxwell,2,614z9c,75,22630,2,0,100,0,True,3
187918.484446878,wrqhdszm1k8c,Maxwell,2,9gelp6,25,36090,2,0,0,100,True,2
187919.189924236,wrqhdszm1k8c,Maxwell,2,9gelp6,12,19540,1,0,0,228,True,1
187919.946813096,wrqhdszm1k8c,Maxwell,2,xahvbd,74,62907,1,0,0,228,True,2
187920.384825446,wrqhdszm1k8c,Maxwell,2,xahvbd,35,4991,2,0,0,100,True,2
187921.120626224,wrqhdszm1k8c,Maxwell,2,xahvbd,26,19488,1,0,0,228,True,1
187922.001709918,wrqhdszm1k8c,Maxwell,3,xahvbd,20,8955,1,0,0,228,True,0
187922.773950053,wrqhdszm1k8c,Maxwell,3,614z9c,5,8452,1,228,0,0,True,2
187922.781116326,wrqhdszm1k8c,Maxwell,3,614z9c,35,21107,2,0,100,0,True,1
