t,user,current_round
187891.267707567,Maurita,0
187901.419163152,Maurita,1
187911.611547248,Maurita,2
187921.688845867,Maurita,3
187931.729060383,Maurita,4
187941.755115981,Maurita,5
187951.794656736,Maurita,6
187961.808370891,Maurita,7
187971.844067658,Maurita,8
187981.899426868,Maurita,9
187991.968727555,Maurita,10
188002.06616984,Maurita,11
188012.167803013,Maurita,12
188022.211146098,Maurita,13
188032.234537775,Maurita,14
188042.272215826,Maurita,15
188052.28731377,Maurita,16
188062.306347855,Maurita,17
188072.327332287,Maurita,18
188082.354047729,Maurita,19
188092.369078341,Maurita,20
188102.422108827,Maurita,21
188112.4429563,Maurita,22
188122.467491713,Maurita,23
188132.498416418,Maurita,24
188142.519808132,Maurita,25
188152.521826441,Maurita,26
188162.531957875,Maurita,27
188172.536558738,Maurita,28
188182.547899551,Maurita,29
188192.548572212,Maurita,30
188202.549931549,Maurita,31
188212.563282223,Maurita,32
188222.574584316,Maurita,33
188232.576845332,Maurita,34
188242.589197727,Maurita,35
188252.596271193,Maurita,36
188262.605486577,Maurita,37
188272.623266543,Maurita,38
188282.638737128,Maurita,39
188292.654428203,Maurita,40
188302.665985763,Maurita,41
188312.673793209,Maurita,42
188322.681232062,Maurita,43
188332.691484773,Maurita,44
188342.692073971,Maurita,45
188352.706218106,Maurita,46
188362.714693504,Maurita,47
188372.722864315,Maurita,48
188382.736842189,Maurita,49
188392.775131079,Maurita,50
188402.781305089,Maurita,51
188412.786771014,Maurita,52
188422.787358068,Maurita,53
188432.793399567,Maurita,54
188442.802720801,Maurita,55
188452.827317986,Maurita,56
188462.835826317,Maurita,57
188472.837569167,Maurita,58
188482.866137052,Maurita,59
