t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187902.876919962,05sv0zvswsz6,Delilah,1,58o1qr,76,13780,1,0,0,228,True,2
187903.348320202,05sv0zvswsz6,Delilah,1,5o6o0b,6,3388,2,0,0,100,True,1
187903.783883157,05sv0zvswsz6,Delilah,1,58o1qr,17,33608,2,0,0,100,True,0
187904.800046154,05sv0zvswsz6,Delilah,1,gk2nlx,45,23917,1,0,0,228,True,0
187905.655472229,05sv0zvswsz6,Delilah,1,gk2nlx,45,23917,2,0,0,100,True,0
187908.090228847,05sv0zvswsz6,Delilah,1,gk2nlx,7,5031,1,0,0,228,True,1
187908.471653084,05sv0zvswsz6,Delilah,1,58o1qr,63,34834,2,0,0,100,True,0
187908.970885058,05sv0zvswsz6,Delilah,1,gk2nlx,7,5031,2,0,0,100,True,1
187909.692035875,05sv0zvswsz6,Delilah,1,58o1qr,15,45047,1,0,0,228,True,0
187912.055377151,05sv0zvswsz6,Delilah,2,58o1qr,15,45047,2,0,0,100,True,1
187912.818551937,05sv0zvswsz6,Delilah,2,gk2nlx,29,650,1,0,0,228,True,0
187913.246814173,05sv0zvswsz6,Delilah,2,58o1qr,58,13248,2,0,0,100,True,0
187914.117617341,05sv0zvswsz6,Delilah,2,gk2nlx,1,60044,1,0,0,228,True,2
187914.855488951,05sv0zvswsz6,Delilah,2,gk2nlx,5,4874,1,0,0,228,True,2
187915.256915876,05sv0zvswsz6,Delilah,2,58o1qr,73,4784,2,0,0,100,True,1
187915.675753273,05sv0zvswsz6,Delilah,2,58o1qr,47,31193,2,0,0,100,True,0
187918.325491623,05sv0zvswsz6,Delilah,2,gk2nlx,71,11568,2,0,0,100,True,0
187921.860198492,05sv0zvswsz6,Delilah,3,gk2nlx,58,53993,2,0,0,100,True,0
187929.012629525,05sv0zvswsz6,Delilah,3,58o1qr,26,56439,1,0,0,228,True,0
187930.853357857,05sv0zvswsz6,Delilah,3,58o1qr,33,37297,1,0,0,228,True,1
187931.279051573,05sv0zvswsz6,Delilah,3,58o1qr,62,21261,2,0,0,100,True,0
187933.702231992,05sv0zvswsz6,Delilah,4,58o1qr,43,25490,2,0,0,100,True,0
187943.355877823,05sv0zvswsz6,Delilah,5,58o1qr,26,56439,2,0,0,100,True,0
187944.212754629,05sv0zvswsz6,Delilah,5,gk2nlx,73,52711,2,0,0,100,True,0
187946.122092261,05sv0zvswsz6,Delilah,5,58o1qr,1,12248,2,0,0,100,True,1
187946.819913685,05sv0zvswsz6,Delilah,5,58o1qr,27,29141,1,0,0,228,True,0
187948.368163492,05sv0zvswsz6,Delilah,5,58o1qr,55,46083,2,0,0,100,True,0
187949.467028553,05sv0zvswsz6,Delilah,5,58o1qr,8,6688,1,0,0,228,True,0
187949.903171796,05sv0zvswsz6,Delilah,5,58o1qr,27,29141,2,0,0,100,True,1
187950.283894559,05sv0zvswsz6,Delilah,5,58o1qr,32,35383,2,0,0,100,True,0
187952.951324199,05sv0zvswsz6,Delilah,6,58o1qr,66,9892,1,0,0,228,True,0
187954.986208205,05sv0zvswsz6,Delilah,6,58o1qr,66,9892,2,0,0,100,True,0
187956.693483446,05sv0zvswsz6,Delilah,6,58o1qr,50,17835,1,0,0,228,True,0
187957.761387649,05sv0zvswsz6,Delilah,6,58o1qr,40,33317,1,0,0,228,True,0
187959.006633171,05sv0zvswsz6,Delilah,6,58o1qr,10,48031,1,0,0,228,True,0
187960.115281109,05sv0zvswsz6,Delilah,6,58o1qr,44,6050,1,0,0,228,True,1
187960.831349456,05sv0zvswsz6,Delilah,6,58o1qr,74,60235,1,0,0,228,True,0
187963.003244477,05sv0zvswsz6,Delilah,7,58o1qr,70,39344,1,0,0,228,True,2
187963.740480263,05sv0zvswsz6,Delilah,7,58o1qr,69,14089,1,0,0,228,True,3
187964.153029831,05sv0zvswsz6,Delilah,7,58o1qr,10,48031,2,0,0,100,True,2
187964.594384112,05sv0zvswsz6,Delilah,7,58o1qr,56,35919,2,0,0,100,True,1
187965.02505256,05sv0zvswsz6,Delilah,7,58o1qr,74,60235,2,0,0,100,True,0
187966.75886911,05sv0zvswsz6,Delilah,7,58o1qr,57,30,1,0,0,228,True,0
187969.55152979,05sv0zvswsz6,Delilah,7,58o1qr,2,33841,2,0,0,100,True,1
187969.91607073,05sv0zvswsz6,Delilah,7,58o1qr,57,30,2,0,0,100,True,0
187974.031703632,05sv0zvswsz6,Delilah,8,58o1qr,35,52677,1,0,0,228,True,1
187974.421501389,05sv0zvswsz6,Delilah,8,58o1qr,49,46969,2,0,0,100,True,0
187976.604721197,05sv0zvswsz6,Delilah,8,58o1qr,35,52677,2,0,0,100,True,0
187977.692501404,05sv0zvswsz6,Delilah,8,58o1qr,13,16454,1,0,0,228,True,1
187978.41604235,05sv0zvswsz6,Delilah,8,58o1qr,21,35840,1,0,0,228,True,0
187979.909986511,05sv0zvswsz6,Delilah,8,58o1qr,30,22629,1,0,0,228,True,0
187981.524882617,05sv0zvswsz6,Delilah,8,58o1qr,78,30289,1,0,0,228,True,1
187982.025197325,05sv0zvswsz6,Delilah,9,58o1qr,13,16454,2,0,0,100,True,2
188002.060256561,05sv0zvswsz6,Delilah,11,58o1qr,30,22629,2,0,0,100,True,1
188002.812156612,05sv0zvswsz6,Delilah,11,gk2nlx,42,14426,1,0,0,228,True,0
188003.492382677,05sv0zvswsz6,Delilah,11,58o1qr,31,7054,2,0,0,100,True,1
188003.879162336,05sv0zvswsz6,Delilah,11,gk2nlx,42,14426,2,0,0,100,True,0
188007.632729873,05sv0zvswsz6,Delilah,11,gk2nlx,40,7560,1,0,0,228,True,0
188008.455105432,05sv0zvswsz6,Delilah,11,58o1qr,34,4771,1,0,0,228,True,2
188008.850453107,05sv0zvswsz6,Delilah,11,gk2nlx,40,7560,2,0,0,100,True,1
188009.244163898,05sv0zvswsz6,Delilah,11,58o1qr,18,30668,2,0,0,100,True,1
188009.628121463,05sv0zvswsz6,Delilah,11,58o1qr,23,32433,2,0,0,100,True,1
188010.034749836,05sv0zvswsz6,Delilah,11,58o1qr,67,7668,2,0,0,100,True,0
188013.568556052,05sv0zvswsz6,Delilah,12,58o1qr,16,18326,2,0,0,100,True,0
188014.348749506,05sv0zvswsz6,Delilah,12,58o1qr,67,7783,2,0,0,100,True,0
188016.609702794,05sv0zvswsz6,Delilah,12,58o1qr,78,7646,1,0,0,228,True,0
188059.676884043,05sv0zvswsz6,Delilah,16,gk2nlx,43,39228,1,0,0,228,True,0
188061.218443775,05sv0zvswsz6,Delilah,16,gk2nlx,30,9034,2,0,0,100,True,0
188069.023557856,05sv0zvswsz6,Delilah,17,gk2nlx,56,40043,1,0,0,228,True,0
188069.789764211,05sv0zvswsz6,Delilah,17,gk2nlx,56,40043,2,0,0,100,True,0
188072.38394625,05sv0zvswsz6,Delilah,18,gk2nlx,61,1118,2,0,0,100,True,0
188073.851752033,05sv0zvswsz6,Delilah,18,gk2nlx,32,10352,1,0,0,228,True,0
188079.319094269,05sv0zvswsz6,Delilah,18,5o6o0b,5,60555,1,0,228,0,True,0
188079.688440417,05sv0zvswsz6,Delilah,18,5o6o0b,5,60555,2,100,0,0,True,0
188081.102935075,05sv0zvswsz6,Delilah,18,5o6o0b,11,35819,1,0,228,0,True,0
188081.486936576,05sv0zvswsz6,Delilah,18,5o6o0b,11,35819,2,100,0,0,True,0
188083.277081688,05sv0zvswsz6,Delilah,19,5o6o0b,64,55247,1,0,228,0,True,0
188083.652358518,05sv0zvswsz6,Delilah,19,5o6o0b,64,55247,2,100,0,0,True,0
188089.392611373,05sv0zvswsz6,Delilah,19,5o6o0b,78,20059,2,0,0,100,True,0
188104.988826549,05sv0zvswsz6,Delilah,21,5o6o0b,8,783,2,0,0,100,True,0
188105.961760818,05sv0zvswsz6,Delilah,21,5o6o0b,79,37989,2,0,0,100,True,0
188108.379375844,05sv0zvswsz6,Delilah,21,5o6o0b,39,24388,1,0,228,0,True,0
188108.758000515,05sv0zvswsz6,Delilah,21,5o6o0b,39,24388,2,100,0,0,True,0
188109.908205438,05sv0zvswsz6,Delilah,21,5o6o0b,59,43297,2,0,0,100,True,0
188112.405475986,05sv0zvswsz6,Delilah,22,5o6o0b,65,38464,2,0,0,100,True,0
188114.131795336,05sv0zvswsz6,Delilah,22,5o6o0b,0,7587,1,0,228,0,True,0
