t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187902.669270753,110rnw6ixr11,Evelyne,1,18knvy,79,5081,1,0,228,0,True,0
187903.064608635,110rnw6ixr11,Evelyne,1,18knvy,79,5081,2,100,0,0,True,0
187903.136441411,110rnw6ixr11,Evelyne,1,5o6o0b,22,45766,2,0,100,0,True,0
187904.267756668,110rnw6ixr11,Evelyne,1,5o6o0b,6,3388,2,0,100,0,True,0
187905.45886627,110rnw6ixr11,Evelyne,1,18knvy,53,33233,1,0,228,0,True,0
187905.88779587,110rnw6ixr11,Evelyne,1,18knvy,53,33233,2,100,0,0,True,0
187909.829398611,110rnw6ixr11,Evelyne,1,18knvy,75,40745,1,0,228,0,True,0
187910.287622347,110rnw6ixr11,Evelyne,1,18knvy,75,40745,2,100,0,0,True,0
187923.487249705,110rnw6ixr11,Evelyne,3,18knvy,72,29962,1,0,228,0,True,0
187923.895062648,110rnw6ixr11,Evelyne,3,18knvy,72,29962,2,100,0,0,True,0
188031.474353911,110rnw6ixr11,Evelyne,14,18knvy,60,53254,1,0,228,0,True,0
188031.860385175,110rnw6ixr11,Evelyne,14,18knvy,60,53254,2,100,0,0,True,0
188036.058447613,110rnw6ixr11,Evelyne,14,5cl5st,65,59502,2,0,100,0,True,0
188055.284442487,110rnw6ixr11,Evelyne,16,5cl5st,39,28534,2,0,100,0,True,0
188086.957910911,110rnw6ixr11,Evelyne,19,vo0ntb,75,28847,2,0,100,0,True,0
188088.669494124,110rnw6ixr11,Evelyne,19,5o6o0b,4,63435,2,0,100,0,True,0
188090.520798417,110rnw6ixr11,Evelyne,19,vo0ntb,0,50174,2,0,100,0,True,1
188090.527960313,110rnw6ixr11,Evelyne,19,5o6o0b,51,20204,2,0,100,0,True,0
188090.8245347,110rnw6ixr11,Evelyne,19,5o6o0b,78,20059,2,0,100,0,True,0
188091.245565869,110rnw6ixr11,Evelyne,19,vo0ntb,59,13184,2,0,100,0,True,0
188176.325510068,110rnw6ixr11,Evelyne,28,5o6o0b,54,17074,2,0,100,0,True,0
