t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187953.706752781,266z5cp80svn,Elinor,6,58o1qr,66,9892,1,0,228,0,True,0
187954.109627749,266z5cp80svn,Elinor,6,58o1qr,66,9892,2,100,0,0,True,0
187964.916266003,266z5cp80svn,Elinor,7,58o1qr,69,14089,1,0,228,0,True,0
187965.341461505,266z5cp80svn,Elinor,7,58o1qr,69,14089,2,100,0,0,True,0
187981.904330757,266z5cp80svn,Elinor,9,58o1qr,23,31607,1,0,228,0,True,0
187982.425060519,266z5cp80svn,Elinor,9,58o1qr,23,31607,2,100,0,0,True,0
187985.707276729,266z5cp80svn,Elinor,9,58o1qr,4,8035,1,0,228,0,True,0
187986.123782439,266z5cp80svn,Elinor,9,58o1qr,4,8035,2,100,0,0,True,0
187990.457738512,266z5cp80svn,Elinor,9,58o1qr,52,42140,1,0,228,0,True,0
187990.847921938,266z5cp80svn,Elinor,9,58o1qr,52,42140,2,100,0,0,True,0
188010.059195921,266z5cp80svn,Elinor,11,58o1qr,34,4771,1,0,228,0,True,0
188010.442039512,266z5cp80svn,Elinor,11,58o1qr,34,4771,2,100,0,0,True,1
188010.449860436,266z5cp80svn,Elinor,11,58o1qr,67,19888,1,0,228,0,True,0
188010.844394615,266z5cp80svn,Elinor,11,58o1qr,67,19888,2,100,0,0,True,0
188012.776680645,266z5cp80svn,Elinor,12,58o1qr,67,7783,1,0,228,0,True,0
188013.176344015,266z5cp80svn,Elinor,12,58o1qr,67,7783,2,100,0,0,True,0
