t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187898.691945331,2cuwmqt0vamz,Mi,0,dr23ql,63,50215,1,0,0,228,True,0
187899.512165437,2cuwmqt0vamz,Mi,0,dr23ql,62,55441,1,0,0,228,True,0
187901.249633788,2cuwmqt0vamz,Mi,0,gk2nlx,16,55902,1,0,0,228,True,1
187902.092441581,2cuwmqt0vamz,Mi,1,dr23ql,74,51389,1,0,0,228,True,0
187903.702531111,2cuwmqt0vamz,Mi,1,dr23ql,64,64096,1,0,0,228,True,0
187904.145110359,2cuwmqt0vamz,Mi,1,5cl5st,24,26794,1,0,228,0,True,0
187904.727993398,2cuwmqt0vamz,Mi,1,5cl5st,24,26794,2,100,0,0,True,1
187904.739334677,2cuwmqt0vamz,Mi,1,5cl5st,19,41846,1,0,228,0,True,0
187905.136868348,2cuwmqt0vamz,Mi,1,5cl5st,19,41846,2,100,0,0,True,0
187906.428117879,2cuwmqt0vamz,Mi,1,dr23ql,36,1625,2,0,0,100,True,0
187907.201903068,2cuwmqt0vamz,Mi,1,dr23ql,76,36992,2,0,0,100,True,0
187907.601340387,2cuwmqt0vamz,Mi,1,58o1qr,79,14964,2,0,100,0,True,0
187908.644408557,2cuwmqt0vamz,Mi,1,dr23ql,71,59547,1,0,0,228,True,0
187909.387128882,2cuwmqt0vamz,Mi,1,dr23ql,1,13687,1,0,0,228,True,2
187910.086850813,2cuwmqt0vamz,Mi,1,gk2nlx,33,36960,1,0,0,228,True,2
187910.529962082,2cuwmqt0vamz,Mi,1,dr23ql,44,63511,2,0,0,100,True,1
187911.372369543,2cuwmqt0vamz,Mi,1,dr23ql,39,5435,1,0,0,228,True,1
187911.382854316,2cuwmqt0vamz,Mi,1,5cl5st,41,2566,1,0,228,0,True,0
187912.023998806,2cuwmqt0vamz,Mi,2,5cl5st,41,2566,2,100,0,0,True,0
187912.47317427,2cuwmqt0vamz,Mi,2,gk2nlx,35,43135,2,0,0,100,True,1
187912.480467982,2cuwmqt0vamz,Mi,2,58o1qr,76,13780,2,0,100,0,True,0
187912.530762307,2cuwmqt0vamz,Mi,2,5cl5st,42,59270,1,0,228,0,True,0
187912.924074761,2cuwmqt0vamz,Mi,2,5cl5st,42,59270,2,100,0,0,True,3
187913.648340273,2cuwmqt0vamz,Mi,2,gk2nlx,22,31022,1,0,0,228,True,5
187913.655325409,2cuwmqt0vamz,Mi,2,58o1qr,15,45047,2,0,100,0,True,4
187914.08406417,2cuwmqt0vamz,Mi,2,dr23ql,20,14920,2,0,0,100,True,3
187914.09136302,2cuwmqt0vamz,Mi,2,58o1qr,71,34758,2,0,100,0,True,2
187914.831876771,2cuwmqt0vamz,Mi,2,dr23ql,19,60518,1,0,0,228,True,5
187915.225701439,2cuwmqt0vamz,Mi,2,dr23ql,11,42564,2,0,0,100,True,5
187915.647829804,2cuwmqt0vamz,Mi,2,gk2nlx,22,31022,2,0,0,100,True,5
187915.655523514,2cuwmqt0vamz,Mi,2,5cl5st,77,52047,1,0,228,0,True,4
187916.056060555,2cuwmqt0vamz,Mi,2,5cl5st,77,52047,2,100,0,0,True,5
187916.063029651,2cuwmqt0vamz,Mi,2,58o1qr,58,13248,2,0,100,0,True,4
187916.069639858,2cuwmqt0vamz,Mi,2,58o1qr,61,12446,2,0,100,0,True,3
187916.076772039,2cuwmqt0vamz,Mi,2,58o1qr,19,58105,2,0,100,0,True,2
187916.083805167,2cuwmqt0vamz,Mi,2,58o1qr,36,25285,2,0,100,0,True,1
187916.091122917,2cuwmqt0vamz,Mi,2,58o1qr,73,4784,2,0,100,0,True,0
187916.17323959,2cuwmqt0vamz,Mi,2,58o1qr,47,31193,2,0,100,0,True,0
187918.468404689,2cuwmqt0vamz,Mi,2,dr23ql,19,60518,2,0,0,100,True,0
187919.181281337,2cuwmqt0vamz,Mi,2,5cl5st,64,36687,1,0,228,0,True,0
187919.575199469,2cuwmqt0vamz,Mi,2,5cl5st,64,36687,2,100,0,0,True,1
187919.582354012,2cuwmqt0vamz,Mi,2,58o1qr,45,13285,2,0,100,0,True,0
187920.209799953,2cuwmqt0vamz,Mi,2,58o1qr,38,63441,2,0,100,0,True,0
187921.298088074,2cuwmqt0vamz,Mi,2,dr23ql,35,59684,1,0,0,228,True,0
187922.108778189,2cuwmqt0vamz,Mi,3,dr23ql,7,51232,1,0,0,228,True,2
187922.115839495,2cuwmqt0vamz,Mi,3,5cl5st,5,34366,1,0,228,0,True,1
187922.486259959,2cuwmqt0vamz,Mi,3,5cl5st,5,34366,2,100,0,0,True,2
187922.493879575,2cuwmqt0vamz,Mi,3,5cl5st,31,40246,1,0,228,0,True,1
187922.886157355,2cuwmqt0vamz,Mi,3,5cl5st,31,40246,2,100,0,0,True,2
187923.287530027,2cuwmqt0vamz,Mi,3,dr23ql,40,13509,2,0,0,100,True,1
187923.294723841,2cuwmqt0vamz,Mi,3,58o1qr,77,24127,2,0,100,0,True,0
187925.900157498,2cuwmqt0vamz,Mi,3,dr23ql,15,43132,1,0,0,228,True,1
187926.303306183,2cuwmqt0vamz,Mi,3,dr23ql,72,919,2,0,0,100,True,0
187927.437063707,2cuwmqt0vamz,Mi,3,dr23ql,18,10993,1,0,0,228,True,1
187927.445492633,2cuwmqt0vamz,Mi,3,5cl5st,35,15880,1,0,228,0,True,0
187927.835167656,2cuwmqt0vamz,Mi,3,5cl5st,35,15880,2,100,0,0,True,0
187927.883184066,2cuwmqt0vamz,Mi,3,58o1qr,39,47941,2,0,100,0,True,0
187928.700968973,2cuwmqt0vamz,Mi,3,58o1qr,54,5236,2,0,100,0,True,0
187931.719757283,2cuwmqt0vamz,Mi,3,dr23ql,13,64283,1,0,0,228,True,0
187932.565391134,2cuwmqt0vamz,Mi,4,dr23ql,54,43270,1,0,0,228,True,1
187932.972931442,2cuwmqt0vamz,Mi,4,dr23ql,27,32555,2,0,0,100,True,0
187934.083816603,2cuwmqt0vamz,Mi,4,58o1qr,43,25490,2,0,100,0,True,0
187936.224452616,2cuwmqt0vamz,Mi,4,dr23ql,67,52828,1,0,0,228,True,0
187937.35737062,2cuwmqt0vamz,Mi,4,dr23ql,17,23936,1,0,0,228,True,0
187939.535086065,2cuwmqt0vamz,Mi,4,dr23ql,31,32843,1,0,0,228,True,0
187939.928091996,2cuwmqt0vamz,Mi,4,5cl5st,26,46698,1,0,228,0,True,0
187940.308498838,2cuwmqt0vamz,Mi,4,5cl5st,26,46698,2,100,0,0,True,0
187941.759408833,2cuwmqt0vamz,Mi,4,dr23ql,26,13634,1,0,0,228,True,0
187942.363244889,2cuwmqt0vamz,Mi,5,5cl5st,69,55111,1,0,228,0,True,0
187942.778017548,2cuwmqt0vamz,Mi,5,5cl5st,69,55111,2,100,0,0,True,1
187942.789733745,2cuwmqt0vamz,Mi,5,5cl5st,22,14066,1,0,228,0,True,0
187943.232852881,2cuwmqt0vamz,Mi,5,5cl5st,22,14066,2,100,0,0,True,0
187944.100407543,2cuwmqt0vamz,Mi,5,dr23ql,16,45805,1,0,0,228,True,0
187944.868486153,2cuwmqt0vamz,Mi,5,dr23ql,48,49330,1,0,0,228,True,1
187944.875977501,2cuwmqt0vamz,Mi,5,58o1qr,5,3554,2,0,100,0,True,0
187946.334905524,2cuwmqt0vamz,Mi,5,dr23ql,50,40128,1,0,0,228,True,0
187947.063603555,2cuwmqt0vamz,Mi,5,dr23ql,66,57956,1,0,0,228,True,0
187947.860674856,2cuwmqt0vamz,Mi,5,dr23ql,7,51232,2,0,0,100,True,1
187948.601707389,2cuwmqt0vamz,Mi,5,dr23ql,49,24147,1,0,0,228,True,1
187948.609576948,2cuwmqt0vamz,Mi,5,5cl5st,34,7455,1,0,228,0,True,0
187949.008773258,2cuwmqt0vamz,Mi,5,5cl5st,34,7455,2,100,0,0,True,0
187949.326846973,2cuwmqt0vamz,Mi,5,58o1qr,55,46083,2,0,100,0,True,0
187950.291825454,2cuwmqt0vamz,Mi,5,dr23ql,66,57956,2,0,0,100,True,0
187951.090503909,2cuwmqt0vamz,Mi,5,dr23ql,32,11085,2,0,0,100,True,1
187951.525379356,2cuwmqt0vamz,Mi,5,dr23ql,33,40753,2,0,0,100,True,1
