t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187901.321426562,2zl16n4nw2i5,Delaine,0,9zghdu,12,18347,1,0,228,0,True,0
187901.824865521,2zl16n4nw2i5,Delaine,1,9zghdu,12,18347,2,100,0,0,True,0
187922.651860823,2zl16n4nw2i5,Delaine,3,9zghdu,70,52624,1,0,228,0,True,0
187923.074011587,2zl16n4nw2i5,Delaine,3,9zghdu,70,52624,2,100,0,0,True,0
188034.660941248,2zl16n4nw2i5,Delaine,14,9zghdu,47,24030,1,0,228,0,True,0
188035.074550862,2zl16n4nw2i5,Delaine,14,9zghdu,47,24030,2,100,0,0,True,0
188036.569690133,2zl16n4nw2i5,Delaine,14,9zghdu,0,38287,1,0,228,0,True,0
188036.990706765,2zl16n4nw2i5,Delaine,14,9zghdu,0,38287,2,100,0,0,True,0
188040.43707709,2zl16n4nw2i5,Delaine,14,9zghdu,47,26054,1,0,228,0,True,0
188040.822763825,2zl16n4nw2i5,Delaine,14,9zghdu,47,26054,2,100,0,0,True,0
