t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187923.514573557,4nydn2nudz20,Reita,3,xuieka,20,25636,2,0,0,100,True,0
187927.218741801,4nydn2nudz20,Reita,3,xuieka,37,57146,2,0,0,100,True,0
187929.339918424,4nydn2nudz20,Reita,3,xuieka,28,55047,1,0,0,228,True,0
187929.891648053,4nydn2nudz20,Reita,3,xuieka,62,47514,2,0,0,100,True,0
187943.252382436,4nydn2nudz20,Reita,5,xuieka,21,11458,2,0,0,100,True,0
187945.0101277,4nydn2nudz20,Reita,5,xuieka,78,23957,1,0,0,228,True,0
187946.91414423,4nydn2nudz20,Reita,5,xuieka,49,16166,1,0,0,228,True,0
187951.655972186,4nydn2nudz20,Reita,5,xuieka,74,796,1,0,0,228,True,0
187952.597608554,4nydn2nudz20,Reita,6,xuieka,74,796,2,0,0,100,True,0
187953.520338508,4nydn2nudz20,Reita,6,xuieka,57,7654,1,0,0,228,True,0
187956.408435133,4nydn2nudz20,Reita,6,xuieka,32,17105,2,0,0,100,True,0
187963.099610352,4nydn2nudz20,Reita,7,xuieka,73,37837,1,0,0,228,True,0
187966.820144134,4nydn2nudz20,Reita,7,xuieka,63,6980,1,0,0,228,True,0
187973.181823579,4nydn2nudz20,Reita,8,xuieka,8,30783,2,0,0,100,True,0
187976.53828438,4nydn2nudz20,Reita,8,xuieka,55,9946,1,0,0,228,True,0
187977.234415553,4nydn2nudz20,Reita,8,xuieka,3,49725,2,0,0,100,True,0
187978.610103288,4nydn2nudz20,Reita,8,xuieka,66,48517,2,0,0,100,True,1
187979.311339319,4nydn2nudz20,Reita,8,xuieka,16,17084,1,0,0,228,True,0
187980.105688602,4nydn2nudz20,Reita,8,xuieka,16,17084,2,0,0,100,True,0
187981.660658267,4nydn2nudz20,Reita,8,xuieka,45,37183,2,0,0,100,True,0
187989.526039966,4nydn2nudz20,Reita,9,xuieka,6,12364,1,0,0,228,True,0
187993.29861752,4nydn2nudz20,Reita,10,xuieka,52,15582,1,0,0,228,True,0
187994.614460686,4nydn2nudz20,Reita,10,xuieka,39,54854,1,0,0,228,True,0
187995.457546383,4nydn2nudz20,Reita,10,xuieka,39,54854,2,0,0,100,True,0
187996.946586697,4nydn2nudz20,Reita,10,xuieka,36,25166,2,0,0,100,True,0
187998.293417378,4nydn2nudz20,Reita,10,xuieka,7,26606,1,0,0,228,True,1
187998.733455413,4nydn2nudz20,Reita,10,xuieka,56,13111,2,0,0,100,True,0
188001.171626564,4nydn2nudz20,Reita,10,xuieka,14,15146,2,0,0,100,True,0
188003.696865441,4nydn2nudz20,Reita,11,xuieka,54,5463,1,0,0,228,True,0
188004.609255653,4nydn2nudz20,Reita,11,xuieka,54,5463,2,0,0,100,True,0
188006.259825811,4nydn2nudz20,Reita,11,xuieka,54,10870,1,0,0,228,True,0
188019.515382337,4nydn2nudz20,Reita,12,xuieka,2,7141,2,0,0,100,True,0
188020.900538416,4nydn2nudz20,Reita,12,xuieka,68,29421,2,0,0,100,True,0
188023.319370183,4nydn2nudz20,Reita,13,xuieka,2,56241,2,0,0,100,True,0
188024.055595956,4nydn2nudz20,Reita,13,xuieka,68,57608,1,0,0,228,True,1
188024.774813867,4nydn2nudz20,Reita,13,xuieka,68,25069,1,0,0,228,True,1
188025.145752317,4nydn2nudz20,Reita,13,xuieka,68,57608,2,0,0,100,True,0
188025.549353214,4nydn2nudz20,Reita,13,xuieka,68,25069,2,0,0,100,True,0
188029.389581415,4nydn2nudz20,Reita,13,xuieka,68,54045,1,0,0,228,True,0
