t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187901.131046938,dbn8l5icwsyl,Demetra,0,9zghdu,13,24318,1,0,0,228,True,0
187902.862337951,dbn8l5icwsyl,Demetra,1,dr23ql,74,51389,1,0,0,228,True,0
187905.603232293,dbn8l5icwsyl,Demetra,1,dr23ql,34,24317,1,0,0,228,True,1
187906.01423799,dbn8l5icwsyl,Demetra,1,dr23ql,36,1625,2,0,0,100,True,0
187907.853260438,dbn8l5icwsyl,Demetra,1,dr23ql,44,63511,1,0,0,228,True,0
187908.721397434,dbn8l5icwsyl,Demetra,1,dr23ql,9,17293,1,0,0,228,True,2
187909.434025482,dbn8l5icwsyl,Demetra,1,9zghdu,53,57366,1,0,0,228,True,1
187910.227377503,dbn8l5icwsyl,Demetra,1,dr23ql,71,59547,1,0,0,228,True,0
187912.637281189,dbn8l5icwsyl,Demetra,2,9zghdu,78,63494,1,0,0,228,True,0
187915.549871244,dbn8l5icwsyl,Demetra,2,dr23ql,19,60518,1,0,0,228,True,0
187917.062967795,dbn8l5icwsyl,Demetra,2,dr23ql,52,34287,1,0,0,228,True,0
187917.988069729,dbn8l5icwsyl,Demetra,2,dr23ql,19,60518,2,0,0,100,True,0
187919.841875219,dbn8l5icwsyl,Demetra,2,dr23ql,27,32555,1,0,0,228,True,0
187922.176545387,dbn8l5icwsyl,Demetra,3,dr23ql,40,13509,2,0,0,100,True,1
187922.893188099,dbn8l5icwsyl,Demetra,3,dr23ql,7,51232,1,0,0,228,True,1
187923.301800513,dbn8l5icwsyl,Demetra,3,dr23ql,71,59547,2,0,0,100,True,1
187924.018271491,dbn8l5icwsyl,Demetra,3,9zghdu,4,25603,1,0,0,228,True,1
187924.714565956,dbn8l5icwsyl,Demetra,3,dr23ql,59,14464,1,0,0,228,True,1
187925.414438119,dbn8l5icwsyl,Demetra,3,dr23ql,0,60448,1,0,0,228,True,0
187926.974572314,dbn8l5icwsyl,Demetra,3,dr23ql,6,37617,1,0,0,228,True,0
187928.215462954,dbn8l5icwsyl,Demetra,3,dr23ql,18,10993,1,0,0,228,True,1
187928.920998692,dbn8l5icwsyl,Demetra,3,9zghdu,11,47997,1,0,0,228,True,0
187929.813738163,dbn8l5icwsyl,Demetra,3,dr23ql,43,9253,1,0,0,228,True,0
187930.731415676,dbn8l5icwsyl,Demetra,3,9zghdu,1,6092,1,0,0,228,True,1
187931.147909937,dbn8l5icwsyl,Demetra,3,dr23ql,18,10993,2,0,0,100,True,0
187932.557274592,dbn8l5icwsyl,Demetra,4,dr23ql,13,64283,1,0,0,228,True,1
187932.942339132,dbn8l5icwsyl,Demetra,4,9zghdu,28,27414,2,0,0,100,True,1
187933.629459725,dbn8l5icwsyl,Demetra,4,dr23ql,54,43270,1,0,0,228,True,0
187935.069444429,dbn8l5icwsyl,Demetra,4,9zghdu,55,40789,2,0,0,100,True,0
187937.81251591,dbn8l5icwsyl,Demetra,4,9zghdu,77,44505,2,0,0,100,True,0
187938.805976906,dbn8l5icwsyl,Demetra,4,dr23ql,78,8191,2,0,0,100,True,1
187939.527364554,dbn8l5icwsyl,Demetra,4,9zghdu,43,33725,1,0,0,228,True,0
187940.246689202,dbn8l5icwsyl,Demetra,4,dr23ql,31,32843,1,0,0,228,True,0
187942.120239692,dbn8l5icwsyl,Demetra,5,9zghdu,25,24947,2,0,0,100,True,0
187946.842669874,dbn8l5icwsyl,Demetra,5,dr23ql,16,45805,2,0,0,100,True,0
187947.792276007,dbn8l5icwsyl,Demetra,5,dr23ql,66,57956,1,0,0,228,True,0
187950.178752776,dbn8l5icwsyl,Demetra,5,dr23ql,61,46581,1,0,0,228,True,0
187950.642926026,dbn8l5icwsyl,Demetra,5,dr23ql,32,11085,2,0,0,100,True,1
187951.075533919,dbn8l5icwsyl,Demetra,5,dr23ql,33,40753,2,0,0,100,True,0
187956.440142262,dbn8l5icwsyl,Demetra,6,dr23ql,57,20918,2,0,0,100,True,0
187958.955595645,dbn8l5icwsyl,Demetra,6,9zghdu,73,58463,1,0,0,228,True,0
187960.74666122,dbn8l5icwsyl,Demetra,6,9zghdu,48,5852,1,0,0,228,True,1
187961.128589108,dbn8l5icwsyl,Demetra,6,9zghdu,46,60839,2,0,0,100,True,0
187962.629459479,dbn8l5icwsyl,Demetra,7,dr23ql,54,43270,2,0,0,100,True,0
187963.212838306,dbn8l5icwsyl,Demetra,7,dr23ql,47,17559,2,0,0,100,True,0
187964.503132496,dbn8l5icwsyl,Demetra,7,dr23ql,10,25430,2,0,0,100,True,0
187968.78932034,dbn8l5icwsyl,Demetra,7,9zghdu,45,44624,1,0,0,228,True,0
187971.164189487,dbn8l5icwsyl,Demetra,7,9zghdu,45,44624,2,0,0,100,True,0
187972.659068759,dbn8l5icwsyl,Demetra,8,9zghdu,42,38591,1,0,0,228,True,0
187983.817600824,dbn8l5icwsyl,Demetra,9,dr23ql,51,13586,1,0,0,228,True,0
187985.085795255,dbn8l5icwsyl,Demetra,9,9zghdu,69,45883,2,0,0,100,True,0
187985.751701307,dbn8l5icwsyl,Demetra,9,dr23ql,51,13586,2,0,0,100,True,0
187986.825092289,dbn8l5icwsyl,Demetra,9,dr23ql,25,18475,1,0,0,228,True,0
187987.323971446,dbn8l5icwsyl,Demetra,9,9zghdu,40,23068,2,0,0,100,True,1
187988.095785304,dbn8l5icwsyl,Demetra,9,dr23ql,46,57897,1,0,0,228,True,1
187988.489710364,dbn8l5icwsyl,Demetra,9,9zghdu,30,41402,2,0,0,100,True,1
187989.239405073,dbn8l5icwsyl,Demetra,9,9zghdu,37,47355,1,0,0,228,True,0
187990.548037445,dbn8l5icwsyl,Demetra,9,dr23ql,46,60582,1,0,0,228,True,1
187990.937404774,dbn8l5icwsyl,Demetra,9,dr23ql,46,57897,2,0,0,100,True,0
187991.764109078,dbn8l5icwsyl,Demetra,9,dr23ql,37,36364,2,0,0,100,True,0
187994.05941483,dbn8l5icwsyl,Demetra,10,dr23ql,14,6643,1,0,0,228,True,1
187994.756317059,dbn8l5icwsyl,Demetra,10,dr23ql,3,49721,1,0,0,228,True,0
187996.34989402,dbn8l5icwsyl,Demetra,10,9zghdu,15,43886,1,0,0,228,True,0
187998.505760317,dbn8l5icwsyl,Demetra,10,dr23ql,23,14923,2,0,0,100,True,0
188000.245741038,dbn8l5icwsyl,Demetra,10,9zghdu,29,30607,1,0,0,228,True,1
188000.991755463,dbn8l5icwsyl,Demetra,10,dr23ql,23,33056,1,0,0,228,True,0
188013.734027912,dbn8l5icwsyl,Demetra,12,9zghdu,7,5089,2,0,0,100,True,0
188014.775338565,dbn8l5icwsyl,Demetra,12,dr23ql,60,61109,2,0,0,100,True,0
188018.00027734,dbn8l5icwsyl,Demetra,12,9zghdu,26,34657,1,0,0,228,True,0
188021.975907761,dbn8l5icwsyl,Demetra,12,9zghdu,52,12144,1,0,0,228,True,0
188023.412476979,dbn8l5icwsyl,Demetra,13,9zghdu,59,46316,1,0,0,228,True,0
