t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187900.326321061,gffo72n89yi8,Bobbi,0,xuieka,25,34840,1,0,0,228,True,0
187900.794478781,gffo72n89yi8,Bobbi,0,xuieka,25,34840,2,0,100,0,True,0
187901.998790792,gffo72n89yi8,Bobbi,1,58o1qr,73,4784,1,0,0,228,True,2
187902.716783224,gffo72n89yi8,Bobbi,1,xuieka,30,14538,1,0,0,228,True,1
187903.115038447,gffo72n89yi8,Bobbi,1,5o6o0b,22,45766,2,0,0,100,True,0
187903.145180645,gffo72n89yi8,Bobbi,1,xuieka,30,14538,2,0,100,0,True,0
187905.380205722,gffo72n89yi8,Bobbi,1,xuieka,13,28440,1,0,0,228,True,1
187906.169289668,gffo72n89yi8,Bobbi,1,58o1qr,63,34834,1,0,0,228,True,1
187906.177249481,gffo72n89yi8,Bobbi,1,xuieka,13,28440,2,0,100,0,True,0
187907.904870301,gffo72n89yi8,Bobbi,1,58o1qr,53,64747,2,0,0,100,True,0
187908.666860264,gffo72n89yi8,Bobbi,1,58o1qr,15,45047,1,0,0,228,True,0
187910.197668677,gffo72n89yi8,Bobbi,1,58o1qr,61,12446,1,0,0,228,True,1
187910.926389467,gffo72n89yi8,Bobbi,1,58o1qr,61,12446,1,0,0,228,True,0
187923.269737605,gffo72n89yi8,Bobbi,3,xuieka,24,516,2,0,100,0,True,0
187924.254289846,gffo72n89yi8,Bobbi,3,58o1qr,75,44069,1,0,0,228,True,0
187924.271434171,gffo72n89yi8,Bobbi,3,xuieka,38,1153,2,0,100,0,True,0
187925.103696689,gffo72n89yi8,Bobbi,3,xuieka,41,29007,1,0,0,228,True,2
187925.11507317,gffo72n89yi8,Bobbi,3,xuieka,47,40104,2,0,100,0,True,1
187925.122631521,gffo72n89yi8,Bobbi,3,xuieka,34,35478,2,0,100,0,True,0
187926.058751425,gffo72n89yi8,Bobbi,3,58o1qr,41,57457,1,0,0,228,True,0
187927.112983221,gffo72n89yi8,Bobbi,3,58o1qr,7,52181,2,0,0,100,True,2
187927.532917824,gffo72n89yi8,Bobbi,3,58o1qr,54,5236,2,0,0,100,True,1
187927.938104419,gffo72n89yi8,Bobbi,3,58o1qr,7,52181,2,0,0,100,True,1
187927.947569036,gffo72n89yi8,Bobbi,3,xuieka,12,30985,2,0,100,0,True,0
187928.952849776,gffo72n89yi8,Bobbi,3,xuieka,62,47514,1,0,0,228,True,1
187928.960675395,gffo72n89yi8,Bobbi,3,xuieka,26,46756,2,0,100,0,True,0
187930.133353267,gffo72n89yi8,Bobbi,3,58o1qr,33,37297,1,0,0,228,True,1
187930.141101496,gffo72n89yi8,Bobbi,3,xuieka,28,55047,2,0,100,0,True,0
187930.861051782,gffo72n89yi8,Bobbi,3,58o1qr,1,12248,1,0,0,228,True,1
187931.28645307,gffo72n89yi8,Bobbi,3,58o1qr,5,3554,2,0,0,100,True,0
187931.429727402,gffo72n89yi8,Bobbi,3,xuieka,62,47514,2,0,100,0,True,0
187933.925920934,gffo72n89yi8,Bobbi,4,xuieka,0,37832,1,0,0,228,True,1
187934.650047524,gffo72n89yi8,Bobbi,4,xuieka,29,28152,1,0,0,228,True,0
187936.299874487,gffo72n89yi8,Bobbi,4,58o1qr,42,26827,2,0,0,100,True,0
187937.289707208,gffo72n89yi8,Bobbi,4,xuieka,71,54594,1,0,0,228,True,0
187937.380575315,gffo72n89yi8,Bobbi,4,xuieka,37,57146,2,0,100,0,True,0
187937.781256546,gffo72n89yi8,Bobbi,4,xuieka,29,28152,2,0,100,0,True,0
187942.34758274,gffo72n89yi8,Bobbi,5,xuieka,21,11458,1,0,0,228,True,0
188057.810176678,gffo72n89yi8,Bobbi,16,58o1qr,34,3264,2,0,0,100,True,0
188095.467362942,gffo72n89yi8,Bobbi,20,vo0ntb,44,12668,1,0,0,228,True,0
188098.442219089,gffo72n89yi8,Bobbi,20,vo0ntb,44,12668,2,0,0,100,True,1
188099.155812255,gffo72n89yi8,Bobbi,20,5o6o0b,57,31015,1,0,0,228,True,1
