t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187898.661774645,o14onb0sbhg7,Mi,0,5o6o0b,22,45766,1,0,0,228,True,1
187899.363413579,o14onb0sbhg7,Mi,0,vo0ntb,51,24321,1,0,0,228,True,0
187900.33328173,o14onb0sbhg7,Mi,0,5o6o0b,22,45766,1,0,0,228,True,0
187933.999191418,o14onb0sbhg7,Mi,4,dr23ql,7,51232,1,0,228,0,True,0
187934.399073746,o14onb0sbhg7,Mi,4,dr23ql,7,51232,2,100,0,0,True,0
187940.9938312,o14onb0sbhg7,Mi,4,dr23ql,31,32843,1,0,228,0,True,0
187941.469995324,o14onb0sbhg7,Mi,4,dr23ql,31,32843,2,100,0,0,True,0
187954.525664719,o14onb0sbhg7,Mi,6,58o1qr,59,28770,2,0,0,100,True,1
187955.260748362,o14onb0sbhg7,Mi,6,58o1qr,0,48579,1,0,0,228,True,0
187957.203566426,o14onb0sbhg7,Mi,6,58o1qr,0,48579,2,0,0,100,True,0
187958.481247023,o14onb0sbhg7,Mi,6,58o1qr,56,35919,1,0,0,228,True,0
187961.136102571,o14onb0sbhg7,Mi,6,58o1qr,65,17913,1,0,0,228,True,0
187989.614807284,o14onb0sbhg7,Mi,9,58o1qr,78,46279,1,0,0,228,True,0
187993.252160373,o14onb0sbhg7,Mi,10,58o1qr,12,59358,2,0,0,100,True,2
187993.26416375,o14onb0sbhg7,Mi,10,dr23ql,77,31411,1,0,228,0,True,1
187993.671630373,o14onb0sbhg7,Mi,10,dr23ql,77,31411,2,100,0,0,True,1
187994.105604014,o14onb0sbhg7,Mi,10,58o1qr,52,42140,2,0,0,100,True,1
187994.499581802,o14onb0sbhg7,Mi,10,58o1qr,46,24,2,0,0,100,True,1
187994.920101162,o14onb0sbhg7,Mi,10,58o1qr,48,57035,2,0,0,100,True,2
187995.313128431,o14onb0sbhg7,Mi,10,58o1qr,13,33386,2,0,0,100,True,1
187995.741729421,o14onb0sbhg7,Mi,10,58o1qr,12,29912,2,0,0,100,True,0
187997.589386031,o14onb0sbhg7,Mi,10,58o1qr,21,10297,1,0,0,228,True,0
187998.05354012,o14onb0sbhg7,Mi,10,58o1qr,46,18285,2,0,0,100,True,0
188001.070193568,o14onb0sbhg7,Mi,10,58o1qr,21,10297,2,0,0,100,True,0
188032.805990386,o14onb0sbhg7,Mi,14,5o6o0b,28,25826,1,0,0,228,True,0
188034.368159367,o14onb0sbhg7,Mi,14,58o1qr,78,60761,2,0,0,100,True,0
188034.980694513,o14onb0sbhg7,Mi,14,5o6o0b,28,25826,2,0,0,100,True,0
188035.743359748,o14onb0sbhg7,Mi,14,5o6o0b,28,25826,2,0,0,100,True,0
