t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188084.788864096,q642if5f98q2,Annabel,19,5o6o0b,32,55642,2,0,0,100,True,0
188088.584091229,q642if5f98q2,Annabel,19,5o6o0b,78,20059,1,0,0,228,True,0
188096.923189104,q642if5f98q2,Annabel,20,5o6o0b,25,22696,1,0,0,228,True,0
188097.412302941,q642if5f98q2,Annabel,20,5o6o0b,15,51300,2,0,0,100,True,0
188100.314777128,q642if5f98q2,Annabel,20,5o6o0b,74,16634,2,0,0,100,True,0
188101.28614546,q642if5f98q2,Annabel,20,5o6o0b,2,57880,1,0,0,228,True,0
188101.823431075,q642if5f98q2,Annabel,21,5o6o0b,57,31015,2,0,0,100,True,0
188104.124017545,q642if5f98q2,Annabel,21,5o6o0b,8,783,1,0,0,228,True,0
188105.367227715,q642if5f98q2,Annabel,21,5o6o0b,8,783,2,0,0,100,True,0
188108.358017922,q642if5f98q2,Annabel,21,5o6o0b,39,24388,1,0,0,228,True,1
188108.748674797,q642if5f98q2,Annabel,21,5o6o0b,30,25816,2,0,0,100,True,0
188133.418712977,q642if5f98q2,Annabel,24,5o6o0b,46,42427,2,0,0,100,True,0
188134.298748012,q642if5f98q2,Annabel,24,5o6o0b,71,8481,1,0,0,228,True,0
188138.448539681,q642if5f98q2,Annabel,24,5o6o0b,48,6161,2,0,0,100,True,0
188143.013544989,q642if5f98q2,Annabel,25,5o6o0b,35,36386,1,0,0,228,True,0
188144.860942409,q642if5f98q2,Annabel,25,5o6o0b,35,36386,2,0,0,100,True,0
188145.819012871,q642if5f98q2,Annabel,25,5o6o0b,69,33781,1,0,0,228,True,0
188151.454924842,q642if5f98q2,Annabel,26,5o6o0b,38,28967,1,0,0,228,True,0
188152.82396409,q642if5f98q2,Annabel,26,5o6o0b,38,28967,2,0,0,100,True,0
188156.325052902,q642if5f98q2,Annabel,26,5o6o0b,20,45575,2,0,0,100,True,0
188156.989926886,q642if5f98q2,Annabel,26,5o6o0b,52,19997,2,0,0,100,True,0
188158.729761982,q642if5f98q2,Annabel,26,5o6o0b,27,10430,1,0,0,228,True,0
188161.350240621,q642if5f98q2,Annabel,26,5o6o0b,27,10430,2,0,0,100,True,0
188183.881089384,q642if5f98q2,Annabel,29,5o6o0b,21,944,1,0,0,228,True,0
188186.082302636,q642if5f98q2,Annabel,29,5o6o0b,19,29712,1,0,0,228,True,0
188188.232197949,q642if5f98q2,Annabel,29,5o6o0b,42,53111,1,0,0,228,True,1
188188.610799253,q642if5f98q2,Annabel,29,5o6o0b,19,29712,2,0,0,100,True,0
188191.421983153,q642if5f98q2,Annabel,29,5o6o0b,70,1143,2,0,0,100,True,0
188203.083869864,q642if5f98q2,Annabel,31,5o6o0b,17,65139,2,0,0,100,True,0
