t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187932.721537974,tper9deplm9y,Jillian,4,dr23ql,43,9253,2,0,100,0,True,0
187937.821127138,tper9deplm9y,Jillian,4,dr23ql,68,45807,2,0,100,0,True,0
187947.222631216,tper9deplm9y,Jillian,5,dr23ql,16,45805,2,0,100,0,True,0
187951.53613539,tper9deplm9y,Jillian,5,dr23ql,33,40753,2,0,100,0,True,0
187955.347776481,tper9deplm9y,Jillian,6,dr23ql,42,47616,2,0,100,0,True,0
187960.094024975,tper9deplm9y,Jillian,6,dr23ql,2,30591,2,0,100,0,True,0
187995.437362353,tper9deplm9y,Jillian,10,dr23ql,77,31411,2,0,100,0,True,0
188022.672288897,tper9deplm9y,Jillian,13,dr23ql,14,61368,2,0,100,0,True,0
188028.070538622,tper9deplm9y,Jillian,13,dr23ql,3,14558,2,0,100,0,True,0
188031.673826526,tper9deplm9y,Jillian,13,dr23ql,23,33056,2,0,100,0,True,0
